"V1","individual_id","population","q_1","lb_q_1","ub_q_1","q_2","lb_q_2","ub_q_2","Q_1_1","lb_Q_1_1","ub_Q_1_1","Q_2_1","lb_Q_2_1","ub_Q_2_1","Q_2_2","lb_Q_2_2","ub_Q_2_2"
"PH_AS_10.sorted.bam","10","AS",0.029347,0.000429,0.058026,0.970653,0.941974,0.999571,0.00117,0,0.00884,0.056354,1.2e-05,0.113475,0.942476,0.885399,0.999368
"PH_AS_11.sorted.bam","11","AS",0.005487,1e-06,0.025042,0.994513,0.974958,0.999999,0.00168,0,0.011774,0.007614,0,0.046813,0.990706,0.951936,0.999999
"PH_AS_12.sorted.bam","12","AS",0.004313,0,0.01883,0.995687,0.98117,1,0.003024,0,0.016964,0.002579,0,0.01974,0.994397,0.976165,0.999999
"PH_AS_1.sorted.bam","1","AS",0.003525,0,0.016286,0.996475,0.983714,1,0.001747,0,0.011929,0.003556,0,0.023922,0.994697,0.974129,0.999999
"PH_AS_2.sorted.bam","2","AS",0.118016,0.085209,0.151711,0.881984,0.848289,0.914791,0.000487,0,0.003433,0.235058,0.168983,0.302682,0.764455,0.697162,0.830196
"PH_AS_3.sorted.bam","3","AS",0.00295,0,0.015313,0.99705,0.984687,1,0.001142,0,0.008959,0.003614,0,0.025422,0.995243,0.973014,1
"PH_AS_4.sorted.bam","4","AS",0.003969,1e-06,0.01872,0.996031,0.98128,0.999999,0.002227,0,0.014554,0.003484,0,0.025663,0.994289,0.971405,0.999999
"PH_AS_5.sorted.bam","5","AS",0.008115,3e-06,0.028124,0.991885,0.971876,0.999997,0.004272,0,0.021321,0.007687,0,0.044835,0.988041,0.952076,0.999996
"PH_AS_6.sorted.bam","6","AS",0.002282,0,0.012788,0.997718,0.987212,1,0.001115,0,0.008397,0.002334,0,0.0186,0.996551,0.979334,1
"PH_AS_7.sorted.bam","7","AS",0.002464,0,0.012682,0.997536,0.987318,1,0.001043,0,0.00754,0.002842,0,0.020112,0.996115,0.978855,1
"PH_AS_8.sorted.bam","8","AS",0.008565,2e-06,0.031146,0.991435,0.968854,0.999998,0.005708,0,0.027909,0.005714,0,0.037616,0.988578,0.95766,0.999997
"PH_AS_9.sorted.bam","9","AS",0.005454,1e-06,0.024081,0.994546,0.975919,0.999999,0.001524,0,0.01126,0.007861,0,0.044254,0.990615,0.954646,0.999999
"PH_BA_10.sorted.bam","10","BA",0.664599,0.62585,0.704173,0.335401,0.295827,0.37415,0.33165,0.253568,0.411811,0.665897,0.580815,0.745041,0.002452,0,0.018362
