"V1","individual_id","population","q_1","lb_q_1","ub_q_1","q_2","lb_q_2","ub_q_2","q_3","lb_q_3","ub_q_3","Q_1_1","lb_Q_1_1","ub_Q_1_1","Q_2_1","lb_Q_2_1","ub_Q_2_1","Q_2_2","lb_Q_2_2","ub_Q_2_2","Q_3_1","lb_Q_3_1","ub_Q_3_1","Q_3_2","lb_Q_3_2","ub_Q_3_2","Q_3_3","lb_Q_3_3","ub_Q_3_3"
"PH_AS_10.sorted.bam","10","AS",0.004482,0,0.024268,0.234237,0.188965,0.281043,0.761281,0.714713,0.804944,0.000502,0,0.00458,0.001378,0,0.012953,0.001322,0,0.012607,0.006582,0,0.04651,0.464452,0.371231,0.558855,0.525764,0.432705,0.613784
"PH_AS_11.sorted.bam","11","AS",0.001688,0,0.010846,0.178819,0.125087,0.233217,0.819493,0.765708,0.872166,0.000444,0,0.004437,0.000864,0,0.008927,0.002456,0,0.023962,0.001623,0,0.01574,0.351861,0.225382,0.463158,0.642751,0.535479,0.752281
"PH_AS_12.sorted.bam","12","AS",0.003193,0,0.01747,0.069381,0.014401,0.117735,0.927426,0.880006,0.978275,0.001095,0,0.011012,0.002317,0,0.023133,0.047998,0,0.111372,0.001879,0,0.017331,0.04045,0,0.185849,0.906261,0.807301,0.973105
"PH_AS_1.sorted.bam","1","AS",0.004027,0,0.02031,0.042322,8.2e-05,0.091073,0.953652,0.906507,0.998894,0.000865,0,0.008353,0.003379,0,0.029335,0.033929,0,0.088289,0.002945,0,0.027007,0.013405,0,0.099247,0.945476,0.875529,0.998375
"PH_AS_2.sorted.bam","2","AS",0.033474,8e-06,0.069798,0.438146,0.381774,0.499106,0.52838,0.498368,0.57737,0.00031,0,0.003102,0.000955,0,0.009443,0.000672,0,0.006294,0.065373,0,0.138064,0.873993,0.759853,0.995996,0.058697,0,0.158482
"PH_AS_3.sorted.bam","3","AS",0.002356,0,0.013946,0.098378,0.052333,0.147905,0.899267,0.850159,0.946153,0.000592,0,0.005727,0.001592,0,0.015013,0.00868,0,0.078719,0.001935,0,0.018558,0.177803,0.013164,0.29011,0.809397,0.705326,0.913143
"PH_AS_4.sorted.bam","4","AS",0.002285,0,0.014415,0.102665,0.057336,0.150064,0.89505,0.848322,0.940708,0.000747,0,0.007014,0.0014,0,0.012593,0.059868,0,0.140221,0.001676,0,0.015751,0.084193,0,0.268043,0.852116,0.72589,0.932821
"PH_AS_5.sorted.bam","5","AS",0.004344,0,0.020778,0.07163,0.026575,0.117456,0.924025,0.877859,0.96802,0.001257,0,0.010981,0.003358,0,0.028396,0.013608,0,0.082428,0.002817,0,0.025949,0.112686,0,0.222745,0.866274,0.770548,0.956992
"PH_AS_6.sorted.bam","6","AS",0.001912,0,0.012891,0.088421,0.022465,0.13711,0.909667,0.861322,0.969163,0.000671,0,0.006581,0.001549,0,0.017045,0.018243,0,0.105652,0.000934,0,0.00947,0.138807,0,0.266022,0.839797,0.730648,0.963917
"PH_AS_7.sorted.bam","7","AS",0.001479,0,0.009865,0.041175,0.00039,0.090976,0.957346,0.908576,0.998978,0.000441,0,0.004444,0.00115,0,0.011669,0.011071,0,0.061326,0.000927,0,0.008864,0.059058,0,0.174328,0.927353,0.822299,0.998641
