"V1","individual_id","population","q_1","lb_q_1","ub_q_1","q_2","lb_q_2","ub_q_2","q_3","lb_q_3","ub_q_3","q_4","lb_q_4","ub_q_4","Q_1_1","lb_Q_1_1","ub_Q_1_1","Q_2_1","lb_Q_2_1","ub_Q_2_1","Q_2_2","lb_Q_2_2","ub_Q_2_2","Q_3_1","lb_Q_3_1","ub_Q_3_1","Q_3_2","lb_Q_3_2","ub_Q_3_2","Q_3_3","lb_Q_3_3","ub_Q_3_3","Q_4_1","lb_Q_4_1","ub_Q_4_1","Q_4_2","lb_Q_4_2","ub_Q_4_2","Q_4_3","lb_Q_4_3","ub_Q_4_3","Q_4_4","lb_Q_4_4","ub_Q_4_4"
"PH_AS_10.sorted.bam","10","AS",0.00217,0,0.013702,0.002275,0,0.014346,0.596098,0.570303,0.620793,0.399458,0.372928,0.42559,0.000523,0,0.005116,0.000432,0,0.004459,0.000344,0,0.003765,0.002464,0,0.023572,0.002992,0,0.026886,0.194536,0.142408,0.244471,0.000396,0,0.004061,0.000438,0,0.00447,0.797667,0.743874,0.850426,0.000207,0,0.00218
"PH_AS_11.sorted.bam","11","AS",0.001597,0,0.008948,0.001416,0,0.008496,0.642676,0.610899,0.67262,0.354311,0.324166,0.385959,0.000394,0,0.004227,0.000404,0,0.004145,0.000377,0,0.00386,0.001484,0,0.013642,0.001119,0,0.011563,0.288319,0.224374,0.347561,0.000517,0,0.005351,0.000555,0,0.006332,0.706112,0.645946,0.770309,0.000719,0,0.007171
"PH_AS_12.sorted.bam","12","AS",0.002082,0,0.011846,0.004172,0,0.019664,0.705279,0.674123,0.732857,0.288467,0.260737,0.316922,0.000889,0,0.008806,0.000863,0,0.008909,0.002662,0,0.01851,0.000703,0,0.007083,0.001319,0,0.01266,0.418095,0.362459,0.471171,0.000818,0,0.008445,0.000836,0,0.008167,0.572346,0.516386,0.627229,0.001467,0,0.015036
"PH_AS_1.sorted.bam","1","AS",0.002092,0,0.010965,0.002659,0,0.013291,0.707307,0.67821,0.733774,0.287942,0.262079,0.316388,0.00065,0,0.006778,0.00081,0,0.008091,0.000853,0,0.008677,0.000925,0,0.009177,0.001815,0,0.015969,0.419944,0.364627,0.47125,0.001151,0,0.011761,0.000987,0,0.010187,0.571986,0.519329,0.62831,0.00088,0,0.008677
"PH_AS_2.sorted.bam","2","AS",0.032223,0.006678,0.055334,0.005749,0,0.032816,0.501882,0.495129,0.51901,0.460145,0.432799,0.483015,0.000206,0,0.002153,0.000414,0,0.004183,0.000285,0,0.002913,0.063203,0.010844,0.109527,0.009932,0,0.062787,0.005847,0,0.039139,0.000417,0,0.004393,0.000583,0,0.005519,0.918935,0.863322,0.964026,0.000177,0,0.001779
"PH_AS_3.sorted.bam","3","AS",0.001979,0,0.011935,0.001351,0,0.00772,0.684822,0.655286,0.713309,0.311848,0.283421,0.340771,0.000623,0,0.006636,0.000521,0,0.005509,0.000349,0,0.003604,0.001043,0,0.011421,0.000616,0,0.006154,0.374603,0.317737,0.430996,0.001149,0,0.011674,0.000867,0,0.008932,0.618779,0.560723,0.674464,0.00145,0,0.014647
"PH_AS_4.sorted.bam","4","AS",0.001262,0,0.006892,0.006161,0,0.024117,0.698926,0.666116,0.730154,0.293651,0.263281,0.324125,0.000343,0,0.003565,0.00073,0,0.007554,0.004481,0,0.022263,0.000642,0,0.00735,0.001585,0,0.01685,0.405757,0.345135,0.465316,0.000466,0,0.00475,0.001045,0,0.010139,0.58411,0.524036,0.64475,0.00084,0,0.009112
"PH_AS_5.sorted.bam","5","AS",0.003517,0,0.016199,0.006038,0,0.026164,0.700711,0.66958,0.728663,0.289734,0.261366,0.31929,0.001414,0,0.011378,0.00097,0,0.009595,0.004061,0,0.024379,0.002319,0,0.023497,0.002205,0,0.022464,0.410441,0.352639,0.464663,0.000915,0,0.010402,0.00078,0,0.00809,0.576015,0.519318,0.636013,0.000879,0,0.008702
"PH_AS_6.sorted.bam","6","AS",0.002881,0,0.014309,0.001874,0,0.009944,0.711307,0.678523,0.741466,0.283938,0.253899,0.315419,0.000993,0,0.010671,0.00086,0,0.008451,0.000453,0,0.004838,0.001386,0,0.013395,0.000634,0,0.006285,0.434699,0.375781,0.491895,0.00153,0,0.01356,0.001348,0,0.01423,0.551197,0.483366,0.612636,0.0069,0,0.044757
"PH_AS_7.sorted.bam","7","AS",0.001055,0,0.006558,0.001088,0,0.006832,0.704609,0.674952,0.732178,0.293247,0.265782,0.323017,0.000364,0,0.003886,0.000305,0,0.003103,0.000258,0,0.002636,0.000757,0,0.008204,0.000901,0,0.009226,0.411384,0.351993,0.466262,0.00032,0,0.003478,0.000454,0,0.00477,0.584793,0.529847,0.64502,0.000464,0,0.004616
"PH_AS_8.sorted.bam","8","AS",0.005948,1e-06,0.023264,0.003657,0,0.017803,0.705259,0.674201,0.733982,0.285137,0.257077,0.314401,0.004354,0,0.021991,0.001224,0,0.01249,0.001805,0,0.015595,0.001305,0,0.013713,0.001488,0,0.014692,0.419971,0.362451,0.474582,0.000659,0,0.007074,0.000992,0,0.009297,0.567782,0.510218,0.628544,0.00042,0,0.004293
"PH_AS_9.sorted.bam","9","AS",0.002526,0,0.013841,0.001529,0,0.008574,0.696282,0.664327,0.723703,0.299663,0.271896,0.330797,0.000672,0,0.006988,0.000568,0,0.006075,0.000438,0,0.004477,0.002035,0,0.019773,0.000669,0,0.006828,0.39691,0.333783,0.452817,0.001105,0,0.01183,0.000945,0,0.010179,0.59604,0.538816,0.658165,0.000618,0,0.006141
"PH_BA_10.sorted.bam","10","BA",0.455625,0.415536,0.496816,0.120849,0.075033,0.171211,0.138529,0.109109,0.169781,0.284997,0.24043,0.326482,0.182912,0.108758,0.261836,0.236727,0.140372,0.338207,0.001557,0,0.014528,0.008167,0,0.067037,0.000663,0,0.007726,0.000331,0,0.003311,0.300531,0.188814,0.417968,0.001191,0,0.011755,0.267566,0.199571,0.332545,0.000353,0,0.003695
"PH_BA_1.sorted.bam","1","BA",0.432023,0.392205,0.475006,0.139157,0.09005,0.201665,0.158093,0.115987,0.197108,0.270728,0.230628,0.31081,0.023673,0,0.133476,0.274444,0.172169,0.399186,0.000861,0,0.00896,0.158698,1e-06,0.27283,0.000846,0,0.008723,0.000629,0,0.007003,0.383557,0.242978,0.492927,0.001301,0,0.013855,0.155382,0.062197,0.272338,0.000608,0,0.00617
"PH_BA_2.sorted.bam","2","BA",0.459792,0.415083,0.502639,0.12208,0.070277,0.1815,0.157306,0.125788,0.190759,0.260822,0.207289,0.302926,0.231838,0.145406,0.318005,0.233734,0.121556,0.341693,0.002094,0,0.0206,0.010235,0,0.096025,0.000932,0,0.009622,0.000406,0,0.004042,0.21194,0.02991,0.32911,0.005306,0,0.052115,0.302634,0.225567,0.37065,0.000882,0,0.00865
