"V1","individual_id","population","q_1","lb_q_1","ub_q_1","q_2","lb_q_2","ub_q_2","q_3","lb_q_3","ub_q_3","q_4","lb_q_4","ub_q_4","q_5","lb_q_5","ub_q_5","Q_1_1","lb_Q_1_1","ub_Q_1_1","Q_2_1","lb_Q_2_1","ub_Q_2_1","Q_2_2","lb_Q_2_2","ub_Q_2_2","Q_3_1","lb_Q_3_1","ub_Q_3_1","Q_3_2","lb_Q_3_2","ub_Q_3_2","Q_3_3","lb_Q_3_3","ub_Q_3_3","Q_4_1","lb_Q_4_1","ub_Q_4_1","Q_4_2","lb_Q_4_2","ub_Q_4_2","Q_4_3","lb_Q_4_3","ub_Q_4_3","Q_4_4","lb_Q_4_4","ub_Q_4_4","Q_5_1","lb_Q_5_1","ub_Q_5_1","Q_5_2","lb_Q_5_2","ub_Q_5_2","Q_5_3","lb_Q_5_3","ub_Q_5_3","Q_5_4","lb_Q_5_4","ub_Q_5_4","Q_5_5","lb_Q_5_5","ub_Q_5_5"
"PH_AS_10.sorted.bam","10","AS",0.001474,0,0.007727,0.001551,0,0.007824,0.4451,0.427769,0.460761,0.11394,0.09081,0.13829,0.437934,0.41094,0.464669,0.000407,0,0.003991,0.000298,0,0.003439,0.000313,0,0.003133,0.000402,0,0.004401,0.000621,0,0.006335,0.000301,0,0.002941,0.000443,0,0.004706,0.000747,0,0.007653,0.223367,0.17711,0.272559,0.000499,0,0.005264,0.00099,0,0.009398,0.00081,0,0.008522,0.665208,0.602166,0.723981,0.002325,0,0.022887,0.103268,0.070572,0.138821
"PH_AS_11.sorted.bam","11","AS",0.00189,0,0.009842,0.001317,0,0.007191,0.441361,0.415605,0.471474,0.09509,0.068258,0.12301,0.460342,0.423437,0.496296,0.000427,0,0.004274,0.000394,0,0.004374,0.000269,0,0.002859,0.001262,0,0.012508,0.000399,0,0.004443,0.013411,0,0.064523,0.000613,0,0.006133,0.000753,0,0.008127,0.183703,0.125774,0.240157,0.00134,0,0.012918,0.000658,0,0.006292,0.000551,0,0.005775,0.670536,0.589692,0.744786,0.00243,0,0.024214,0.123255,0.079445,0.167485
"PH_AS_12.sorted.bam","12","AS",0.001775,0,0.009306,0.002799,1e-06,0.013578,0.418962,0.38119,0.448962,0.050415,0.025598,0.077839,0.526049,0.491107,0.563182,0.000598,0,0.006384,0.000641,0,0.006845,0.001472,0,0.012008,0.000661,0,0.006847,0.000512,0,0.00556,0.069465,0,0.118269,0.000631,0,0.007209,0.001061,0,0.011426,0.065713,0,0.139499,0.015955,0,0.064478,0.00042,0,0.004459,0.000441,0,0.004296,0.632109,0.542867,0.729347,0.001515,0,0.01435,0.208806,0.157648,0.258064
"PH_AS_1.sorted.bam","1","AS",0.001373,0,0.007927,0.001841,0,0.009979,0.415655,0.383292,0.445371,0.045468,0.020847,0.069922,0.535663,0.501503,0.570321,0.000373,0,0.004155,0.000284,0,0.002766,0.000348,0,0.003782,0.000875,0,0.009754,0.001435,0,0.014733,0.059836,0.006245,0.103588,0.000418,0,0.00455,0.000588,0,0.006395,0.087239,0.035954,0.135218,0.000957,0,0.010414,0.000423,0,0.004616,0.00068,0,0.007222,0.62209,0.550434,0.694587,0.000776,0,0.009104,0.223678,0.181973,0.265308
"PH_AS_2.sorted.bam","2","AS",0.016279,2.6e-05,0.036849,0.001651,0,0.00959,0.46031,0.434511,0.480991,0.199125,0.168932,0.228235,0.322636,0.294085,0.351126,0.000131,0,0.001336,0.000298,0,0.003019,0.000131,0,0.001473,0.001002,0,0.010597,0.00085,0,0.009311,0.000184,0,0.002102,0.000662,0,0.007561,0.000442,0,0.004467,0.356538,0.295597,0.415483,0.000258,0,0.00275,0.030335,0,0.072049,0.001449,0,0.014047,0.561861,0.501336,0.618015,0.040092,0,0.100754,0.005767,0,0.033743
"PH_AS_3.sorted.bam","3","AS",0.00187,0,0.010355,0.000954,0,0.00525,0.399824,0.367169,0.435098,0.082598,0.054423,0.110843,0.514754,0.478658,0.550229,0.000332,0,0.003662,0.00034,0,0.003478,0.000284,0,0.002847,0.001639,0,0.016577,0.000327,0,0.003537,0.027276,0,0.077868,0.000537,0,0.005652,0.000411,0,0.004341,0.161313,0.10306,0.218925,0.000962,0,0.009871,0.000561,0,0.006041,0.000262,0,0.002705,0.581816,0.504476,0.659491,0.001012,0,0.010602,0.222929,0.173621,0.271067
"PH_AS_4.sorted.bam","4","AS",0.000932,0,0.004801,0.002669,0,0.013259,0.420304,0.382094,0.453721,0.070328,0.043197,0.096799,0.505767,0.469592,0.544331,0.000235,0,0.002499,0.00038,0,0.003846,0.001343,0,0.011211,0.000361,0,0.003815,0.00112,0,0.011113,0.058602,0,0.108479,0.000322,0,0.003478,0.000503,0,0.005222,0.136159,0.080997,0.191682,0.001181,0,0.012807,0.000331,0,0.003549,0.000651,0,0.007006,0.585764,0.50656,0.665361,0.001309,0,0.014518,0.211739,0.164073,0.260522
"PH_AS_5.sorted.bam","5","AS",0.002256,0,0.010396,0.002409,0,0.012184,0.428314,0.400543,0.454481,0.055473,0.03068,0.080145,0.511548,0.48131,0.544807,0.000801,0,0.006873,0.000354,0,0.003772,0.001037,0,0.009163,0.001199,0,0.012157,0.001127,0,0.012032,0.060376,0.014653,0.097466,0.000459,0,0.004721,0.000709,0,0.007436,0.106641,0.054181,0.157068,0.001116,0,0.011371,0.000899,0,0.009448,0.000554,0,0.005953,0.626911,0.558286,0.700475,0.000904,0,0.0091,0.196913,0.157585,0.239026
"PH_AS_6.sorted.bam","6","AS",0.001556,0,0.007926,0.000988,0,0.005655,0.442751,0.410099,0.47425,0.048361,0.021789,0.076467,0.506344,0.469689,0.545036,0.000401,0,0.004054,0.000349,0,0.003577,0.000249,0,0.002582,0.000691,0,0.006921,0.000421,0,0.004304,0.117962,0.070576,0.165799,0.000741,0,0.007748,0.000408,0,0.00453,0.084438,3e-06,0.143708,0.004068,0,0.039281,0.000529,0,0.005359,0.000301,0,0.00323,0.564028,0.485532,0.644786,0.002999,0,0.030877,0.222415,0.172778,0.273449
"PH_AS_7.sorted.bam","7","AS",0.000931,0,0.00532,0.000766,0,0.004289,0.429459,0.397645,0.458051,0.044888,0.01911,0.069322,0.523956,0.490782,0.557197,0.000331,0,0.003537,0.000175,0,0.001812,0.000163,0,0.001744,0.000423,0,0.004493,0.000446,0,0.004853,0.062023,0.007633,0.105258,0.000322,0,0.003322,3e-04,0,0.003228,0.085876,0.022022,0.136798,0.001226,0,0.012904,0.000278,0,0.002901,0.000287,0,0.002971,0.648128,0.57555,0.723545,0.000825,0,0.008624,0.199198,0.156909,0.241543
