"V1","individual_id","population","q_1","lb_q_1","ub_q_1","q_2","lb_q_2","ub_q_2","q_3","lb_q_3","ub_q_3","q_4","lb_q_4","ub_q_4","q_5","lb_q_5","ub_q_5","q_6","lb_q_6","ub_q_6","Q_1_1","lb_Q_1_1","ub_Q_1_1","Q_2_1","lb_Q_2_1","ub_Q_2_1","Q_2_2","lb_Q_2_2","ub_Q_2_2","Q_3_1","lb_Q_3_1","ub_Q_3_1","Q_3_2","lb_Q_3_2","ub_Q_3_2","Q_3_3","lb_Q_3_3","ub_Q_3_3","Q_4_1","lb_Q_4_1","ub_Q_4_1","Q_4_2","lb_Q_4_2","ub_Q_4_2","Q_4_3","lb_Q_4_3","ub_Q_4_3","Q_4_4","lb_Q_4_4","ub_Q_4_4","Q_5_1","lb_Q_5_1","ub_Q_5_1","Q_5_2","lb_Q_5_2","ub_Q_5_2","Q_5_3","lb_Q_5_3","ub_Q_5_3","Q_5_4","lb_Q_5_4","ub_Q_5_4","Q_5_5","lb_Q_5_5","ub_Q_5_5","Q_6_1","lb_Q_6_1","ub_Q_6_1","Q_6_2","lb_Q_6_2","ub_Q_6_2","Q_6_3","lb_Q_6_3","ub_Q_6_3","Q_6_4","lb_Q_6_4","ub_Q_6_4","Q_6_5","lb_Q_6_5","ub_Q_6_5","Q_6_6","lb_Q_6_6","ub_Q_6_6"
"PH_AS_10.sorted.bam","10","AS",0.000923,0,0.005328,0.001085,0,0.006279,0.373728,0.338447,0.408386,0.068264,0.041855,0.094329,0.467713,0.44818,0.482219,0.088287,0.064493,0.114327,0.000205,0,0.002265,0.000187,0,0.002273,0.00017,0,0.002068,0.000336,0,0.00416,0.000313,0,0.00373,0.026734,0,0.064198,0.000286,0,0.003189,0.000442,0,0.005241,0.024546,0,0.095509,0.009617,0,0.029692,0.000401,0,0.004779,0.00057,0,0.007021,0.66799,0.599699,0.735638,0.091324,0,0.143061,0.000777,0,0.009739,0.000227,0,0.002613,0.000318,0,0.003442,0.000801,0,0.010018,0.000697,0,0.008385,0.173587,0.125015,0.224709,0.000471,0,0.005012
"PH_AS_11.sorted.bam","11","AS",0.001241,0,0.007589,0.001092,0,0.006193,0.39523,0.349104,0.431235,0.062639,0.037785,0.099185,0.475671,0.448803,0.503763,0.064127,0.037431,0.091406,0.000256,0,0.002907,0.000229,0,0.002577,0.000234,0,0.002579,0.000402,0,0.004039,0.00039,0,0.004711,0.005298,0,0.047559,0.000265,0,0.003058,0.000258,0,0.003263,0.077264,0,0.143814,0.012927,0,0.061339,0.000394,0,0.004598,0.000359,0,0.004263,0.700453,0.612921,0.791804,0.019362,0,0.115149,0.055431,0,0.114296,0.00068,0,0.007973,0.00048,0,0.005749,0.001356,0,0.01659,0.002275,0,0.028778,0.119911,0.06546,0.17658,0.001776,0,0.017959
"PH_AS_12.sorted.bam","12","AS",0.001049,0,0.006021,0.00173,0,0.009482,0.408973,0.361269,0.445049,0.100732,0.071674,0.13366,0.480833,0.455613,0.50796,0.006683,0,0.027004,0.000216,0,0.002298,0.00033,0,0.003835,0.000772,0,0.007734,0.000224,0,0.002689,0.000357,0,0.004102,0.112274,0.064775,0.158201,0.000345,0,0.004,0.000208,0,0.002349,0.000746,0,0.009592,0.044283,0.017942,0.072398,0.000284,0,0.003555,0.000319,0,0.004087,0.59106,0.516872,0.65867,0.110131,0.060674,0.165138,0.127855,0.088741,0.16909,0.00048,0,0.005544,0.000701,0,0.00843,0.001009,0,0.012596,0.001469,0,0.016145,0.004161,0,0.037325,0.002773,0,0.022092
"PH_AS_1.sorted.bam","1","AS",8e-04,0,0.004781,0.001277,0,0.007769,0.43034,0.392372,0.464847,0.096998,0.068439,0.131662,0.467344,0.443087,0.491142,0.003241,0,0.018584,0.000153,0,0.001832,0.000131,0,0.001539,0.000247,0,0.002927,0.000312,0,0.003712,0.000346,0,0.003716,0.123695,0.08003,0.16633,0.000189,0,0.002178,0.000431,0,0.004222,0.00352,0,0.042942,0.037806,8e-06,0.066492,0.000323,0,0.004029,0.00072,0,0.008387,0.608483,0.538227,0.674353,0.113737,0.059406,0.172997,0.10404,0.063524,0.14398,0.00034,0,0.003795,0.000431,0,0.005319,0.000628,0,0.007473,0.000509,0,0.005912,0.003344,0,0.03385,0.000615,0,0.007491
"PH_AS_2.sorted.bam","2","AS",0.00898,0,0.029753,0.001982,0,0.013107,0.287856,0.245256,0.321529,0.050498,0.026153,0.077627,0.471769,0.451261,0.491692,0.178915,0.150649,0.206084,0.00012,0,0.00141,0.000211,0,0.002372,9.7e-05,0,0.001091,0.000818,0,0.00964,0.000342,0,0.004244,0.000255,0,0.003079,0.015199,0,0.058077,0.002274,0,0.024421,0.030258,0,0.071649,0.000146,0,0.001433,0.000891,0,0.010856,0.000663,0,0.007495,0.543219,0.463732,0.612295,0.04769,0,0.119175,0.00017,0,0.001868,0.000602,0,0.006801,0.000279,0,0.003398,0.000564,0,0.00656,0.005284,0,0.052892,0.350735,0.291877,0.407016,0.000183,0,0.002133
"PH_AS_3.sorted.bam","3","AS",0.001046,0,0.006152,0.000653,0,0.00413,0.411814,0.368485,0.448687,0.070435,0.04586,0.102587,0.489315,0.463934,0.515115,0.026737,0.001952,0.051407,0.000193,0,0.002428,0.000179,0,0.001852,0.00013,0,0.001528,0.000404,0,0.00447,0.000159,0,0.001916,0.118279,0.068072,0.162986,0.000302,0,0.003619,0.000278,0,0.003125,0.002447,0,0.03174,0.010015,0,0.039069,0.00045,0,0.00541,0.000241,0,0.002789,0.583084,0.503597,0.660412,0.116146,0.061769,0.169915,0.115203,0.073841,0.156857,0.000372,0,0.004784,0.000187,0,0.002201,0.000975,0,0.011659,0.001667,0,0.018545,0.048304,0,0.099579,0.000985,0,0.011851
"PH_AS_4.sorted.bam","4","AS",0.00091,0,0.005807,0.002354,0,0.012476,0.420023,0.370829,0.462128,0.076872,0.049086,0.108861,0.470352,0.442409,0.499689,0.029489,0.001048,0.056897,0.000157,0,0.00177,0.000333,0,0.003795,0.000861,0,0.00874,0.000288,0,0.003219,0.000529,0,0.006216,0.147281,0.094385,0.194386,0.000269,0,0.003069,0.000574,0,0.006941,0.001128,0,0.013665,0.006965,0,0.041583,0.000328,0,0.003915,0.000837,0,0.009954,0.54199,0.457385,0.629596,0.137151,0.080156,0.199353,0.103245,0.05935,0.147507,0.000287,0,0.003217,0.000712,0,0.008304,0.001549,0,0.016848,0.000693,0,0.007921,0.053907,0,0.111802,0.000915,0,0.0107
"PH_AS_5.sorted.bam","5","AS",0.001658,0,0.008995,0.001709,0,0.009742,0.427795,0.38624,0.463404,0.096774,0.070028,0.129414,0.463966,0.438907,0.489015,0.008099,1e-06,0.032484,0.000329,0,0.003943,0.000289,0,0.00349,0.000431,0,0.00511,0.000567,0,0.006287,0.000451,0,0.005145,0.091912,0.043019,0.13334,0.000447,0,0.005728,0.000495,0,0.006048,0.001523,0,0.017758,0.050247,0.024305,0.07909,0.000731,0,0.007864,0.000649,0,0.007096,0.668137,0.597851,0.7337,0.089906,0.041887,0.142502,0.078896,0.040906,0.11676,0.000624,0,0.007015,0.000673,0,0.007857,0.001089,0,0.012602,0.000683,0,0.00806,0.010717,0,0.062484,0.001206,0,0.013675
"PH_AS_6.sorted.bam","6","AS",0.00117,0,0.00641,0.000919,0,0.005848,0.446222,0.404258,0.48339,0.067394,0.040439,0.099033,0.477296,0.448547,0.50558,0.006999,0,0.032409,0.000237,0,0.002581,0.000236,0,0.002928,0.000191,0,0.002291,0.000397,0,0.004753,0.000295,0,0.002981,0.182216,0.131529,0.228163,0.00046,0,0.005247,0.000198,0,0.002259,0.000938,0,0.011255,0.005432,0,0.035119,0.000373,0,0.004437,0.000433,0,0.004462,0.523605,0.446802,0.603746,0.120776,0.067058,0.179742,0.152296,0.104944,0.197945,4e-04,0,0.004843,0.000294,0,0.003184,0.002777,0,0.029394,0.001552,0,0.018233,0.004813,0,0.051559,0.002081,0,0.020678
"PH_AS_7.sorted.bam","7","AS",0.000728,0,0.0045,0.000732,0,0.004647,0.46094,0.420104,0.495863,0.070426,0.042515,0.111799,0.463559,0.436345,0.490111,0.003615,0,0.020788,0.000194,0,0.002102,0.000151,0,0.001635,0.000147,0,0.001653,0.000274,0,0.003129,0.000271,0,0.00288,0.140969,0.064465,0.189836,0.000205,0,0.002453,0.000187,0,0.002101,0.00147,0,0.017061,0.010133,0,0.045497,0.00026,0,0.003119,0.000399,0,0.004383,0.636948,0.562131,0.737439,0.117949,0.07138,0.167613,0.083906,0.000252,0.129889,0.000177,0,0.002019,0.000162,0,0.001874,0.00098,0,0.01107,0.000775,0,0.009124,0.003748,0,0.037753,0.000695,0,0.008159
