"V1","individual_id","population","q_1","lb_q_1","ub_q_1","q_2","lb_q_2","ub_q_2","q_3","lb_q_3","ub_q_3","q_4","lb_q_4","ub_q_4","q_5","lb_q_5","ub_q_5","q_6","lb_q_6","ub_q_6","q_7","lb_q_7","ub_q_7","Q_1_1","lb_Q_1_1","ub_Q_1_1","Q_2_1","lb_Q_2_1","ub_Q_2_1","Q_2_2","lb_Q_2_2","ub_Q_2_2","Q_3_1","lb_Q_3_1","ub_Q_3_1","Q_3_2","lb_Q_3_2","ub_Q_3_2","Q_3_3","lb_Q_3_3","ub_Q_3_3","Q_4_1","lb_Q_4_1","ub_Q_4_1","Q_4_2","lb_Q_4_2","ub_Q_4_2","Q_4_3","lb_Q_4_3","ub_Q_4_3","Q_4_4","lb_Q_4_4","ub_Q_4_4","Q_5_1","lb_Q_5_1","ub_Q_5_1","Q_5_2","lb_Q_5_2","ub_Q_5_2","Q_5_3","lb_Q_5_3","ub_Q_5_3","Q_5_4","lb_Q_5_4","ub_Q_5_4","Q_5_5","lb_Q_5_5","ub_Q_5_5","Q_6_1","lb_Q_6_1","ub_Q_6_1","Q_6_2","lb_Q_6_2","ub_Q_6_2","Q_6_3","lb_Q_6_3","ub_Q_6_3","Q_6_4","lb_Q_6_4","ub_Q_6_4","Q_6_5","lb_Q_6_5","ub_Q_6_5","Q_6_6","lb_Q_6_6","ub_Q_6_6","Q_7_1","lb_Q_7_1","ub_Q_7_1","Q_7_2","lb_Q_7_2","ub_Q_7_2","Q_7_3","lb_Q_7_3","ub_Q_7_3","Q_7_4","lb_Q_7_4","ub_Q_7_4","Q_7_5","lb_Q_7_5","ub_Q_7_5","Q_7_6","lb_Q_7_6","ub_Q_7_6","Q_7_7","lb_Q_7_7","ub_Q_7_7"
"PH_AS_10.sorted.bam","10","AS",0.001313,0,0.009277,0.05307,0.028517,0.077941,0.059395,0.037482,0.085877,0.315873,0.242524,0.360073,0.403367,0.35922,0.434597,0.001051,0,0.007389,0.165931,0.106039,0.241607,0.000135,0,0.001507,0.000368,0,0.004434,0.000397,0,0.004222,0.000527,0,0.007752,0.065013,0,0.136882,0.000156,0,0.001705,0.000901,0,0.01071,0.038992,0,0.14609,0.022982,0,0.135581,0.060688,0.008553,0.115276,0.000303,0,0.003092,0.000342,0,0.004338,0.029356,0,0.133607,0.446133,0.20826,0.599562,0.000117,0,0.001377,8.7e-05,0,0.001058,0.000222,0,0.002699,0.00033,0,0.004179,0.000678,0,0.007762,0.00032,0,0.00376,0.000168,0,0.001861,0.00017,0,0.002018,0.000408,0,0.004686,0.000269,0,0.003356,0.000685,0,0.008649,0.330046,0.211223,0.482539,0.00013,0,0.001637,7.8e-05,0,0.000946
"PH_AS_11.sorted.bam","11","AS",0.001104,0,0.00789,0.03109,1.2e-05,0.071964,0.085974,0.058467,0.115368,0.334892,0.276235,0.381524,0.409413,0.358526,0.451698,0.001246,0,0.007954,0.13628,0.074748,0.222219,0.000115,0,0.001142,0.00058,0,0.008036,0.002431,0,0.028893,0.000212,0,0.002488,0.004923,0,0.062873,0.001108,0,0.014568,0.00052,0,0.00584,0.045897,0,0.139494,0.054852,0,0.182693,0.062933,0,0.18812,0.000252,0,0.003146,0.002941,0,0.032927,0.108154,0,0.209314,0.44044,0.296076,0.592538,0.000722,0,0.009198,0.00015,0,0.001889,0.000458,0,0.006027,0.000325,0,0.003806,0.000599,0,0.006998,0.00023,0,0.002766,0.000168,0,0.002282,0.000265,0,0.00364,0.002519,0,0.033677,0.001267,0,0.016395,0.001611,0,0.022456,0.265365,0.144437,0.439806,0.000394,0,0.004774,0.00057,0,0.006879
"PH_AS_12.sorted.bam","12","AS",0.002232,0,0.013505,0.027897,0,0.07719,0.054142,0.02475,0.084774,0.44566,0.366889,0.496367,0.365029,0.319133,0.406002,0.001077,0,0.007803,0.103964,0.03849,0.196521,0.000537,0,0.006741,0.000636,0,0.008336,0.025175,0,0.075831,0.00069,0,0.008368,0.001253,0,0.018587,0.032397,0,0.076267,0.000648,0,0.007963,0.001595,0,0.020579,0.002545,0,0.030549,0.20971,0.114244,0.336365,3e-04,0,0.003307,0.000977,0,0.012715,0.037557,0,0.126657,0.46606,0.227758,0.646167,0.010619,0,0.064077,0.000238,0,0.002704,0.00019,0,0.002029,0.000555,0,0.006994,0.000313,0,0.00362,0.000289,0,0.003074,0.000183,0,0.002162,0.000876,0,0.012404,0.000793,0,0.010449,0.000888,0,0.012594,0.000739,0,0.008431,0.203637,0.068849,0.387362,2e-04,0,0.002281,0.000398,0,0.005334
"PH_AS_1.sorted.bam","1","AS",0.001542,0,0.009781,0.007688,0,0.033724,0.088328,0.059899,0.117672,0.436476,0.372878,0.485373,0.358122,0.311369,0.395719,0.00111,0,0.007511,0.106734,0.055997,0.193914,0.000309,0,0.003721,0.000448,0,0.005883,0.003881,0,0.029826,0.000323,0,0.0036,0.004171,0,0.04163,0.009461,0,0.046375,0.000465,0,0.005909,0.000805,0,0.009996,0.001235,0,0.016086,0.258996,0.171559,0.367587,0.000534,0,0.006448,0.000771,0,0.009761,0.151115,0.084727,0.212177,0.351972,0.15173,0.506419,0.000969,0,0.012619,0.000237,0,0.002829,0.000378,0,0.004735,0.000382,0,0.004302,0.00027,0,0.00294,0.000161,0,0.002096,0.000208,0,0.002769,0.000461,0,0.004411,0.001041,0,0.012465,0.000509,0,0.006636,0.000213,0,0.002479,0.209752,0.10716,0.383668,0.000375,0,0.004489,0.000559,0,0.007656
"PH_AS_2.sorted.bam","2","AS",0.001331,0,0.009934,0.128624,0.089195,0.192779,0.031606,0.000591,0.059052,0.254982,0.186631,0.295556,0.355689,0.292377,0.406355,0.007519,0,0.035414,0.22025,0.1717,0.281381,8.7e-05,0,0.001028,0.000319,0,0.003754,0.000124,0,0.00127,0.000349,0,0.004277,0.001607,0,0.019529,8.1e-05,0,0.000779,0.001279,0,0.016781,0.253203,0.172619,0.385182,0.015019,0,0.092844,0.000957,0,0.011693,0.000224,0,0.002668,0.00084,0,0.010429,0.045333,0,0.112917,0.225486,0,0.359677,9.3e-05,0,0.001069,0.000181,0,0.002003,0.000598,0,0.007259,0.000564,0,0.006957,0.012715,0,0.068225,0.000407,0,0.005313,8.8e-05,0,0.001012,0.000136,0,0.001686,0.000433,0,0.005544,0.000177,0,0.002144,0.000349,0,0.004322,0.438901,0.342507,0.560585,0.000396,0,0.005158,5.4e-05,0,0.000666
"PH_AS_3.sorted.bam","3","AS",0.001093,0,0.006595,0.010951,0,0.040437,0.056384,0.024616,0.085463,0.410402,0.34031,0.457622,0.389909,0.338059,0.431028,0.001401,0,0.00924,0.129861,0.067351,0.22068,0.000173,0,0.002034,0.000455,0,0.006426,0.001712,0,0.02172,0.000257,0,0.003459,0.008589,0,0.066967,0.001362,0,0.017976,0.000282,0,0.003552,0.001872,0,0.025037,0.001742,0,0.019423,0.196409,0.123998,0.294209,0.000347,0,0.004505,0.003104,0,0.038683,0.09742,0,0.16528,0.423329,0.239127,0.559828,0.003192,0,0.035578,0.000205,0,0.002593,0.000441,0,0.005535,0.000349,0,0.004148,0.000355,0,0.004225,0.000339,0,0.003819,0.000181,0,0.002077,0.000293,0,0.003597,0.004015,0,0.038086,0.001687,0,0.023211,0.000407,0,0.004553,0.248896,0.115628,0.423451,0.000751,0,0.009782,0.001837,0,0.017884
"PH_AS_4.sorted.bam","4","AS",0.002605,0,0.016017,0.02601,1e-06,0.066415,0.076913,0.046836,0.11226,0.417058,0.353898,0.468202,0.36569,0.324711,0.404908,0.000966,0,0.006852,0.110759,0.048645,0.211801,0.001115,0,0.013163,0.000618,0,0.007998,0.005003,0,0.042824,0.00066,0,0.008384,0.030833,0,0.123466,0.033909,0,0.083958,0.000378,0,0.004868,0.00131,0,0.014814,0.000807,0,0.01163,0.191992,0.108406,0.316495,0.000657,0,0.009035,0.006391,0,0.070492,0.052999,0,0.15078,0.4469,0.234802,0.609204,0.003638,0,0.037744,0.000286,0,0.003462,0.000485,0,0.006127,0.00024,0,0.002922,0.000149,0,0.00172,0.000194,0,0.002305,0.000186,0,0.001992,0.00038,0,0.004415,0.002377,0,0.030952,0.000468,0,0.005916,0.000586,0,0.006648,0.216962,0.095811,0.420197,0.000205,0,0.002538,0.00027,0,0.003113
"PH_AS_5.sorted.bam","5","AS",0.003751,0,0.020108,0.012897,0,0.049506,0.048737,0.022457,0.075815,0.431852,0.362735,0.479156,0.386216,0.345925,0.420704,0.002236,0,0.012398,0.114311,0.054332,0.20631,0.001155,0,0.014221,0.002818,0,0.028305,0.009422,0,0.047867,0.000197,0,0.002158,0.000715,0,0.00786,0.000285,0,0.003127,0.001118,0,0.016593,0.001061,0,0.013425,0.00061,0,0.007281,0.205675,0.133585,0.297304,0.000313,0,0.00382,0.000939,0,0.012609,0.094506,0.042089,0.149705,0.447902,0.247679,0.587666,0.001412,0,0.019432,0.00036,0,0.004277,0.000543,0,0.007173,0.000528,0,0.006546,0.000812,0,0.010217,0.000738,0,0.008146,0.000492,0,0.006087,0.000386,0,0.00521,0.000872,0,0.009745,0.000349,0,0.004396,0.000851,0,0.011251,0.225212,0.101043,0.407623,0.000508,0,0.005985,0.000222,0,0.002672
"PH_AS_6.sorted.bam","6","AS",0.001025,0,0.007021,0.021446,0,0.07044,0.084899,0.053534,0.118648,0.405575,0.340422,0.467243,0.381815,0.327564,0.438251,0.001698,0,0.010371,0.103543,0.046586,0.203291,0.000165,0,0.002086,0.000299,0,0.003179,0.014145,0,0.067567,0.000303,0,0.003461,0.007452,0,0.068326,0.002827,0,0.036947,0.000454,0,0.00368,0.002012,0,0.023984,0.002223,0,0.027304,0.229641,0.152292,0.333721,0.000201,0,0.002434,0.003275,0,0.045211,0.151995,0.083327,0.21798,0.344849,0.215221,0.463662,0.037535,0,0.118354,0.000219,0,0.002643,0.000497,0,0.007093,0.000701,0,0.009064,0.000341,0,0.004044,0.000217,0,0.002203,0.000261,0,0.00339,0.000243,0,0.002619,0.001068,0,0.013105,0.001472,0,0.02021,0.001989,0,0.025694,0.188022,0.087868,0.307407,0.000899,0,0.012674,0.006697,0,0.062983
"PH_AS_7.sorted.bam","7","AS",0.000748,0,0.005105,0.004967,0,0.03291,0.095854,0.066501,0.124424,0.412316,0.339285,0.459452,0.386574,0.344813,0.420237,0.000717,0,0.004824,0.098824,0.039432,0.193799,0.000214,0,0.00259,0.000283,0,0.003579,0.003266,0,0.032001,0.000156,0,0.001727,0.000614,0,0.00803,0.000614,0,0.007624,0.000176,0,0.002035,0.001007,0,0.012137,0.001042,0,0.014168,0.218421,0.148824,0.304701,0.000196,0,0.002407,0.000702,0,0.007239,0.18813,0.129335,0.245034,0.384875,0.194625,0.519568,0.001771,0,0.023888,0.000122,0,0.001311,0.000234,0,0.002945,0.000237,0,0.002949,0.000219,0,0.002446,0.000136,0,0.001524,0.000159,0,0.001773,0.000134,0,0.00145,0.000562,0,0.006645,0.000301,0,0.003679,0.000473,0,0.005263,0.195566,0.074982,0.386015,0.00017,0,0.002125,0.000221,0,0.002353
