"V1","individual_id","population","q_1","lb_q_1","ub_q_1","q_2","lb_q_2","ub_q_2","q_3","lb_q_3","ub_q_3","q_4","lb_q_4","ub_q_4","q_5","lb_q_5","ub_q_5","q_6","lb_q_6","ub_q_6","q_7","lb_q_7","ub_q_7","q_8","lb_q_8","ub_q_8","Q_1_1","lb_Q_1_1","ub_Q_1_1","Q_2_1","lb_Q_2_1","ub_Q_2_1","Q_2_2","lb_Q_2_2","ub_Q_2_2","Q_3_1","lb_Q_3_1","ub_Q_3_1","Q_3_2","lb_Q_3_2","ub_Q_3_2","Q_3_3","lb_Q_3_3","ub_Q_3_3","Q_4_1","lb_Q_4_1","ub_Q_4_1","Q_4_2","lb_Q_4_2","ub_Q_4_2","Q_4_3","lb_Q_4_3","ub_Q_4_3","Q_4_4","lb_Q_4_4","ub_Q_4_4","Q_5_1","lb_Q_5_1","ub_Q_5_1","Q_5_2","lb_Q_5_2","ub_Q_5_2","Q_5_3","lb_Q_5_3","ub_Q_5_3","Q_5_4","lb_Q_5_4","ub_Q_5_4","Q_5_5","lb_Q_5_5","ub_Q_5_5","Q_6_1","lb_Q_6_1","ub_Q_6_1","Q_6_2","lb_Q_6_2","ub_Q_6_2","Q_6_3","lb_Q_6_3","ub_Q_6_3","Q_6_4","lb_Q_6_4","ub_Q_6_4","Q_6_5","lb_Q_6_5","ub_Q_6_5","Q_6_6","lb_Q_6_6","ub_Q_6_6","Q_7_1","lb_Q_7_1","ub_Q_7_1","Q_7_2","lb_Q_7_2","ub_Q_7_2","Q_7_3","lb_Q_7_3","ub_Q_7_3","Q_7_4","lb_Q_7_4","ub_Q_7_4","Q_7_5","lb_Q_7_5","ub_Q_7_5","Q_7_6","lb_Q_7_6","ub_Q_7_6","Q_7_7","lb_Q_7_7","ub_Q_7_7","Q_8_1","lb_Q_8_1","ub_Q_8_1","Q_8_2","lb_Q_8_2","ub_Q_8_2","Q_8_3","lb_Q_8_3","ub_Q_8_3","Q_8_4","lb_Q_8_4","ub_Q_8_4","Q_8_5","lb_Q_8_5","ub_Q_8_5","Q_8_6","lb_Q_8_6","ub_Q_8_6","Q_8_7","lb_Q_8_7","ub_Q_8_7","Q_8_8","lb_Q_8_8","ub_Q_8_8"
"PH_AS_10.sorted.bam","10","AS",0.028038,0,0.05488,0.043948,0.013431,0.0705,0.111589,0.074062,0.159216,0.392766,0.3425,0.443617,0.337578,0.277738,0.394045,0.001033,0,0.007836,0.027926,0,0.053732,0.057122,0.02997,0.09207,7.4e-05,0,0.000761,0.000155,0,0.00185,0.000369,0,0.00464,5e-04,0,0.00578,0.031089,0,0.125449,0.000291,0,0.003295,0.000181,0,0.001994,0.004276,0,0.05763,0.118728,0,0.280268,0.000345,0,0.003411,0.000276,0,0.003303,0.0104,0,0.090643,0.00147,0,0.01757,0.66031,0.531186,0.766551,0.000292,0,0.003409,0.000159,0,0.001867,0.000226,0,0.002577,0.000351,0,0.004275,0.000488,0,0.006267,0.000217,0,0.002955,8e-05,0,0.000894,0.054259,0,0.106557,0.000399,0,0.004243,0.000145,0,0.001615,0.000236,0,0.002051,0.000342,0,0.002799,0.000136,0,0.001378,5e-05,0,0.000414,0.000396,0,0.003637,0.040613,0,0.12818,0.070313,0,0.179504,0.000623,0,0.007056,0.001557,0,0.012391,0.000329,0,0.00346,0.000236,0,0.002461,8.8e-05,0,0.000849
"PH_AS_11.sorted.bam","11","AS",0.025714,0,0.060404,0.028721,0,0.063179,0.072827,0.031282,0.133198,0.412206,0.370551,0.481917,0.39499,0.332147,0.43427,0.000836,0,0.006883,0.004068,0,0.030008,0.060637,0.016787,0.094519,0.000328,0,0.0032,0.038367,0,0.106889,0.000686,0,0.009585,0.001866,0,0.029203,0.001195,0,0.013869,0.002704,0,0.039092,0.000643,0,0.007868,0.000709,0,0.004451,0.039988,0,0.251985,0.000174,0,0.001961,0.003263,0,0.047348,0.008927,0,0.111926,0.002087,0,0.034528,0.765449,0.499707,0.861985,0.004536,0,0.055912,0.00015,0,0.001383,0.000181,0,0.002083,0.000246,0,0.002745,0.000195,0,0.001546,9.3e-05,0,0.000971,9.3e-05,0,0.001081,0.004326,0,0.05511,0.000403,0,0.002441,0.00076,0,0.010628,0.001136,0,0.016242,0.000391,0,0.004166,0.00021,0,0.002036,6.8e-05,0,0.000552,0.002158,0,0.029943,0.006288,0,0.076355,0.094103,0,0.178679,0.015943,0,0.14514,0.000697,0,0.006601,0.00041,0,0.004233,0.000775,0,0.009415,0.00045,0,0.004082
"PH_AS_12.sorted.bam","12","AS",0.003562,0,0.020919,0.087714,0.051802,0.126341,0.050141,0.000217,0.1037,0.447938,0.414101,0.490612,0.379332,0.316712,0.428448,0.002382,0,0.01672,0.001981,0,0.013306,0.026949,0,0.076141,0.000437,0,0.005464,0.000766,0,0.010113,0.073953,0,0.120048,0.001712,0,0.022706,0.000891,0,0.012525,0.004966,0,0.052785,0.000532,0,0.005496,0.020761,0,0.208193,0.082281,0,0.203179,0.005163,0,0.067414,0.000374,0,0.004808,0.001918,0,0.02829,0.000937,0,0.012503,0.747145,0.597857,0.852444,0.001504,0,0.019798,0.000446,0,0.005383,0.000301,0,0.003858,0.000377,0,0.004828,0.000759,0,0.008756,0.000356,0,0.004031,0.00098,0,0.011765,0.001107,0,0.017764,0.000312,0,0.003373,0.000587,0,0.00707,0.000406,0,0.00523,0.000406,0,0.005955,0.000202,0,0.002312,0.000253,0,0.002979,0.001312,0,0.022346,0.002574,0,0.045172,0.003565,0,0.045954,0.033667,0,0.148742,0.004522,0,0.057029,0.000362,0,0.004662,0.000437,0,0.005359,0.003731,0,0.038063
"PH_AS_1.sorted.bam","1","AS",0.021263,0,0.052434,0.094449,0.055494,0.134374,0.013787,0,0.048061,0.438929,0.39609,0.484803,0.413782,0.354958,0.460725,0.00228,0,0.016208,0.002604,0,0.023775,0.012906,0,0.041977,0.000269,0,0.002713,0.00317,0,0.045048,0.067846,0,0.12415,0.01296,0,0.073857,0.002182,0,0.033125,0.003982,0,0.039304,0.008407,0,0.079752,0.042091,0,0.221456,0.000764,0,0.010238,0.00264,0,0.041812,0.003518,0,0.046519,0.003025,0,0.037551,0.000486,0,0.006541,0.816626,0.695447,0.913344,0.000775,0,0.010584,0.000585,0,0.006818,0.000422,0,0.00464,0.000489,0,0.005976,0.000618,0,0.007456,0.000261,0,0.002554,0.000216,0,0.002511,0.003171,0,0.04649,0.000206,0,0.002574,0.000237,0,0.002808,0.000414,0,0.005657,0.000325,0,0.002839,0.000129,0,0.00136,0.00012,0,0.00129,0.010176,0,0.068867,0.002109,0,0.030268,0.00249,0,0.036964,0.003658,0,0.053174,0.001772,0,0.026374,0.001622,0,0.021037,0.000488,0,0.005535,0.001748,0,0.023507
"PH_AS_2.sorted.bam","2","AS",0.085339,0.001921,0.119322,0.018489,0,0.061064,0.158688,0.108188,0.239131,0.345526,0.297232,0.401853,0.240213,0.180001,0.28969,0.000666,0,0.005812,0.087401,0.027177,0.118762,0.063678,0.037227,0.09387,5.7e-05,0,0.000638,0.00076,0,0.003887,6.5e-05,0,0.000589,0.000324,0,0.003574,0.003863,0,0.051068,0.000222,0,0.001602,0.000208,0,0.001931,0.000456,0,0.003935,0.247791,0.071126,0.476374,0.000101,0,0.001145,0.000241,0,0.002471,0.001715,0,0.025379,0.000412,0,0.00497,0.440787,0.282626,0.570743,0.000156,0,0.001408,0.000165,0,0.001784,0.000293,0,0.003082,0.000238,0,0.00224,0.000107,0,0.001107,0.000202,0,0.002237,5.9e-05,0,0.000632,0.168028,0,0.235411,0.005524,0,0.068584,0.000171,0,0.001565,0.000442,0,0.003089,0.000231,0,0.002092,4.9e-05,0,0.000457,4.1e-05,0,0.000393,0.000837,0,0.010991,0.024238,0,0.114637,0.064133,0,0.173115,0.00106,0,0.01364,0.036528,0,0.171356,0.000161,0,0.001538,0.000275,0,0.002979,6.1e-05,0,0.000657
"PH_AS_3.sorted.bam","3","AS",0.015972,0,0.041589,0.04706,0.014936,0.077332,0.033994,1e-06,0.077483,0.430046,0.397132,0.465069,0.400584,0.348855,0.443621,0.000999,0,0.007732,0.014936,0,0.036611,0.05641,0.02187,0.089393,0.000184,0,0.001961,0.000639,0,0.008756,0.000617,0,0.009452,0.003503,0,0.043299,0.036406,0,0.116638,0.000408,0,0.004373,0.000327,0,0.004436,0.009157,0,0.09683,0.006754,0,0.088308,0.001093,0,0.014757,0.000311,0,0.004133,0.007544,0,0.09828,0.00133,0,0.018613,0.79001,0.663403,0.881384,0.000454,0,0.004745,0.000381,0,0.004208,0.000235,0,0.003038,0.000383,0,0.005324,0.000228,0,0.002384,0.000161,0,0.001421,0.000105,0,0.001125,0.022919,0,0.070863,0.002332,0,0.029344,0.001283,0,0.018552,0.000629,0,0.008739,0.000473,0,0.005751,0.000166,0,0.002003,0.000146,0,0.001555,0.003496,0,0.047001,0.036571,0,0.138799,0.017511,0,0.095317,0.0508,0,0.166716,0.000431,0,0.002721,0.000236,0,0.00189,0.001778,0,0.025581,0.000998,0,0.01089
"PH_AS_4.sorted.bam","4","AS",0.00342,0,0.02263,0.030968,0,0.069252,0.066392,0.021589,0.117915,0.454125,0.412102,0.490711,0.416967,0.363272,0.460519,0.00271,0,0.017826,0.000716,0,0.005552,0.024702,0.001886,0.053345,0.000202,0,0.002127,0.001482,0,0.022577,0.001805,0,0.028173,0.001729,0,0.024823,0.038675,0,0.134806,0.004056,0,0.049777,0.00051,0,0.007242,0.006706,0,0.091076,0.079825,0,0.21968,0.001373,0,0.0193,0.001255,0,0.020098,0.008663,0,0.084204,0.002881,0,0.041583,0.816042,0.691658,0.917398,0.001959,0,0.029813,0.000777,0,0.011033,0.000446,0,0.004661,0.000558,0,0.007154,0.001685,0,0.024582,0.000883,0,0.013338,0.00037,0,0.004707,0.000317,0,0.004517,0.000162,0,0.001779,0.000177,0,0.001851,0.000155,0,0.001649,0.000104,0,0.000931,0.00014,0,0.001258,0.000105,0,0.001109,0.000366,0,0.004227,0.002193,0,0.030665,0.000827,0,0.011344,0.00058,0,0.007004,0.000188,0,0.002157,0.00019,0,0.002117,0.000166,0,0.001631,0.022447,0.000456,0.050073
"PH_AS_5.sorted.bam","5","AS",0.023063,0,0.05393,0.053489,0.023845,0.087792,0.008171,0,0.051733,0.455713,0.4118,0.49679,0.402854,0.342618,0.448166,0.002324,0,0.018477,0.009111,0,0.035058,0.045275,0.01986,0.075761,7.9e-05,0,0.000787,0.003027,0,0.049196,0.021407,0,0.075864,0.001544,0,0.023229,0.000784,0,0.011259,0.000539,0,0.00653,0.000677,0,0.006913,0.055315,0,0.160456,0.009556,0,0.101359,0.001982,0,0.027878,0.001347,0,0.017989,0.001015,0,0.012353,0.000447,0,0.004051,0.790103,0.663794,0.889639,0.000887,0,0.007597,0.001768,0,0.026573,0.000242,0,0.001664,0.000292,0,0.002974,0.000685,0,0.006013,0.000317,0,0.00402,0.000302,0,0.00454,0.014935,0,0.069317,0.000322,0,0.003399,0.000904,0,0.013235,0.000744,0,0.008592,0.000274,0,0.002648,0.000239,0,0.002693,0.000146,0,0.001635,0.022669,0,0.094699,0.003458,0,0.057436,0.001737,0,0.025448,0.050382,0,0.142122,0.01043,0,0.098506,0.000501,0,0.006127,0.000511,0,0.006547,0.000431,0,0.005235
"PH_AS_6.sorted.bam","6","AS",0.022923,0,0.059319,0.037378,6.3e-05,0.07796,0.038275,0,0.101769,0.409962,0.361612,0.452137,0.415095,0.351435,0.471064,0.001031,0,0.00919,0.001099,0,0.008289,0.074236,0.037801,0.117147,0.000171,0,0.001791,3e-04,0,0.003091,0.015713,0,0.07255,0.000853,0,0.007905,0.022551,0,0.119216,0.004912,0,0.051963,0.006209,0,0.073583,0.005476,0,0.082526,0.027989,0,0.167437,0.003208,0,0.053621,0.030203,0,0.115587,0.009896,0,0.089984,0.008267,0,0.092918,0.771453,0.654328,0.873407,0.00157,0,0.023738,0.000251,0,0.002932,0.000392,0,0.004774,0.000202,0,0.002241,0.000257,0,0.002401,0.00022,0,0.001903,8e-05,0,0.000798,0.000234,0,0.002901,0.000182,0,0.001869,0.000254,0,0.00291,0.000275,0,0.002827,0.000219,0,0.002111,0.000151,0,0.001675,0.000162,0,0.001601,0.007453,0,0.081392,0.004535,0,0.056728,0.00661,0,0.085372,0.00185,0,0.021486,0.006791,0,0.102136,0.000432,0,0.00374,0.000559,0,0.004682,0.060122,0,0.107185
"PH_AS_7.sorted.bam","7","AS",0.002544,0,0.017308,0.032707,0.003028,0.060873,0.011278,0,0.046922,0.475619,0.437122,0.508955,0.441027,0.390344,0.478527,0.000842,0,0.006675,0.000759,0,0.006671,0.035224,6.1e-05,0.072371,0.000119,0,0.001226,0.000644,0,0.007501,0.000437,0,0.005747,0.00115,0,0.017104,0.008897,0,0.074609,0.002272,0,0.030354,0.000432,0,0.004832,0.02059,0,0.110651,0.004927,0,0.05825,0.007511,0,0.069961,0.001281,0,0.019063,0.002732,0,0.036902,0.000955,0,0.012277,0.874983,0.771309,0.951159,0.000665,0,0.010303,0.000257,0,0.00315,0.000318,0,0.004041,0.000176,0,0.001424,0.000338,0,0.004545,0.000195,0,0.001841,8e-05,0,0.000765,0.000441,0,0.005762,0.000177,0,0.001684,0.000236,0,0.002125,0.000146,0,0.001431,0.000118,0,0.001309,6.8e-05,0,0.000764,7.3e-05,0,0.000719,0.000643,0,0.008221,0.031182,0,0.095082,0.001672,0,0.027566,0.034801,0,0.136357,0.000462,0,0.004904,0.000173,0,0.00174,0.000184,0,0.002157,0.000666,0,0.008761
