param,mean,median,ci_0.950_LB,ci_0.950_UB
Q_ind_1_anc_1-1,0.000523,0.000001,0.000000,0.005116
Q_ind_2_anc_1-1,0.000394,0.000001,0.000000,0.004227
Q_ind_3_anc_1-1,0.000889,0.000002,0.000000,0.008806
Q_ind_4_anc_1-1,0.000650,0.000001,0.000000,0.006778
Q_ind_5_anc_1-1,0.000206,0.000000,0.000000,0.002153
Q_ind_6_anc_1-1,0.000623,0.000001,0.000000,0.006636
Q_ind_7_anc_1-1,0.000343,0.000001,0.000000,0.003565
Q_ind_8_anc_1-1,0.001414,0.000007,0.000000,0.011378
Q_ind_9_anc_1-1,0.000993,0.000003,0.000000,0.010671
Q_ind_10_anc_1-1,0.000364,0.000001,0.000000,0.003886
Q_ind_11_anc_1-1,0.004354,0.000762,0.000000,0.021991
Q_ind_12_anc_1-1,0.000672,0.000001,0.000000,0.006988
Q_ind_13_anc_1-1,0.182912,0.182746,0.108758,0.261836
Q_ind_14_anc_1-1,0.023673,0.001409,0.000000,0.133476
Q_ind_15_anc_1-1,0.231838,0.232270,0.145406,0.318005
Q_ind_16_anc_1-1,0.143424,0.144321,0.059672,0.223493
Q_ind_17_anc_1-1,0.070965,0.070112,0.000000,0.172309
Q_ind_18_anc_1-1,0.178097,0.182135,0.000008,0.321366
Q_ind_19_anc_1-1,0.127609,0.129340,0.050657,0.198576
Q_ind_20_anc_1-1,0.000570,0.000001,0.000000,0.005841
Q_ind_21_anc_1-1,0.006280,0.000059,0.000000,0.042272
Q_ind_22_anc_1-1,0.011146,0.005138,0.000000,0.043064
Q_ind_23_anc_1-1,0.001700,0.000006,0.000000,0.015231
Q_ind_24_anc_1-1,0.001762,0.000002,0.000000,0.018420
Q_ind_25_anc_1-1,0.011176,0.000394,0.000000,0.054610
Q_ind_26_anc_1-1,0.002007,0.000005,0.000000,0.019119
Q_ind_27_anc_1-1,0.000629,0.000001,0.000000,0.006496
Q_ind_28_anc_1-1,0.002249,0.000005,0.000000,0.021468
Q_ind_29_anc_1-1,0.009436,0.000347,0.000000,0.045496
Q_ind_30_anc_1-1,0.001524,0.000005,0.000000,0.014319
Q_ind_31_anc_1-1,0.001149,0.000002,0.000000,0.011723
Q_ind_32_anc_1-1,0.077060,0.083869,0.000000,0.130575
Q_ind_33_anc_1-1,0.002944,0.000003,0.000000,0.030883
Q_ind_34_anc_1-1,0.001259,0.000002,0.000000,0.013109
Q_ind_35_anc_1-1,0.001542,0.000004,0.000000,0.015170
Q_ind_36_anc_1-1,0.002237,0.000003,0.000000,0.026220
