param,mean,median,ci_0.950_LB,ci_0.950_UB
q_ind_0_pop_0,0.001313,0.000189,0.000000,0.009277
q_ind_1_pop_0,0.001104,0.000169,0.000000,0.007890
q_ind_2_pop_0,0.002232,0.000504,0.000000,0.013505
q_ind_3_pop_0,0.001542,0.000313,0.000000,0.009781
q_ind_4_pop_0,0.001331,0.000204,0.000000,0.009934
q_ind_5_pop_0,0.001093,0.000230,0.000000,0.006595
q_ind_6_pop_0,0.002605,0.000517,0.000000,0.016017
q_ind_7_pop_0,0.003751,0.000826,0.000000,0.020108
q_ind_8_pop_0,0.001025,0.000177,0.000000,0.007021
q_ind_9_pop_0,0.000748,0.000123,0.000000,0.005105
q_ind_10_pop_0,0.002267,0.000479,0.000000,0.014180
q_ind_11_pop_0,0.001135,0.000189,0.000000,0.007716
q_ind_12_pop_0,0.055013,0.058856,0.000129,0.097231
q_ind_13_pop_0,0.084135,0.084685,0.031598,0.139337
q_ind_14_pop_0,0.055750,0.059128,0.000217,0.104374
q_ind_15_pop_0,0.070335,0.069800,0.031845,0.110858
q_ind_16_pop_0,0.092613,0.092053,0.047190,0.138149
q_ind_17_pop_0,0.058567,0.058647,0.002608,0.105173
q_ind_18_pop_0,0.081867,0.083834,0.008036,0.131722
q_ind_19_pop_0,0.078035,0.078407,0.036260,0.118957
q_ind_20_pop_0,0.002298,0.000426,0.000000,0.014648
q_ind_21_pop_0,0.004339,0.001246,0.000000,0.021462
q_ind_22_pop_0,0.002096,0.000446,0.000000,0.013141
q_ind_23_pop_0,0.003020,0.000509,0.000000,0.020522
q_ind_24_pop_0,0.006552,0.001948,0.000000,0.034195
q_ind_25_pop_0,0.002844,0.000644,0.000000,0.016941
q_ind_26_pop_0,0.010230,0.005710,0.000000,0.043475
q_ind_27_pop_0,0.002962,0.000677,0.000000,0.018627
q_ind_28_pop_0,0.003510,0.001059,0.000000,0.019651
q_ind_29_pop_0,0.005805,0.002150,0.000000,0.027512
q_ind_30_pop_0,0.001783,0.000352,0.000000,0.011033
q_ind_31_pop_0,0.003211,0.000785,0.000000,0.018718
q_ind_32_pop_0,0.005956,0.002597,0.000000,0.026696
q_ind_33_pop_0,0.001710,0.000337,0.000000,0.011294
q_ind_34_pop_0,0.003970,0.000809,0.000000,0.026349
q_ind_35_pop_0,0.000830,0.000120,0.000000,0.005844
q_ind_36_pop_0,0.002299,0.000505,0.000000,0.013714
q_ind_37_pop_0,0.001210,0.000232,0.000000,0.007961
q_ind_38_pop_0,0.068846,0.067833,0.039210,0.104996
q_ind_39_pop_0,0.049936,0.049659,0.015927,0.084888
q_ind_40_pop_0,0.001331,0.000232,0.000000,0.009653
q_ind_41_pop_0,0.569672,0.569182,0.507586,0.637104
q_ind_42_pop_0,0.571654,0.568992,0.504194,0.655220
q_ind_43_pop_0,0.577550,0.576437,0.503741,0.657984
q_ind_44_pop_0,0.596581,0.595039,0.528252,0.668360
q_ind_45_pop_0,0.561777,0.561311,0.488306,0.639156
q_ind_46_pop_0,0.550248,0.549308,0.489176,0.623818
q_ind_47_pop_0,0.575556,0.572543,0.510452,0.655486
q_ind_48_pop_0,0.239987,0.238420,0.178617,0.308396
q_ind_49_pop_0,0.221103,0.220663,0.159066,0.297130
q_ind_50_pop_0,0.212365,0.211295,0.150954,0.284999
q_ind_51_pop_0,0.229322,0.227705,0.170988,0.301115
q_ind_52_pop_0,0.248627,0.247947,0.181679,0.326678
q_ind_53_pop_0,0.252338,0.252621,0.190699,0.320293
