"V1","individual_id","population","q_1","lb_q_1","ub_q_1","q_2","lb_q_2","ub_q_2","q_3","lb_q_3","ub_q_3","q_4","lb_q_4","ub_q_4","q_5","lb_q_5","ub_q_5","q_6","lb_q_6","ub_q_6","q_7","lb_q_7","ub_q_7","q_8","lb_q_8","ub_q_8","q_9","lb_q_9","ub_q_9","q_10","lb_q_10","ub_q_10","Q_1_1","lb_Q_1_1","ub_Q_1_1","Q_2_1","lb_Q_2_1","ub_Q_2_1","Q_2_2","lb_Q_2_2","ub_Q_2_2","Q_3_1","lb_Q_3_1","ub_Q_3_1","Q_3_2","lb_Q_3_2","ub_Q_3_2","Q_3_3","lb_Q_3_3","ub_Q_3_3","Q_4_1","lb_Q_4_1","ub_Q_4_1","Q_4_2","lb_Q_4_2","ub_Q_4_2","Q_4_3","lb_Q_4_3","ub_Q_4_3","Q_4_4","lb_Q_4_4","ub_Q_4_4","Q_5_1","lb_Q_5_1","ub_Q_5_1","Q_5_2","lb_Q_5_2","ub_Q_5_2","Q_5_3","lb_Q_5_3","ub_Q_5_3","Q_5_4","lb_Q_5_4","ub_Q_5_4","Q_5_5","lb_Q_5_5","ub_Q_5_5","Q_6_1","lb_Q_6_1","ub_Q_6_1","Q_6_2","lb_Q_6_2","ub_Q_6_2","Q_6_3","lb_Q_6_3","ub_Q_6_3","Q_6_4","lb_Q_6_4","ub_Q_6_4","Q_6_5","lb_Q_6_5","ub_Q_6_5","Q_6_6","lb_Q_6_6","ub_Q_6_6","Q_7_1","lb_Q_7_1","ub_Q_7_1","Q_7_2","lb_Q_7_2","ub_Q_7_2","Q_7_3","lb_Q_7_3","ub_Q_7_3","Q_7_4","lb_Q_7_4","ub_Q_7_4","Q_7_5","lb_Q_7_5","ub_Q_7_5","Q_7_6","lb_Q_7_6","ub_Q_7_6","Q_7_7","lb_Q_7_7","ub_Q_7_7","Q_8_1","lb_Q_8_1","ub_Q_8_1","Q_8_2","lb_Q_8_2","ub_Q_8_2","Q_8_3","lb_Q_8_3","ub_Q_8_3","Q_8_4","lb_Q_8_4","ub_Q_8_4","Q_8_5","lb_Q_8_5","ub_Q_8_5","Q_8_6","lb_Q_8_6","ub_Q_8_6","Q_8_7","lb_Q_8_7","ub_Q_8_7","Q_8_8","lb_Q_8_8","ub_Q_8_8","Q_9_1","lb_Q_9_1","ub_Q_9_1","Q_9_2","lb_Q_9_2","ub_Q_9_2","Q_9_3","lb_Q_9_3","ub_Q_9_3","Q_9_4","lb_Q_9_4","ub_Q_9_4","Q_9_5","lb_Q_9_5","ub_Q_9_5","Q_9_6","lb_Q_9_6","ub_Q_9_6","Q_9_7","lb_Q_9_7","ub_Q_9_7","Q_9_8","lb_Q_9_8","ub_Q_9_8","Q_9_9","lb_Q_9_9","ub_Q_9_9","Q_10_1","lb_Q_10_1","ub_Q_10_1","Q_10_2","lb_Q_10_2","ub_Q_10_2","Q_10_3","lb_Q_10_3","ub_Q_10_3","Q_10_4","lb_Q_10_4","ub_Q_10_4","Q_10_5","lb_Q_10_5","ub_Q_10_5","Q_10_6","lb_Q_10_6","ub_Q_10_6","Q_10_7","lb_Q_10_7","ub_Q_10_7","Q_10_8","lb_Q_10_8","ub_Q_10_8","Q_10_9","lb_Q_10_9","ub_Q_10_9","Q_10_10","lb_Q_10_10","ub_Q_10_10"
"PH_AS_10.sorted.bam","10","AS",0.391345,0.332698,0.429447,0.001101,0,0.007947,0.055676,0.027929,0.087388,0.004052,0,0.028961,0.088603,0.056812,0.119957,0.001214,0,0.009742,0.047605,0.023019,0.075615,0.357904,0.32665,0.389926,0.000664,0,0.005328,0.051836,0.024166,0.097822,5.3e-05,0,0.000503,0.000135,0,0.001664,8e-05,0,0.000826,0.000291,0,0.003048,0.000342,0,0.003912,0.000399,0,0.005408,0.000373,0,0.004564,0.000311,0,0.00435,0.002336,0,0.039086,0.000272,0,0.003782,0.140433,0,0.2355,0.000159,0,0.001772,0.030779,0,0.161874,0.000248,0,0.003022,0.000133,0,0.001426,0.000124,0,0.001059,0.000115,0,0.001085,0.000214,0,0.001781,0.000228,0,0.002584,0.000281,0,0.002354,8.5e-05,0,0.000543,0.00032,0,0.004445,0.000227,0,0.002842,0.021675,0,0.104343,0.00179,0,0.0328,0.000519,0,0.006408,0.00027,0,0.002467,0.000105,0,0.000963,0.639309,0.551238,0.731757,0.000443,0,0.005411,0.049043,0,0.147788,0.001659,0,0.023985,0.000301,0,0.003853,0.00073,0,0.008055,0.001681,0,0.023195,0.000474,0,0.006272,9e-05,0,0.000732,0.000119,0,0.001367,0.000112,0,0.001208,0.000123,0,0.001008,7e-05,0,0.000626,7.2e-05,0,0.000683,0.000204,0,0.002036,0.000207,0,0.001539,5.2e-05,0,0.000476,0.001508,0,0.024196,0.000191,0,0.001244,0.005761,0,0.075255,0.000491,0,0.005754,0.004152,0,0.063661,0.000223,0,0.002685,0.068314,0,0.147198,0.021488,0,0.108147,0.000227,0,0.002698,0.000658,0,0.00684
"PH_AS_11.sorted.bam","11","AS",0.380282,0.325084,0.419853,0.001929,0,0.012809,0.051322,0.023961,0.08206,0.004062,0,0.023259,0.056895,0.020204,0.098167,0.000866,0,0.006515,0.051831,0.021724,0.077903,0.371192,0.324858,0.40774,0.000732,0,0.005579,0.08089,0.037569,0.162028,0.000242,0,0.002536,0.000267,0,0.002746,0.000184,0,0.002396,0.001715,0,0.02059,0.000304,0,0.003097,0.00327,0,0.03713,0.000253,0,0.002974,0.000742,0,0.011082,0.00087,0,0.011678,0.000313,0,0.003802,0.000415,0,0.004894,0.000149,0,0.001408,0.001043,0,0.014112,0.002356,0,0.028396,0.000548,0,0.008122,0.000184,0,0.001984,0.000145,0,0.001356,0.000217,0,0.002079,8.2e-05,0,0.000645,0.000233,0,0.002537,6.9e-05,0,0.000661,0.000747,0,0.010888,0.000728,0,0.009151,0.045358,0,0.140437,0.000949,0,0.014505,0.052911,0,0.144974,0.000142,0,0.00169,0.000629,0,0.008157,0.727502,0.590112,0.811901,0.000381,0,0.004612,0.000774,0,0.009172,0.000547,0,0.007846,0.004619,0,0.080442,0.000315,0,0.003838,0.000349,0,0.00458,0.000344,0,0.004219,0.000142,0,0.001484,0.000176,0,0.001403,1e-04,0,0.001243,0.000185,0,0.00211,0.000176,0,0.001796,6.2e-05,0,0.000515,0.000127,0,0.001279,0.000147,0,0.001638,5.5e-05,0,0.00044,0.028854,0,0.149983,0.000598,0,0.005605,0.045723,0,0.130592,0.001515,0,0.020262,0.050792,0,0.184906,0.000213,0,0.002241,0.001094,0,0.013539,0.007063,0,0.105627,0.000238,0,0.00264,0.012845,0,0.117001
"PH_AS_12.sorted.bam","12","AS",0.364181,0.310039,0.403522,0.001501,0,0.010277,0.104033,0.051694,0.154388,0.003965,0,0.024991,0.004934,0,0.026085,0.002981,0,0.017779,0.031469,2.9e-05,0.065755,0.451877,0.377373,0.506019,0.001043,0,0.008027,0.034015,6e-06,0.106749,0.000257,0,0.002728,0.000211,0,0.002308,0.000292,0,0.003243,0.008146,0,0.083775,0.000338,0,0.00318,0.093144,0.015642,0.15278,0.000526,0,0.005737,0.000296,0,0.003375,0.000772,0,0.00996,0.001402,0,0.019415,0.000363,0,0.003959,0.000312,0,0.003324,0.002014,0,0.026754,0.000586,0,0.008711,0.000768,0,0.012074,0.00052,0,0.00781,0.000487,0,0.006983,0.000236,0,0.002859,0.000495,0,0.006683,0.000671,0,0.009808,0.001264,0,0.015696,0.001024,0,0.014736,0.000317,0,0.003552,0.003947,0,0.057294,0.000602,0,0.006399,0.002847,0,0.042121,0.000179,0,0.001793,0.011692,0,0.058152,0.713881,0.613563,0.793059,0.000218,0,0.002214,0.001359,0,0.016054,0.000295,0,0.002781,0.00048,0,0.005215,0.000205,0,0.002397,0.015341,0,0.106928,0.072461,0,0.151183,0.000175,0,0.00146,0.000134,0,0.00144,0.000181,0,0.001785,0.00013,0,0.001589,0.000314,0,0.004307,0.00018,0,0.001966,0.000267,0,0.002437,0.000149,0,0.00121,0.000113,0,0.001332,0.003004,0,0.042074,0.000106,0,0.000905,0.004787,0,0.048766,0.001427,0,0.018707,0.000745,0,0.011291,0.000462,0,0.005401,0.01503,0,0.078821,0.026905,0,0.162517,0.00033,0,0.003678,0.007618,0,0.07767
"PH_AS_1.sorted.bam","1","AS",0.375367,0.327354,0.418939,0.003183,0,0.021115,0.108362,0.056102,0.159764,0.008665,0,0.0365,0.003662,0,0.022912,0.00139,0,0.010286,0.0135,0,0.043411,0.421254,0.344504,0.480897,0.001037,0,0.008946,0.06358,0.016337,0.156801,0.000915,0,0.013579,0.00113,0,0.015708,0.000189,0,0.001965,0.033006,0,0.148132,0.00059,0,0.008082,0.085308,0,0.153427,0.002517,0,0.037793,0.000904,0,0.013319,0.000785,0,0.012013,0.002194,0,0.024463,0.001196,0,0.016788,0.000347,0,0.003579,0.000843,0,0.011202,0.000206,0,0.002226,0.000753,0,0.011006,0.000346,0,0.003882,0.000199,0,0.002196,0.000105,0,0.00091,0.000128,0,0.00133,0.000238,0,0.002666,9.9e-05,0,0.000933,0.000925,0,0.012401,0.000769,0,0.010558,0.000925,0,0.011861,0.00134,0,0.019403,0.000925,0,0.013535,0.000346,0,0.003308,0.00182,0,0.021731,0.702779,0.58597,0.792755,0.000588,0,0.005384,0.008014,0,0.093025,0.004894,0,0.054795,0.000118,0,0.000689,0.000729,0,0.008984,0.002716,0,0.043919,0.059339,0,0.160982,1e-04,0,0.00086,0.000139,0,0.001481,0.000414,0,0.004723,0.000132,0,0.001257,0.000278,0,0.003636,8.4e-05,0,0.000747,0.000132,0,0.0015,0.000162,0,0.00118,0.000101,0,0.000998,0.006905,0,0.100747,0.001322,0,0.020522,0.001425,0,0.014792,0.002035,0,0.030051,0.001668,0,0.026277,0.000406,0,0.005013,0.015281,0,0.073952,0.00383,0,0.063748,0.000432,0,0.004573,0.046928,0,0.154989
"PH_AS_2.sorted.bam","2","AS",0.400073,0.311657,0.439077,0.005875,0,0.033812,0.032888,0.004155,0.064333,0.011542,0,0.059902,0.160422,0.128736,0.192379,0.000839,0,0.007284,0.058472,0.034295,0.087759,0.283963,0.242656,0.32631,0.01722,0,0.04248,0.028705,0,0.062752,3.8e-05,0,0.000335,0.000126,0,0.0012,4.7e-05,0,0.00051,0.000387,0,0.003427,0.00786,0,0.065658,6.2e-05,0,0.00051,0.000668,0,0.009717,0.000692,0,0.010676,0.004122,0,0.048225,3.6e-05,0,0.00036,0.269063,0,0.37377,0.000372,0,0.003558,0.00413,0,0.09054,0.007066,0,0.114168,9.8e-05,0,0.000963,8e-05,0,0.000845,0.000174,0,0.001946,0.000233,0,0.002034,0.00013,0,0.001342,0.000233,0,0.002401,4.7e-05,0,0.000406,0.000133,0,0.00096,0.000448,0,0.006208,0.02036,0,0.097536,0.002673,0,0.030952,0.036347,0,0.16178,0.000102,0,0.00085,6.1e-05,0,0.000644,0.529336,0.425485,0.631382,0.000597,0,0.005156,0.013344,0,0.090779,0.003727,0,0.051523,0.000161,0,0.001903,0.000475,0,0.006649,0.004908,0,0.074546,0.00021,0,0.002993,9.8e-05,0,0.000923,0.000604,0,0.008305,0.014678,0,0.069028,0.000715,0,0.010438,0.001137,0,0.015626,8.2e-05,0,0.000803,0.002617,0,0.032442,0.014131,0,0.072331,3e-05,0,0.000252,0.000181,0,0.001527,0.000785,0,0.012098,0.000538,0,0.006459,0.003221,0,0.043405,0.002137,0,0.037013,7.5e-05,0,0.000596,0.049236,0,0.122095,0.000827,0,0.008779,0.00032,0,0.003335,4.5e-05,0,0.00041
"PH_AS_3.sorted.bam","3","AS",0.385011,0.336152,0.426465,0.001412,0,0.010403,0.062201,0.024093,0.099259,0.00155,0,0.012193,0.014003,0,0.048589,0.001313,0,0.010019,0.066071,0.031421,0.10792,0.41231,0.348762,0.470011,0.00292,0,0.018463,0.053209,0.002711,0.114627,0.004779,0,0.048383,0.000202,0,0.002151,0.000167,0,0.002034,0.010633,0,0.135769,0.000192,0,0.001429,0.001599,0,0.020374,0.000393,0,0.003678,0.000165,0,0.001568,0.000223,0,0.002557,0.000219,0,0.001607,0.010785,0,0.078774,0.00071,0,0.012285,0.000422,0,0.004023,0.000367,0,0.005158,0.000498,0,0.007922,0.000133,0,0.001299,0.000179,0,0.002009,0.000229,0,0.002262,8.9e-05,0,0.000565,0.000454,0,0.004982,0.000132,0,0.001465,0.004247,0,0.057107,0.000381,0,0.003258,0.055697,0,0.152995,0.000253,0,0.002092,0.007407,0,0.077453,0.00019,0,0.00164,0.029445,0,0.104013,0.719872,0.631496,0.802969,0.00015,0,0.001289,0.004603,0,0.07965,0.000445,0,0.004275,0.000467,0,0.007083,0.000128,0,0.001101,0.002797,0,0.048636,0.037062,0,0.116822,0.000651,0,0.009889,0.000278,0,0.003703,0.000704,0,0.008409,0.000252,0,0.003426,0.000821,0,0.012712,0.000457,0,0.006663,0.001052,0,0.015024,0.000374,0,0.004578,9.6e-05,0,0.00087,0.013547,0,0.10374,0.000232,0,0.002449,0.0485,0,0.191947,0.000475,0,0.005419,0.005577,0,0.053987,0.000504,0,0.006701,0.001229,0,0.019111,0.02166,0,0.113002,0.00106,0,0.013686,0.006816,0,0.047455
"PH_AS_4.sorted.bam","4","AS",0.382558,0.330959,0.420445,0.001031,0,0.00903,0.049807,0.011862,0.088353,0.001009,0,0.008751,0.019669,0,0.066736,0.002447,0,0.018571,0.030699,0.00447,0.060782,0.444249,0.399478,0.499849,0.000525,0,0.003928,0.068006,0.023234,0.133952,0.000158,0,0.001511,0.000348,0,0.003795,0.000107,0,0.001049,0.006665,0,0.077052,0.000231,0,0.001976,0.000917,0,0.013845,0.000147,0,0.001326,9.2e-05,0,0.000887,0.000283,0,0.0035,0.000174,0,0.002011,0.024176,0,0.124539,0.00021,0,0.001508,0.005662,0,0.08034,0.000219,0,0.001885,0.00075,0,0.011064,0.001251,0,0.018279,0.00031,0,0.003137,0.00067,0,0.010352,0.000313,0,0.003536,0.000153,0,0.001484,0.000225,0,0.002624,0.000227,0,0.002944,0.00016,0,0.001467,0.001498,0,0.022562,9.6e-05,0,0.000705,0.001317,0,0.018176,0.000463,0,0.006087,0.028561,0.001342,0.059224,0.72656,0.613974,0.816659,0.000277,0,0.003211,0.056807,0,0.167982,0.000262,0,0.002045,0.001265,0,0.017048,0.000799,0,0.010586,0.000128,0,0.001032,0.027788,0,0.134321,0.000128,0,0.000994,6.1e-05,0,0.000561,8.4e-05,0,0.000969,4.9e-05,0,0.000488,8.4e-05,0,0.000949,0.00015,0,0.001584,0.000146,0,0.001432,0.000133,0,0.001478,5.6e-05,0,0.000552,0.005297,0,0.06833,0.000156,0,0.001668,0.025879,0,0.110514,0.000208,0,0.001683,0.00475,0,0.056056,0.000335,0,0.003872,0.00024,0,0.002747,0.046692,0,0.179601,0.000104,0,0.000992,0.026176,0,0.121878
"PH_AS_5.sorted.bam","5","AS",0.37924,0.332451,0.409981,0.001644,0,0.012423,0.067211,0.025427,0.111467,0.001709,0,0.012569,0.0036,0,0.02212,0.002152,0,0.015224,0.052607,0.030376,0.079564,0.437486,0.374329,0.487614,0.001347,0,0.009768,0.053005,0.000478,0.114574,0.000367,0,0.003897,0.000892,0,0.011846,8.5e-05,0,0.000679,0.00038,0,0.004917,0.000444,0,0.004739,0.064082,0.019933,0.109884,0.000194,0,0.001668,0.000106,0,0.000988,0.000115,0,0.001106,0.000328,0,0.004633,0.00127,0,0.01897,0.000142,0,0.001571,0.000473,0,0.004201,0.000333,0,0.004378,0.000337,0,0.003954,0.000463,0,0.004995,0.000229,0,0.002941,0.000584,0,0.007129,0.000218,0,0.002091,0.000531,0,0.006971,0.000495,0,0.007745,0.000206,0,0.002017,0.000493,0,0.004344,0.001347,0,0.021468,0.000375,0,0.004801,0.001679,0,0.023834,0.000178,0,0.002012,0.000486,0,0.00714,0.752412,0.661101,0.814669,0.000294,0,0.003216,0.00223,0,0.034289,0.000593,0,0.006228,0.001238,0,0.019667,0.000628,0,0.00713,0.037885,0,0.148687,0.037412,0,0.110446,0.000727,0,0.010913,0.000283,0,0.003424,0.000182,0,0.002149,0.000137,0,0.001115,0.000327,0,0.003656,1e-04,0,0.001049,0.000241,0,0.002511,0.000224,0,0.00287,0.000115,0,0.001281,0.001202,0,0.015245,0.000234,0,0.003322,0.000501,0,0.005706,0.000692,0,0.010855,0.000533,0,0.007201,0.000381,0,0.004551,0.061838,0,0.131289,0.004646,0,0.065303,0.000242,0,0.002534,0.017869,0,0.101527
"PH_AS_6.sorted.bam","6","AS",0.347134,0.271388,0.397984,0.001458,0,0.011133,0.061698,0.000423,0.113553,0.002196,0,0.015416,0.021923,0,0.05817,0.001247,0,0.009663,0.081122,0.045514,0.119748,0.406846,0.351496,0.461882,0.001187,0,0.00862,0.075188,0.033873,0.144395,0.002596,0,0.04057,0.000321,0,0.003561,0.000175,0,0.001834,0.028079,0,0.1189,0.00021,0,0.001836,0.035896,0,0.103452,0.000404,0,0.004508,0.000118,0,0.000997,0.000773,0,0.011462,0.000341,0,0.002988,0.001867,0,0.029806,0.000207,0,0.002459,0.005429,0,0.067549,0.000956,0,0.013892,0.000957,0,0.016911,0.000122,0,0.001067,0.000142,0,0.001167,0.000413,0,0.005887,0.000187,0,0.001495,0.000816,0,0.012411,6.7e-05,0,0.000549,0.000387,0,0.005398,0.000381,0,0.004393,0.001056,0,0.013808,0.000349,0,0.003076,0.001371,0,0.016808,0.000149,0,0.001532,0.077053,0.035117,0.118014,0.628446,0.505961,0.750707,0.000346,0,0.003331,0.00443,0,0.069458,0.000509,0,0.005188,0.000413,0,0.003941,0.000256,0,0.002377,0.000185,0,0.002101,0.055214,0,0.172736,0.00023,0,0.00247,0.000149,0,0.001735,0.000232,0,0.002797,0.000166,0,0.001769,0.000516,0,0.006432,0.000118,0,0.000894,0.000323,0,0.004903,0.000183,0,0.001595,8.2e-05,0,0.000688,0.029222,0,0.154072,0.000693,0,0.009308,0.010982,0,0.093935,0.000249,0,0.002801,0.03036,0,0.111787,0.000158,0,0.001461,0.003937,0,0.060816,0.068497,0,0.258445,0.000292,0,0.003576,0.002994,0,0.039393
"PH_AS_7.sorted.bam","7","AS",0.398486,0.330252,0.441698,0.000787,0,0.005706,0.045757,0.017768,0.078654,0.002185,0,0.020299,0.001339,0,0.010616,0.000555,0,0.004104,0.028253,0,0.068142,0.449092,0.380269,0.497076,0.000479,0,0.003811,0.073067,0.027846,0.152687,0.000164,0,0.001759,0.000181,0,0.002225,0.000126,0,0.001335,0.050386,0,0.121478,0.000205,0,0.002218,0.001635,0,0.024029,0.000187,0,0.001877,0.000138,0,0.00125,0.001758,0,0.029653,0.000119,0,0.001049,0.000192,0,0.001991,0.000102,0,0.000965,0.000354,0,0.00413,0.000323,0,0.004648,0.000148,0,0.001683,0.000157,0,0.001299,6.1e-05,0,0.000745,0.000146,0,0.001699,0.000113,0,0.001123,0.000102,0,0.001025,3.9e-05,0,0.000326,0.000687,0,0.005053,0.000184,0,0.001675,0.029604,0,0.12192,0.000415,0,0.00402,0.000925,0,0.014427,0.000156,0,0.001629,0.002636,0,0.035343,0.684312,0.57573,0.79543,0.00015,0,0.001439,0.001672,0,0.019348,0.000694,0,0.009831,0.000162,0,0.001302,0.000147,0,0.001532,0.010634,0,0.082234,0.083366,0,0.169719,0.000104,0,0.001015,5.4e-05,0,0.000522,8.7e-05,0,0.000924,6e-05,0,0.000575,9.8e-05,0,0.001005,5.5e-05,0,0.000412,0.000143,0,0.00138,9.2e-05,0,0.000837,6.3e-05,0,0.000615,0.060437,0,0.160971,0.000247,0,0.003159,0.004032,0,0.068783,0.000446,0,0.004744,0.000125,0,0.00112,9.6e-05,0,0.00113,0.008485,0,0.076414,0.03359,0,0.200379,0.00014,0,0.001003,0.019267,0,0.135179
