"V1","individual_id","population","q_1","lb_q_1","ub_q_1","q_2","lb_q_2","ub_q_2","Q_1_1","lb_Q_1_1","ub_Q_1_1","Q_2_1","lb_Q_2_1","ub_Q_2_1","Q_2_2","lb_Q_2_2","ub_Q_2_2"
"PH_AS_10.sorted.bam","10","AS",0.816634,0.782719,0.849269,0.183366,0.150731,0.217281,0.634328,0.566146,0.699619,0.364612,0.298988,0.43281,0.001061,0,0.006674
"PH_AS_11.sorted.bam","11","AS",0.8617,0.826692,0.895477,0.1383,0.104523,0.173308,0.725287,0.655793,0.792729,0.272828,0.205003,0.342992,0.001886,0,0.012437
"PH_AS_12.sorted.bam","12","AS",0.910347,0.881462,0.939415,0.089653,0.060585,0.118538,0.854582,0.784183,0.921807,0.111531,0.00609,0.20692,0.033887,4.2e-05,0.085691
"PH_AS_1.sorted.bam","1","AS",0.888144,0.857933,0.92011,0.111856,0.07989,0.142067,0.781513,0.721373,0.845682,0.213262,0.141094,0.277069,0.005225,0,0.031508
"PH_AS_2.sorted.bam","2","AS",0.716025,0.682409,0.74962,0.283975,0.25038,0.317591,0.432761,0.365297,0.500179,0.566528,0.499072,0.634204,0.000711,0,0.004645
"PH_AS_3.sorted.bam","3","AS",0.895607,0.863726,0.926374,0.104393,0.073626,0.136274,0.796378,0.733394,0.85958,0.198458,0.131541,0.264073,0.005164,0,0.028626
"PH_AS_4.sorted.bam","4","AS",0.894584,0.862338,0.924197,0.105416,0.075803,0.137662,0.794754,0.728532,0.857056,0.199661,0.12438,0.269032,0.005585,0,0.031636
"PH_AS_5.sorted.bam","5","AS",0.879859,0.84906,0.909719,0.120141,0.090281,0.15094,0.763752,0.702217,0.825398,0.232214,0.165329,0.295423,0.004034,0,0.023613
"PH_AS_6.sorted.bam","6","AS",0.910429,0.877039,0.943781,0.089571,0.056219,0.122961,0.847881,0.768893,0.927763,0.125096,0.001056,0.227352,0.027023,1e-06,0.086624
"PH_AS_7.sorted.bam","7","AS",0.920066,0.889572,0.946911,0.079934,0.053089,0.110428,0.844141,0.78303,0.902961,0.151851,0.084744,0.215199,0.004008,0,0.024861
"PH_AS_8.sorted.bam","8","AS",0.872124,0.841294,0.90245,0.127876,0.09755,0.158706,0.757404,0.694468,0.819561,0.22944,0.142944,0.30142,0.013156,0,0.057447
"PH_AS_9.sorted.bam","9","AS",0.879573,0.847573,0.910562,0.120427,0.089438,0.152427,0.761367,0.696496,0.823823,0.236411,0.172157,0.30218,0.002222,0,0.01578
"PH_BA_10.sorted.bam","10","BA",0.273867,0.240054,0.310633,0.726133,0.689367,0.759946,0.001826,0,0.012471,0.544082,0.474984,0.617941,0.454092,0.380655,0.522252
"PH_BA_1.sorted.bam","1","BA",0.280787,0.245376,0.317307,0.719213,0.682693,0.754624,0.004506,0,0.025405,0.552562,0.477692,0.629595,0.442932,0.367792,0.515114
"PH_BA_2.sorted.bam","2","BA",0.265996,0.229782,0.301428,0.734004,0.698572,0.770218,0.004257,0,0.025353,0.523478,0.446692,0.598084,0.472265,0.400235,0.5445
"PH_BA_3.sorted.bam","3","BA",0.311069,0.274376,0.347704,0.688931,0.652296,0.725624,0.00539,0,0.033219,0.611358,0.533017,0.688293,0.383252,0.309485,0.45649
"PH_BA_4.sorted.bam","4","BA",0.275418,0.24004,0.310959,0.724582,0.689041,0.75996,0.001717,0,0.011516,0.547403,0.476472,0.618436,0.45088,0.379811,0.521453
"PH_BA_5.sorted.bam","5","BA",0.257972,0.220545,0.296622,0.742028,0.703378,0.779455,0.003617,0,0.023522,0.508711,0.427966,0.588565,0.487673,0.409495,0.563753
"PH_BA_7.sorted.bam","7","BA",0.285207,0.253232,0.318571,0.714793,0.681428,0.746768,0.002435,0,0.01521,0.565544,0.498393,0.634155,0.432022,0.364368,0.497347
"PH_BA_9.sorted.bam","9","BA",0.413465,0.376855,0.448914,0.586535,0.551086,0.623145,0.000846,0,0.005745,0.825239,0.752389,0.897103,0.173915,0.102663,0.246809
"PH_BB_10.sorted.bam","10","BB",0.530527,0.488513,0.574457,0.469473,0.425543,0.511487,0.181106,0.08474,0.280925,0.698842,0.528527,0.869291,0.120052,0.031517,0.213883
"PH_BB_1.sorted.bam","1","BB",0.582502,0.54511,0.620143,0.417498,0.379857,0.45489,0.293772,0.221807,0.367854,0.577461,0.453368,0.696886,0.128768,0.06113,0.199122
"PH_BB_2.sorted.bam","2","BB",0.576133,0.534697,0.614647,0.423867,0.385353,0.465303,0.297594,0.209376,0.388573,0.557077,0.403258,0.704004,0.145329,0.066362,0.231175
"PH_BB_3.sorted.bam","3","BB",0.570885,0.533747,0.610284,0.429115,0.389716,0.466253,0.153159,0.080082,0.237647,0.835452,0.724459,0.913502,0.011389,0,0.065408
"PH_BB_4.sorted.bam","4","BB",0.554508,0.513938,0.5949,0.445492,0.4051,0.486062,0.244525,0.161719,0.325088,0.619966,0.480247,0.763018,0.135509,0.057201,0.219129
"PH_BB_5.sorted.bam","5","BB",0.564974,0.526804,0.603544,0.435026,0.396456,0.473196,0.310424,0.231184,0.384877,0.5091,0.394713,0.635597,0.180475,0.110391,0.246852
"PH_BB_6.sorted.bam","6","BB",0.551745,0.511566,0.594012,0.448255,0.405988,0.488434,0.232436,0.151323,0.319176,0.63862,0.488053,0.768386,0.128945,0.057392,0.214151
"PH_BB_7.sorted.bam","7","BB",0.579092,0.540059,0.621486,0.420908,0.378514,0.459941,0.263715,0.177776,0.352394,0.630754,0.483006,0.775656,0.105531,0.027592,0.183423
"PH_BB_8.sorted.bam","8","BB",0.556741,0.516853,0.596598,0.443259,0.403402,0.483147,0.266152,0.175287,0.356624,0.581177,0.418046,0.739221,0.152671,0.066473,0.244847
"PH_BB_9.sorted.bam","9","BB",0.56355,0.524251,0.601235,0.43645,0.398765,0.475749,0.257979,0.182566,0.333667,0.61114,0.481155,0.732089,0.13088,0.062993,0.205415
"PH_BC_10.sorted.bam","10","BC",0.696334,0.661098,0.730289,0.303666,0.269711,0.338902,0.395489,0.32581,0.463783,0.601692,0.529704,0.672299,0.00282,0,0.017764
"PH_BC_11.sorted.bam","11","BC",0.688613,0.643794,0.730745,0.311387,0.269255,0.356206,0.413792,0.3118,0.521783,0.549642,0.357147,0.682106,0.036566,0,0.134523
"PH_BC_1.sorted.bam","1","BC",0.704217,0.665894,0.741989,0.295783,0.258011,0.334106,0.415892,0.336974,0.491823,0.576651,0.48658,0.659649,0.007457,0,0.043225
"PH_BC_2.sorted.bam","2","BC",0.720121,0.677201,0.761786,0.279879,0.238214,0.322799,0.447838,0.361182,0.533226,0.544565,0.450459,0.634694,0.007597,0,0.043702
"PH_BC_3.sorted.bam","3","BC",0.703472,0.669136,0.738582,0.296528,0.261418,0.330864,0.415,0.346646,0.485386,0.576944,0.493437,0.651017,0.008055,0,0.045232
"PH_BC_4.sorted.bam","4","BC",0.708209,0.673096,0.745979,0.291791,0.254021,0.326904,0.433908,0.360689,0.511994,0.548602,0.442796,0.632993,0.01749,0,0.066253
"PH_BC_5.sorted.bam","5","BC",0.673733,0.639116,0.710906,0.326267,0.289094,0.360884,0.362741,0.290922,0.435724,0.621985,0.527008,0.70506,0.015274,0,0.060048
"PH_BC_6.sorted.bam","6","BC",0.696568,0.66021,0.731712,0.303432,0.268288,0.33979,0.399444,0.325514,0.472961,0.59425,0.50991,0.671434,0.006307,0,0.034179
"PH_BC_7.sorted.bam","7","BC",0.500868,0.495961,0.510876,0.499132,0.489124,0.504039,0.003293,0,0.022438,0.995151,0.975376,0.999994,0.001556,0,0.00951
"PH_BC_8.sorted.bam","8","BC",0.697591,0.649505,0.74138,0.302409,0.25862,0.350495,0.409464,0.311214,0.505647,0.576254,0.447217,0.685655,0.014282,0,0.070716
"PH_BC_9.sorted.bam","9","BC",0.676666,0.634272,0.718337,0.323334,0.281663,0.365728,0.355936,0.271044,0.438112,0.641459,0.557644,0.727927,0.002604,0,0.016046
"PH_CA_10.sorted.bam","10","CA",0.051608,0.025521,0.080619,0.948392,0.919381,0.974479,0.04835,0.019484,0.078316,0.006516,0,0.04113,0.945134,0.913197,0.973143
"PH_CA_12.sorted.bam","12","CA",0.070147,0.040278,0.102896,0.929853,0.897104,0.959722,0.038724,3.2e-05,0.087668,0.062846,1e-05,0.160022,0.89843,0.831104,0.951775
"PH_CA_1.sorted.bam","1","CA",0.056154,0.02677,0.087858,0.943846,0.912142,0.97323,0.040258,3e-05,0.080604,0.031791,0,0.125451,0.927951,0.866721,0.968439
"PH_CA_2.sorted.bam","2","CA",0.069658,0.035819,0.106092,0.930342,0.893908,0.964181,0.05709,0.000875,0.101377,0.025136,0,0.118783,0.917773,0.862153,0.956615
"PH_CA_3.sorted.bam","3","CA",0.039856,0.01294,0.068995,0.960144,0.931005,0.98706,0.025651,1e-06,0.06245,0.028409,1e-06,0.099785,0.94594,0.89455,0.982291
"PH_CA_4.sorted.bam","4","CA",0.058915,0.027609,0.09288,0.941085,0.90712,0.972391,0.032541,1e-06,0.082483,0.052747,1e-06,0.147647,0.914712,0.846819,0.964407
"PH_CA_6.sorted.bam","6","CA",0.059843,0.029922,0.091206,0.940157,0.908794,0.970078,0.025409,0,0.07743,0.068867,1.3e-05,0.159129,0.905724,0.834496,0.960515
"PH_CA_7.sorted.bam","7","CA",0.049969,0.022355,0.07944,0.950031,0.92056,0.977645,0.048236,0.019881,0.077773,0.003466,0,0.02128,0.948298,0.917372,0.976197
"PH_CA_8.sorted.bam","8","CA",0.038199,0.014007,0.06524,0.961801,0.93476,0.985993,0.024981,2e-06,0.058585,0.026435,0,0.099513,0.948584,0.897074,0.983168
"PH_CR_10.sorted.bam","10","CR",0.106631,0.078323,0.13706,0.893369,0.86294,0.921677,0.002425,0,0.014579,0.208412,0.148441,0.271257,0.789163,0.72763,0.847001
"PH_CR_11.sorted.bam","11","CR",0.095375,0.065027,0.126854,0.904625,0.873146,0.934973,0.001314,0,0.008342,0.188122,0.125882,0.251114,0.810563,0.747234,0.871513
"PH_CR_12.sorted.bam","12","CR",0.07928,0.052067,0.107325,0.92072,0.892675,0.947933,0.001494,0,0.010139,0.155573,0.100736,0.212711,0.842934,0.786483,0.896941
"PH_CR_1.sorted.bam","1","CR",0.10443,0.074162,0.135481,0.89557,0.864519,0.925838,0.001517,0,0.009904,0.205826,0.143758,0.268028,0.792656,0.730477,0.853409
"PH_CR_2.sorted.bam","2","CR",0.084187,0.056355,0.115578,0.915813,0.884422,0.943645,0.00136,0,0.008736,0.165653,0.108419,0.228398,0.832987,0.770409,0.888761
"PH_CR_3.sorted.bam","3","CR",0.086563,0.057309,0.118012,0.913437,0.881988,0.942691,0.002567,0,0.016223,0.167992,0.104741,0.233473,0.829441,0.766054,0.888772
"PH_CR_4.sorted.bam","4","CR",0.363127,0.325187,0.402568,0.636873,0.597432,0.674813,0.001329,0,0.009274,0.723596,0.648754,0.802465,0.275076,0.195628,0.35079
"PH_CR_5.sorted.bam","5","CR",0.083309,0.054945,0.114486,0.916691,0.885514,0.945055,0.001819,0,0.012935,0.162979,0.103834,0.225586,0.835202,0.773356,0.892537
"PH_CR_6.sorted.bam","6","CR",0.114604,0.083504,0.14763,0.885396,0.85237,0.916496,0.002995,0,0.019903,0.223218,0.156723,0.291193,0.773787,0.707424,0.836078
"PH_CR_7.sorted.bam","7","CR",0.097092,0.068832,0.128402,0.902908,0.871598,0.931168,0.001359,0,0.009294,0.191466,0.133208,0.255277,0.807175,0.744258,0.86426
"PH_CR_8.sorted.bam","8","CR",0.098012,0.068712,0.128275,0.901988,0.871725,0.931288,0.002517,0,0.016152,0.190991,0.131176,0.252984,0.806492,0.745582,0.865642
"PH_CR_9.sorted.bam","9","CR",0.098677,0.066861,0.131216,0.901323,0.868784,0.933139,0.006616,0,0.037989,0.184123,0.105383,0.255273,0.809261,0.742369,0.876443
"PH_DA_2.sorted.bam","2","DA",0.996933,0.985489,0.999996,0.003067,4e-06,0.014511,0.996194,0.983171,0.999994,0.001478,0,0.009567,0.002328,0,0.01383
"PH_DA_5.sorted.bam","5","DA",0.996393,0.983034,0.999996,0.003607,4e-06,0.016966,0.99595,0.98205,0.999995,0.000887,0,0.005967,0.003163,0,0.01664
