"V1","individual_id","population","q_1","lb_q_1","ub_q_1","q_2","lb_q_2","ub_q_2","q_3","lb_q_3","ub_q_3","Q_1_1","lb_Q_1_1","ub_Q_1_1","Q_2_1","lb_Q_2_1","ub_Q_2_1","Q_2_2","lb_Q_2_2","ub_Q_2_2","Q_3_1","lb_Q_3_1","ub_Q_3_1","Q_3_2","lb_Q_3_2","ub_Q_3_2","Q_3_3","lb_Q_3_3","ub_Q_3_3"
"PH_AS_10.sorted.bam","10","AS",0.197414,0.164944,0.231941,0.015337,5e-06,0.046987,0.787249,0.743365,0.824561,0.000513,0,0.004992,0.002812,0,0.026906,0.000703,0,0.006282,0.390989,0.324888,0.461251,0.026456,0,0.091358,0.578526,0.490144,0.653196
"PH_AS_11.sorted.bam","11","AS",0.174616,0.13604,0.215065,0.005991,0,0.028693,0.819393,0.774988,0.860743,0.001088,0,0.010157,0.005371,0,0.039093,0.000721,0,0.007012,0.341684,0.258211,0.423147,0.005169,0,0.049334,0.645966,0.560489,0.725935
"PH_AS_12.sorted.bam","12","AS",0.171639,0.138292,0.206629,0.00356,0,0.017757,0.824801,0.788222,0.859534,0.006403,0,0.045804,0.001598,0,0.014279,0.001729,0,0.012999,0.328874,0.247899,0.401536,0.002065,0,0.018642,0.659332,0.588615,0.72599
"PH_AS_1.sorted.bam","1","AS",0.14968,0.114615,0.184198,0.004159,0,0.018548,0.846161,0.811088,0.880861,0.007999,0,0.052471,0.002943,0,0.023664,0.000872,0,0.007947,0.28042,0.189871,0.358896,0.00363,0,0.028071,0.704136,0.633919,0.774564
"PH_AS_2.sorted.bam","2","AS",0.181503,0.148524,0.214113,0.106783,0.072358,0.138998,0.711715,0.667761,0.754323,0.000269,0,0.002573,0.001117,0,0.010067,0.000298,0,0.002794,0.361351,0.295373,0.426187,0.211851,0.143064,0.276485,0.425113,0.33674,0.511308
"PH_AS_3.sorted.bam","3","AS",0.186853,0.151633,0.222151,0.005307,0,0.022908,0.80784,0.769031,0.845736,0.007357,0,0.054912,0.005662,0,0.035125,0.001018,0,0.009107,0.35333,0.257971,0.434163,0.002917,0,0.026443,0.629717,0.556443,0.70206
"PH_AS_4.sorted.bam","4","AS",0.133129,0.096844,0.168795,0.001619,0,0.009819,0.865252,0.828451,0.901142,0.028456,0,0.07779,0.000937,0,0.009548,0.000497,0,0.004793,0.208409,0.096709,0.30956,0.001306,0,0.012009,0.760394,0.682034,0.838745
"PH_AS_5.sorted.bam","5","AS",0.18532,0.152434,0.217683,0.004383,1e-06,0.019032,0.810298,0.775886,0.845336,0.001962,0,0.01713,0.003368,0,0.027847,0.000956,0,0.008559,0.363347,0.293057,0.430004,0.003484,0,0.026663,0.626882,0.560677,0.694849
"PH_AS_6.sorted.bam","6","AS",0.196036,0.156056,0.235913,0.001627,0,0.010344,0.802337,0.762066,0.842411,0.073734,0.013303,0.134443,0.000862,0,0.00861,0.000658,0,0.006757,0.243741,0.129746,0.367948,0.001076,0,0.010628,0.679929,0.594045,0.758544
"PH_AS_7.sorted.bam","7","AS",0.179127,0.144388,0.217878,0.00131,0,0.007215,0.819563,0.780805,0.854669,0.010879,0,0.05079,0.001001,0,0.008717,0.000375,0,0.00338,0.335495,0.235832,0.420987,0.00087,0,0.008227,0.65138,0.572921,0.727664
"PH_AS_8.sorted.bam","8","AS",0.149516,0.114397,0.184768,0.008243,1e-06,0.031386,0.842242,0.802581,0.879406,0.002796,0,0.024084,0.004388,0,0.036657,0.004059,0,0.02617,0.289051,0.212235,0.364853,0.003981,0,0.033251,0.695726,0.62233,0.767162
