"V1","individual_id","population","q_1","lb_q_1","ub_q_1","q_2","lb_q_2","ub_q_2","q_3","lb_q_3","ub_q_3","q_4","lb_q_4","ub_q_4","q_5","lb_q_5","ub_q_5","Q_1_1","lb_Q_1_1","ub_Q_1_1","Q_2_1","lb_Q_2_1","ub_Q_2_1","Q_2_2","lb_Q_2_2","ub_Q_2_2","Q_3_1","lb_Q_3_1","ub_Q_3_1","Q_3_2","lb_Q_3_2","ub_Q_3_2","Q_3_3","lb_Q_3_3","ub_Q_3_3","Q_4_1","lb_Q_4_1","ub_Q_4_1","Q_4_2","lb_Q_4_2","ub_Q_4_2","Q_4_3","lb_Q_4_3","ub_Q_4_3","Q_4_4","lb_Q_4_4","ub_Q_4_4","Q_5_1","lb_Q_5_1","ub_Q_5_1","Q_5_2","lb_Q_5_2","ub_Q_5_2","Q_5_3","lb_Q_5_3","ub_Q_5_3","Q_5_4","lb_Q_5_4","ub_Q_5_4","Q_5_5","lb_Q_5_5","ub_Q_5_5"
"PH_AS_10.sorted.bam","10","AS",0.127589,0.095782,0.159846,0.002164,0,0.014876,0.291183,0.239889,0.341474,0.001229,0,0.008928,0.577835,0.527184,0.62861,0.000157,0,0.001657,0.000832,0,0.009857,0.000252,0,0.002954,0.003002,0,0.037485,0.000585,0,0.007618,0.000342,0,0.004336,0.000274,0,0.003,0.000248,0,0.002861,0.000287,0,0.003529,2e-04,0,0.002508,0.250756,0.181245,0.31678,0.002158,0,0.0251,0.577808,0.474278,0.680938,0.001248,0,0.015362,0.16185,0.059802,0.265206
"PH_AS_11.sorted.bam","11","AS",0.118611,0.079028,0.159338,0.001161,0,0.008838,0.242252,0.18665,0.302856,0.001044,0,0.00747,0.636933,0.578218,0.697424,0.000337,0,0.00387,0.000791,0,0.007824,0.000221,0,0.002693,0.001939,0,0.023324,0.000312,0,0.003801,0.000833,0,0.010023,0.000479,0,0.005321,0.000236,0,0.002693,0.000479,0,0.006072,0.000169,0,0.001914,0.233338,0.153205,0.31456,0.00054,0,0.006712,0.480106,0.364917,0.6016,0.000555,0,0.006275,0.279663,0.160782,0.400245
"PH_AS_12.sorted.bam","12","AS",0.106659,0.072834,0.14136,0.002464,0,0.016431,0.134368,0.08573,0.183777,0.001022,0,0.007209,0.755487,0.697984,0.811326,0.000564,0,0.006783,0.000932,0,0.011588,0.000881,0,0.01046,0.00616,0,0.07243,0.000893,0,0.011556,0.035538,0,0.146588,0.000323,0,0.003577,0.000362,0,0.004437,0.000383,0,0.004478,0.000286,0,0.00342,0.204775,0.119875,0.276804,0.000979,0,0.011488,0.190224,0,0.356806,0.000404,0,0.004553,0.557296,0.413261,0.722243
"PH_AS_1.sorted.bam","1","AS",0.076739,0.041317,0.107698,0.00284,0,0.018815,0.109182,0.067013,0.172483,0.001882,0,0.011581,0.809358,0.749942,0.863355,0.000502,0,0.005994,0.000742,0,0.008683,0.000368,0,0.004296,0.143751,0.055166,0.209009,0.000903,0,0.010407,0.013473,0,0.102532,0.000719,0,0.008082,0.000443,0,0.005551,0.001101,0,0.012627,0.000315,0,0.00346,0.007263,0,0.084633,0.002854,0,0.034524,0.045663,0,0.215775,0.000869,0,0.011371,0.781033,0.648641,0.860502
"PH_AS_2.sorted.bam","2","AS",0.112948,0.084608,0.142848,0.001313,0,0.009855,0.372218,0.325932,0.423593,0.028182,0.000202,0.056074,0.485338,0.443548,0.501937,0.000117,0,0.001352,0.000674,0,0.008712,0.000116,0,0.00132,0.01259,0,0.109408,0.000439,0,0.004952,0.000491,0,0.005746,0.012575,0,0.077142,0.00024,0,0.002743,0.003283,0,0.038529,0.000118,0,0.00131,0.199824,0.113451,0.273614,0.001042,0,0.011763,0.727142,0.639272,0.809371,0.040031,0,0.110937,0.001318,0,0.015203
"PH_AS_3.sorted.bam","3","AS",0.123536,0.092814,0.153907,0.001484,0,0.010541,0.144679,0.101052,0.204158,0.003511,0,0.01817,0.72679,0.666877,0.787018,0.001282,0,0.015472,0.000971,0,0.011342,0.000328,0,0.003333,0.156288,0,0.292214,0.000387,0,0.004845,0.005115,0,0.053054,0.002571,0,0.025987,0.000463,0,0.005389,0.001524,0,0.017837,0.000238,0,0.002771,0.084677,0,0.289622,0.00049,0,0.006153,0.12093,0,0.391892,0.001988,0,0.022654,0.622747,0.362667,0.783705
"PH_AS_4.sorted.bam","4","AS",0.067055,0.030429,0.105768,0.001931,0,0.013363,0.179657,0.105309,0.24157,0.000714,0,0.005381,0.750643,0.691578,0.81322,0.02558,0,0.073765,0.000844,0,0.010529,0.000387,0,0.004674,0.046941,0,0.187371,0.000946,0,0.011147,0.014208,0,0.119922,0.00033,0,0.003625,0.000184,0,0.002389,0.000264,0,0.002595,0.000153,0,0.001834,0.034834,0,0.165266,0.001113,0,0.011666,0.282747,0,0.470807,0.000343,0,0.003944,0.591124,0.428094,0.803288
"PH_AS_5.sorted.bam","5","AS",0.119027,0.088715,0.151398,0.002384,0,0.015909,0.136391,0.082468,0.19762,0.001795,0,0.011407,0.740403,0.674168,0.80497,0.000361,0,0.003961,0.001016,0,0.012159,0.000659,0,0.008236,0.101846,0,0.266344,0.000634,0,0.007629,0.001717,0,0.020177,0.000699,0,0.008101,0.000326,0,0.00399,0.001068,0,0.013049,0.000204,0,0.002553,0.133772,0,0.292769,0.001475,0,0.020072,0.165799,0,0.390465,0.001089,0,0.013034,0.589335,0.356102,0.800125
"PH_AS_6.sorted.bam","6","AS",0.12721,0.08907,0.167072,0.001072,0,0.007236,0.172255,0.115734,0.229329,0.001394,0,0.00896,0.698069,0.63433,0.766933,0.034388,0,0.109386,0.00055,0,0.006624,0.000249,0,0.00293,0.079945,0,0.272777,0.00031,0,0.003372,0.010411,0,0.082695,0.000595,0,0.007016,0.000324,0,0.00383,0.000495,0,0.005899,0.000327,0,0.003718,0.104553,0,0.283206,0.000463,0,0.005426,0.24294,0,0.443734,0.000722,0,0.008242,0.523731,0.325494,0.754749
"PH_AS_7.sorted.bam","7","AS",0.102743,0.071604,0.136852,0.000905,0,0.006524,0.125156,0.077097,0.189636,0.000773,0,0.00523,0.770422,0.704325,0.838292,0.00104,0,0.011898,0.000426,0,0.004911,0.000161,0,0.001975,0.063959,0,0.225983,0.000385,0,0.004215,0.002113,0,0.029205,0.000288,0,0.003559,0.000148,0,0.001448,0.000231,0,0.002905,0.000168,0,0.001984,0.138733,0,0.269551,0.00053,0,0.006457,0.181509,0,0.371553,0.000545,0,0.006586,0.609764,0.415751,0.834072
