"V1","individual_id","population","q_1","lb_q_1","ub_q_1","q_2","lb_q_2","ub_q_2","q_3","lb_q_3","ub_q_3","q_4","lb_q_4","ub_q_4","q_5","lb_q_5","ub_q_5","q_6","lb_q_6","ub_q_6","Q_1_1","lb_Q_1_1","ub_Q_1_1","Q_2_1","lb_Q_2_1","ub_Q_2_1","Q_2_2","lb_Q_2_2","ub_Q_2_2","Q_3_1","lb_Q_3_1","ub_Q_3_1","Q_3_2","lb_Q_3_2","ub_Q_3_2","Q_3_3","lb_Q_3_3","ub_Q_3_3","Q_4_1","lb_Q_4_1","ub_Q_4_1","Q_4_2","lb_Q_4_2","ub_Q_4_2","Q_4_3","lb_Q_4_3","ub_Q_4_3","Q_4_4","lb_Q_4_4","ub_Q_4_4","Q_5_1","lb_Q_5_1","ub_Q_5_1","Q_5_2","lb_Q_5_2","ub_Q_5_2","Q_5_3","lb_Q_5_3","ub_Q_5_3","Q_5_4","lb_Q_5_4","ub_Q_5_4","Q_5_5","lb_Q_5_5","ub_Q_5_5","Q_6_1","lb_Q_6_1","ub_Q_6_1","Q_6_2","lb_Q_6_2","ub_Q_6_2","Q_6_3","lb_Q_6_3","ub_Q_6_3","Q_6_4","lb_Q_6_4","ub_Q_6_4","Q_6_5","lb_Q_6_5","ub_Q_6_5","Q_6_6","lb_Q_6_6","ub_Q_6_6"
"PH_AS_10.sorted.bam","10","AS",0.00154,0,0.012417,0.196285,0.144178,0.251266,0.102071,0.068664,0.136356,0.603646,0.543019,0.665558,0.095628,0.059371,0.133481,0.00083,0,0.006853,0.000136,0,0.001536,0.000376,0,0.004615,0.000485,0,0.004691,0.000306,0,0.003616,0.00364,0,0.054346,9.6e-05,0,0.000986,0.001382,0,0.01845,0.386781,0.271853,0.499574,0.199144,0.121422,0.270401,0.215381,0.094582,0.344606,0.000611,0,0.008576,0.000636,0,0.006342,5e-04,0,0.00646,0.188825,0.115423,0.265603,0.000136,0,0.001281,0.000132,0,0.001602,0.000165,0,0.002102,0.000359,0,0.004324,0.000397,0,0.004323,0.000412,0,0.004094,9.8e-05,0,0.001162
"PH_AS_11.sorted.bam","11","AS",0.000844,0,0.006938,0.136842,0.076606,0.198637,0.069448,0.037259,0.115503,0.733404,0.65887,0.806146,0.058806,0.021751,0.089467,0.000656,0,0.005293,0.000106,0,0.001249,0.000181,0,0.002199,0.00076,0,0.00811,0.000348,0,0.003193,0.000727,0,0.008574,0.000318,0,0.004,0.000427,0,0.005412,0.270736,0.151047,0.394298,0.038578,0,0.222841,0.569397,0.356864,0.716149,0.000411,0,0.004802,0.000341,0,0.003291,0.09831,0,0.17198,0.01799,0,0.148324,0.000145,0,0.001679,0.000111,0,0.001349,0.000181,0,0.002211,0.000296,0,0.003974,0.000282,0,0.002062,0.00027,0,0.002729,8.6e-05,0,0.000937
"PH_AS_12.sorted.bam","12","AS",0.001709,0,0.01191,0.008689,0,0.04933,0.076373,0.047281,0.104028,0.814862,0.761213,0.864186,0.097251,0.067599,0.136223,0.001115,0,0.007952,0.000507,0,0.007039,0.000899,0,0.011267,0.002064,0,0.028748,0.000363,0,0.004809,0.001748,0,0.018394,0.000322,0,0.002707,0.000514,0,0.006548,0.002929,0,0.038506,0.001775,0,0.020534,0.806999,0.730553,0.861932,0.000435,0,0.005258,0.007153,0,0.076144,0.148054,0.083458,0.202392,0.010305,0,0.115338,0.013863,0,0.07051,0.000192,0,0.002071,0.00052,0,0.006666,0.000163,0,0.001976,0.000203,0,0.002418,0.000831,0,0.010146,0.00016,0,0.002055
"PH_AS_1.sorted.bam","1","AS",0.00238,0,0.018387,0.008961,0,0.048902,0.035895,0.000295,0.069687,0.827305,0.771593,0.88097,0.124554,0.087133,0.166364,0.000905,0,0.006573,0.000258,0,0.00294,0.000281,0,0.003746,0.001528,0,0.020542,0.002631,0,0.032545,0.008495,0,0.077973,0.001574,0,0.021932,0.000522,0,0.006234,0.004043,0,0.065482,0.020224,0,0.121689,0.711799,0.592789,0.804194,0.000625,0,0.008884,0.001835,0,0.023551,0.036905,0,0.127003,0.205887,0.087479,0.313095,0.00172,0,0.022373,0.000184,0,0.001955,0.000211,0,0.002413,0.000386,0,0.005493,0.000333,0,0.004061,0.000417,0,0.004737,0.000139,0,0.001608
"PH_AS_2.sorted.bam","2","AS",0.001116,0,0.00934,0.347004,0.287806,0.424327,0.0977,0.063852,0.131773,0.471614,0.410925,0.499999,0.060804,0.026858,0.0919,0.021762,0,0.053178,0.00011,0,0.001098,0.000215,0,0.002219,0.000247,0,0.003016,0.000491,0,0.005741,0.001318,0,0.016183,7.6e-05,0,0.000912,5e-04,0,0.006165,0.687826,0.564581,0.845503,0.150339,0,0.250627,0.003443,0,0.055521,0.000626,0,0.007205,0.000494,0,0.006999,0.03505,0,0.166949,0.075747,0,0.170736,7.1e-05,0,0.000698,0.00018,0,0.002044,0.003661,0,0.040847,0.00805,0,0.067917,0.02193,0,0.099489,0.00955,0,0.075682,7.6e-05,0,0.000771
"PH_AS_3.sorted.bam","3","AS",0.000718,0,0.005594,0.051475,1e-06,0.096454,0.081019,0.049624,0.114696,0.778905,0.709286,0.84731,0.086792,0.055316,0.120606,0.001091,0,0.008665,0.000108,0,0.001274,0.000248,0,0.002893,0.000561,0,0.00716,0.000337,0,0.003767,0.076508,0,0.185249,0.000981,0,0.012681,0.000303,0,0.00348,0.022908,0,0.152521,0.016153,0,0.170794,0.70679,0.585048,0.841347,0.00016,0,0.001716,0.00177,0,0.022262,0.0665,0,0.205001,0.104453,0,0.237422,0.000177,0,0.001981,0.000171,0,0.002118,0.000394,0,0.005355,0.000579,0,0.006741,0.000413,0,0.005885,0.000348,0,0.003948,0.000138,0,0.001563
"PH_AS_4.sorted.bam","4","AS",0.001069,0,0.008746,0.069242,0.019138,0.124459,0.039745,0.008986,0.076885,0.815746,0.751934,0.878435,0.073831,0.040436,0.112528,0.000367,0,0.002997,0.000196,0,0.002586,0.000501,0,0.006263,0.002173,0,0.028996,0.000301,0,0.003114,0.00879,0,0.104473,0.023048,0,0.059296,0.000468,0,0.005658,0.084164,0,0.239699,0.001403,0,0.019915,0.731123,0.577061,0.86743,0.000395,0,0.004836,0.040589,0,0.174905,0.022789,0,0.134979,0.083075,0,0.221482,0.000323,0,0.003868,8e-05,0,0.00092,9.4e-05,0,0.001052,0.000111,0,0.001318,0.000136,0,0.001504,0.00017,0,0.001796,7.1e-05,0,0.000859
"PH_AS_5.sorted.bam","5","AS",0.001165,0,0.009285,0.006483,0,0.048587,0.089936,0.058456,0.12411,0.822657,0.771603,0.868689,0.078487,0.045154,0.115222,0.001272,0,0.010065,0.000365,0,0.004346,0.000359,0,0.004661,0.001486,0,0.024987,0.000239,0,0.002457,0.002654,0,0.036478,0.000182,0,0.001791,0.000475,0,0.00537,0.004638,0,0.064833,0.174749,0.102437,0.246476,0.657442,0.560641,0.746917,0.000283,0,0.003305,0.002048,0,0.027093,0.001358,0,0.020578,0.150061,0.065299,0.227022,0.001216,0,0.015082,0.000243,0,0.002593,0.000295,0,0.004004,0.000507,0,0.006709,0.000505,0,0.006106,0.000793,0,0.011365,0.000101,0,0.001232
"PH_AS_6.sorted.bam","6","AS",0.000681,0,0.005835,0.045531,0,0.121853,0.095341,0.057394,0.133963,0.793847,0.717945,0.863476,0.063842,0.029792,0.098894,0.000758,0,0.006281,0.000122,0,0.001262,0.000286,0,0.003515,0.006274,0,0.06219,0.000292,0,0.002443,0.015579,0,0.151969,0.025168,0,0.091824,0.000205,0,0.001938,0.013184,0,0.140979,0.052859,0,0.227275,0.75804,0.634597,0.851481,0.00017,0,0.001988,0.049193,0,0.156852,0.071349,0,0.179166,0.005014,0,0.060164,0.000861,0,0.00939,0.000165,0,0.00173,0.000272,0,0.002838,0.000268,0,0.003371,0.000353,0,0.003513,0.000236,0,0.002378,0.000111,0,0.001343
"PH_AS_7.sorted.bam","7","AS",0.000626,0,0.005113,0.002803,0,0.020295,0.06508,0.04146,0.090326,0.865791,0.818206,0.912195,0.065256,0.041973,0.089616,0.000444,0,0.003587,0.000106,0,0.001367,0.000282,0,0.003032,0.000339,0,0.00407,0.000237,0,0.002989,0.001051,0,0.015383,0.000426,0,0.005726,0.000185,0,0.002034,0.001497,0,0.021094,0.002324,0,0.02796,0.862593,0.806651,0.910716,0.00022,0,0.002629,0.001897,0,0.022542,0.125489,0.075795,0.172218,0.00224,0,0.028683,0.00028,0,0.003056,0.000117,0,0.001267,0.000203,0,0.002535,0.000207,0,0.002699,0.000148,0,0.001541,0.000105,0,0.001318,5.4e-05,0,0.000629
