"V1","individual_id","population","q_1","lb_q_1","ub_q_1","q_2","lb_q_2","ub_q_2","q_3","lb_q_3","ub_q_3","q_4","lb_q_4","ub_q_4","q_5","lb_q_5","ub_q_5","q_6","lb_q_6","ub_q_6","q_7","lb_q_7","ub_q_7","Q_1_1","lb_Q_1_1","ub_Q_1_1","Q_2_1","lb_Q_2_1","ub_Q_2_1","Q_2_2","lb_Q_2_2","ub_Q_2_2","Q_3_1","lb_Q_3_1","ub_Q_3_1","Q_3_2","lb_Q_3_2","ub_Q_3_2","Q_3_3","lb_Q_3_3","ub_Q_3_3","Q_4_1","lb_Q_4_1","ub_Q_4_1","Q_4_2","lb_Q_4_2","ub_Q_4_2","Q_4_3","lb_Q_4_3","ub_Q_4_3","Q_4_4","lb_Q_4_4","ub_Q_4_4","Q_5_1","lb_Q_5_1","ub_Q_5_1","Q_5_2","lb_Q_5_2","ub_Q_5_2","Q_5_3","lb_Q_5_3","ub_Q_5_3","Q_5_4","lb_Q_5_4","ub_Q_5_4","Q_5_5","lb_Q_5_5","ub_Q_5_5","Q_6_1","lb_Q_6_1","ub_Q_6_1","Q_6_2","lb_Q_6_2","ub_Q_6_2","Q_6_3","lb_Q_6_3","ub_Q_6_3","Q_6_4","lb_Q_6_4","ub_Q_6_4","Q_6_5","lb_Q_6_5","ub_Q_6_5","Q_6_6","lb_Q_6_6","ub_Q_6_6","Q_7_1","lb_Q_7_1","ub_Q_7_1","Q_7_2","lb_Q_7_2","ub_Q_7_2","Q_7_3","lb_Q_7_3","ub_Q_7_3","Q_7_4","lb_Q_7_4","ub_Q_7_4","Q_7_5","lb_Q_7_5","ub_Q_7_5","Q_7_6","lb_Q_7_6","ub_Q_7_6","Q_7_7","lb_Q_7_7","ub_Q_7_7"
"PH_AS_10.sorted.bam","10","AS",0.021118,0,0.078867,0.001747,0,0.014617,0.089538,0.052964,0.125085,0.222078,0.160464,0.283571,0.087835,0.051682,0.125471,0.576882,0.503446,0.642462,0.000801,0,0.006545,9.3e-05,0,0.000926,0.000216,0,0.002697,9.8e-05,0,0.00113,0.000432,0,0.004384,0.00047,0,0.006237,8e-05,0,0.000764,0.000543,0,0.002974,0.00035,0,0.004187,0.010537,0,0.136216,0.000468,0,0.006144,0.000611,0,0.007332,0.000488,0,0.005816,0.000162,0,0.00178,0.000233,0,0.002738,0.000116,0,0.0014,0.040012,0,0.156246,0.001636,0,0.023069,0.167071,0,0.248127,0.431412,0.300063,0.562877,0.173566,0.100338,0.249624,0.169888,0.012187,0.361178,0.000236,0,0.00273,0.000137,0,0.00166,0.000245,0,0.003229,0.000147,0,0.001805,0.000379,0,0.004721,0.000291,0,0.00316,8.4e-05,0,0.000998
"PH_AS_11.sorted.bam","11","AS",0.04635,0,0.10688,0.000984,0,0.007411,0.066125,0.031118,0.111635,0.161954,0.096467,0.227683,0.049387,0.015279,0.083616,0.674292,0.60637,0.747034,0.000909,0,0.007367,0.000432,0,0.005397,0.000225,0,0.002944,0.00011,0,0.001101,0.018211,0,0.126703,0.000493,0,0.006963,0.00028,0,0.003324,0.00091,0,0.013096,0.000348,0,0.004426,0.00107,0,0.01447,0.000376,0,0.003747,0.009918,0,0.110362,0.000261,0,0.003016,0.050926,0,0.146146,0.000437,0,0.004676,0.000261,0,0.002458,0.062326,0,0.211208,0.000301,0,0.003184,0.060519,0,0.213941,0.320238,0.188104,0.453576,0.036452,0,0.154646,0.434168,0.249506,0.588519,0.000246,0,0.002793,0.00012,0,0.001489,0.00047,0,0.005572,0.000152,0,0.001567,0.000257,0,0.003025,0.000411,0,0.004652,8e-05,0,0.000771
"PH_AS_12.sorted.bam","12","AS",0.001682,0,0.012517,0.00248,0,0.01779,0.058425,0.020877,0.091578,0.03608,0,0.088981,0.080536,0.047607,0.119559,0.819803,0.756331,0.879843,0.000995,0,0.008025,0.00034,0,0.004597,0.000277,0,0.002838,0.000588,0,0.007693,0.000382,0,0.003698,0.000342,0,0.003607,0.000273,0,0.003156,0.000361,0,0.004635,0.001503,0,0.021962,0.00174,0,0.023901,0.009347,0,0.070273,0.001087,0,0.015341,0.000364,0,0.004403,0.037761,0,0.153004,0.038452,0,0.160595,0.005771,0,0.058781,0.000323,0,0.003842,0.001125,0,0.017584,0.075856,0,0.178559,0.010873,0,0.128927,0.07155,0,0.227793,0.739817,0.59599,0.867429,0.000252,0,0.003354,0.000173,0,0.00203,0.000222,0,0.002398,0.000537,0,0.006003,0.000315,0,0.003253,0.000243,0,0.002573,0.000124,0,0.001355
"PH_AS_1.sorted.bam","1","AS",0.01646,0,0.049031,0.003379,0,0.025277,0.031019,0,0.065906,0.020895,0,0.06547,0.110358,0.073226,0.148623,0.81652,0.75063,0.882038,0.00137,0,0.010584,0.000394,0,0.003293,0.00052,0,0.006724,0.000291,0,0.003617,0.011375,0,0.077628,0.002585,0,0.036802,0.000169,0,0.001678,0.008168,0,0.071717,0.001352,0,0.0182,0.017645,0,0.096839,0.003169,0,0.039224,0.002419,0,0.033446,0.000502,0,0.006336,0.007653,0,0.08625,0.00201,0,0.022375,0.001306,0,0.019187,0.009157,0,0.08236,0.001076,0,0.013167,0.021877,0,0.118468,0.005984,0,0.081898,0.205143,0.101837,0.289415,0.694677,0.583042,0.796271,0.000493,0,0.005304,0.000141,0,0.001516,0.000564,0,0.007646,0.000292,0,0.003936,0.000375,0,0.00477,0.000447,0,0.0055,0.000214,0,0.002372
"PH_AS_2.sorted.bam","2","AS",0.015478,0,0.062511,0.001321,0,0.011926,0.092348,0.063093,0.123583,0.342758,0.285413,0.391765,0.044007,0.010909,0.074595,0.47968,0.443934,0.499996,0.024408,0,0.056756,6.7e-05,0,0.000612,0.000418,0,0.004841,8.9e-05,0,0.000791,0.004887,0,0.055188,0.000266,0,0.003319,6.5e-05,0,0.000714,0.000402,0,0.005334,0.000246,0,0.00333,0.001107,0,0.017838,0.000154,0,0.001101,0.003105,0,0.045997,0.000593,0,0.006063,0.006039,0,0.078721,0.000332,0,0.004336,8e-05,0,0.000933,0.019592,0,0.119416,0.000779,0,0.008613,0.17033,0.080911,0.240274,0.68205,0.566566,0.778728,0.06016,0,0.142077,0.000477,0,0.005942,0.002419,0,0.030243,0.000163,0,0.001623,0.001937,0,0.027501,0.001071,0,0.015391,0.017626,0,0.085545,0.025496,0,0.110552,5.2e-05,0,0.000544
"PH_AS_3.sorted.bam","3","AS",0.00382,0,0.029568,0.000853,0,0.006753,0.073265,0.045212,0.102547,0.057989,0.002317,0.114674,0.070189,0.041366,0.099079,0.790701,0.725239,0.852298,0.003184,0,0.017874,0.000206,0,0.002364,0.000113,0,0.001206,0.000116,0,0.001163,0.000559,0,0.005682,0.000433,0,0.005452,0.00063,0,0.008938,0.002,0,0.027145,0.000267,0,0.003271,0.001818,0,0.027551,0.007683,0,0.070505,0.000697,0,0.007561,0.000252,0,0.003333,0.100082,0,0.182774,0.036022,0,0.154543,0.00015,0,0.001612,0.003177,0,0.048128,0.000204,0,0.002018,0.040276,0,0.194602,0.058745,0,0.225205,0.00195,0,0.025612,0.738354,0.618802,0.841343,0.00068,0,0.009405,0.000204,0,0.002451,0.002101,0,0.024666,0.00176,0,0.023423,0.001075,0,0.016828,0.000341,0,0.004148,0.000104,0,0.001105
"PH_AS_4.sorted.bam","4","AS",0.002488,0,0.018887,0.001508,0,0.012574,0.023158,0.001512,0.051325,0.102611,0.051492,0.157072,0.060017,0.02353,0.098438,0.80978,0.748397,0.872119,0.000437,0,0.003426,0.000168,0,0.002037,0.000347,0,0.003668,0.000145,0,0.001563,0.000597,0,0.007938,0.000706,0,0.010275,0.017735,0,0.045659,0.000405,0,0.004789,0.000438,0,0.00542,0.004505,0,0.063709,0.000524,0,0.005909,0.000526,0,0.005338,0.000411,0,0.00445,0.004048,0,0.057009,0.000358,0,0.00357,0.000213,0,0.002385,0.002642,0,0.033312,0.000676,0,0.007282,0.000849,0,0.012625,0.198347,0.084859,0.307681,0.114155,0.039983,0.193228,0.651386,0.540455,0.76722,0.000125,0,0.001307,0.000148,0,0.001413,0.000142,0,0.001469,0.000121,0,0.001117,0.000112,0,0.001288,0.00012,0,0.001357,5.3e-05,0,0.000702
"PH_AS_5.sorted.bam","5","AS",0.005303,0,0.036737,0.001438,0,0.011434,0.075944,0.045134,0.110526,0.060692,0.001379,0.115747,0.061971,0.028529,0.098621,0.793503,0.73327,0.863488,0.001149,0,0.009498,0.000179,0,0.001835,0.000348,0,0.004222,0.000267,0,0.003425,0.000891,0,0.011149,0.000553,0,0.006157,0.000231,0,0.002384,0.000295,0,0.003831,0.000346,0,0.004352,0.005271,0,0.085287,0.001125,0,0.011655,0.002105,0,0.034068,0.000299,0,0.00337,0.015624,0,0.123785,0.002967,0,0.0504,0.00104,0,0.01548,0.006345,0,0.068436,0.000639,0,0.007594,0.128829,0,0.214429,0.109906,0,0.229301,0.100309,0,0.192955,0.620256,0.480595,0.780915,0.000266,0,0.002807,0.000157,0,0.00181,0.000257,0,0.003005,0.000349,0,0.004437,0.000557,0,0.006161,0.000467,0,0.004376,0.000122,0,0.001292
"PH_AS_6.sorted.bam","6","AS",0.021565,0,0.06582,0.001144,0,0.009511,0.079682,0.040678,0.118197,0.070718,0.001017,0.136374,0.05684,0.019589,0.095006,0.768745,0.700534,0.839082,0.001306,0,0.009951,0.000542,0,0.007459,0.000301,0,0.003637,0.000215,0,0.002498,0.017901,0,0.116102,0.000287,0,0.003195,0.009568,0,0.069146,0.003735,0,0.047967,0.000318,0,0.003306,0.058912,0,0.186804,0.005032,0,0.064722,0.010171,0,0.091293,0.000413,0,0.005451,0.028677,0,0.142343,0.027152,0,0.155204,0.000994,0,0.014115,0.009503,0,0.107893,0.000319,0,0.003196,0.033922,0,0.210177,0.041011,0,0.268423,0.044888,0,0.173222,0.703658,0.522502,0.829289,0.000437,0,0.0058,0.000221,0,0.002125,0.00053,0,0.006465,0.000244,0,0.00281,0.000392,0,0.003789,0.000532,0,0.006751,0.000127,0,0.001522
"PH_AS_7.sorted.bam","7","AS",0.013624,0,0.068268,0.000803,0,0.006207,0.054352,0.033319,0.076872,0.006334,0,0.047156,0.05424,0.032103,0.077753,0.870017,0.80714,0.920935,0.00063,0,0.005483,0.000144,0,0.001729,0.000211,0,0.00244,0.000102,0,0.001239,0.000869,0,0.011264,0.000336,0,0.004531,0.000192,0,0.001963,0.000372,0,0.004106,0.000101,0,0.001068,0.001183,0,0.016457,0.000475,0,0.005762,0.000747,0,0.009592,0.000295,0,0.003352,0.103636,0.060362,0.148924,0.002393,0,0.028343,0.000239,0,0.002874,0.024565,0,0.135707,0.000357,0,0.003659,0.002083,0,0.03067,0.007441,0,0.088877,0.000757,0,0.00854,0.852323,0.740753,0.919783,0.000197,0,0.001865,0.000101,0,0.001103,0.000215,0,0.00231,0.000229,0,0.002601,0.000175,0,0.001488,0.000185,0,0.001976,7.9e-05,0,0.000929
