param,mean,median,ci_0.950_LB,ci_0.950_UB
Q_ind_1_anc_1-1,0.000513,0.000005,0.000000,0.004992
Q_ind_2_anc_1-1,0.001088,0.000009,0.000000,0.010157
Q_ind_3_anc_1-1,0.006403,0.000201,0.000000,0.045804
Q_ind_4_anc_1-1,0.007999,0.000316,0.000000,0.052471
Q_ind_5_anc_1-1,0.000269,0.000003,0.000000,0.002573
Q_ind_6_anc_1-1,0.007357,0.000200,0.000000,0.054912
Q_ind_7_anc_1-1,0.028456,0.026146,0.000000,0.077790
Q_ind_8_anc_1-1,0.001962,0.000022,0.000000,0.017130
Q_ind_9_anc_1-1,0.073734,0.073811,0.013303,0.134443
Q_ind_10_anc_1-1,0.010879,0.001835,0.000000,0.050790
Q_ind_11_anc_1-1,0.002796,0.000046,0.000000,0.024084
Q_ind_12_anc_1-1,0.012420,0.005180,0.000000,0.055024
Q_ind_13_anc_1-1,0.000928,0.000009,0.000000,0.008430
Q_ind_14_anc_1-1,0.000887,0.000010,0.000000,0.008008
Q_ind_15_anc_1-1,0.000915,0.000010,0.000000,0.008950
Q_ind_16_anc_1-1,0.000804,0.000011,0.000000,0.006796
Q_ind_17_anc_1-1,0.000643,0.000007,0.000000,0.006026
Q_ind_18_anc_1-1,0.001475,0.000017,0.000000,0.012687
Q_ind_19_anc_1-1,0.000558,0.000004,0.000000,0.005555
Q_ind_20_anc_1-1,0.000215,0.000002,0.000000,0.002035
Q_ind_21_anc_1-1,0.001071,0.000013,0.000000,0.009508
Q_ind_22_anc_1-1,0.003438,0.000090,0.000000,0.026935
Q_ind_23_anc_1-1,0.004625,0.000240,0.000000,0.027864
Q_ind_24_anc_1-1,0.000788,0.000009,0.000000,0.007269
Q_ind_25_anc_1-1,0.000991,0.000013,0.000000,0.008886
Q_ind_26_anc_1-1,0.003684,0.000097,0.000000,0.026726
Q_ind_27_anc_1-1,0.001191,0.000018,0.000000,0.010436
Q_ind_28_anc_1-1,0.002629,0.000061,0.000000,0.019095
Q_ind_29_anc_1-1,0.001945,0.000024,0.000000,0.017559
Q_ind_30_anc_1-1,0.000710,0.000007,0.000000,0.006282
Q_ind_31_anc_1-1,0.000618,0.000005,0.000000,0.005965
Q_ind_32_anc_1-1,0.001992,0.000025,0.000000,0.017244
Q_ind_33_anc_1-1,0.001501,0.000017,0.000000,0.013989
Q_ind_34_anc_1-1,0.005584,0.000573,0.000000,0.034769
Q_ind_35_anc_1-1,0.008184,0.002063,0.000000,0.040445
Q_ind_36_anc_1-1,0.000734,0.000008,0.000000,0.006991
Q_ind_37_anc_1-1,0.001094,0.000009,0.000000,0.009695
Q_ind_38_anc_1-1,0.000803,0.000009,0.000000,0.007480
Q_ind_39_anc_1-1,0.000245,0.000002,0.000000,0.002384
Q_ind_40_anc_1-1,0.001043,0.000010,0.000000,0.010344
Q_ind_41_anc_1-1,0.000670,0.000007,0.000000,0.006129
Q_ind_42_anc_1-1,0.009712,0.004107,0.000000,0.038963
Q_ind_43_anc_1-1,0.002664,0.000083,0.000000,0.019178
Q_ind_44_anc_1-1,0.001532,0.000018,0.000000,0.012810
Q_ind_45_anc_1-1,0.007387,0.001060,0.000000,0.036973
Q_ind_46_anc_1-1,0.000600,0.000005,0.000000,0.005993
Q_ind_47_anc_1-1,0.002428,0.000028,0.000000,0.023738
Q_ind_48_anc_1-1,0.005634,0.000173,0.000000,0.037018
Q_ind_49_anc_1-1,0.005047,0.000249,0.000000,0.030308
Q_ind_50_anc_1-1,0.004249,0.001230,0.000000,0.020476
Q_ind_51_anc_1-1,0.000823,0.000014,0.000000,0.006874
Q_ind_52_anc_1-1,0.000525,0.000005,0.000000,0.004763
Q_ind_53_anc_1-1,0.000581,0.000007,0.000000,0.005166
Q_ind_54_anc_1-1,0.000453,0.000004,0.000000,0.004335
Q_ind_55_anc_1-1,0.000370,0.000004,0.000000,0.003580
Q_ind_56_anc_1-1,0.001606,0.000120,0.000000,0.010349
Q_ind_57_anc_1-1,0.000270,0.000003,0.000000,0.002575
