param,mean,median,ci_0.950_LB,ci_0.950_UB
q_ind_0_pop_0,0.001540,0.000102,0.000000,0.012417
q_ind_1_pop_0,0.000844,0.000042,0.000000,0.006938
q_ind_2_pop_0,0.001709,0.000154,0.000000,0.011910
q_ind_3_pop_0,0.002380,0.000163,0.000000,0.018387
q_ind_4_pop_0,0.001116,0.000065,0.000000,0.009340
q_ind_5_pop_0,0.000718,0.000044,0.000000,0.005594
q_ind_6_pop_0,0.001069,0.000067,0.000000,0.008746
q_ind_7_pop_0,0.001165,0.000089,0.000000,0.009285
q_ind_8_pop_0,0.000681,0.000033,0.000000,0.005835
q_ind_9_pop_0,0.000626,0.000041,0.000000,0.005113
q_ind_10_pop_0,0.001045,0.000077,0.000000,0.008103
q_ind_11_pop_0,0.001008,0.000066,0.000000,0.008041
q_ind_12_pop_0,0.060851,0.059699,0.019310,0.109488
q_ind_13_pop_0,0.102107,0.102923,0.049018,0.155921
q_ind_14_pop_0,0.066883,0.065447,0.029154,0.109745
q_ind_15_pop_0,0.056578,0.056007,0.017699,0.098129
q_ind_16_pop_0,0.100311,0.099906,0.053287,0.150338
q_ind_17_pop_0,0.066500,0.066488,0.009853,0.121255
q_ind_18_pop_0,0.097881,0.098568,0.051354,0.144892
q_ind_19_pop_0,0.038546,0.042343,0.000001,0.075267
q_ind_20_pop_0,0.003686,0.000525,0.000000,0.022649
q_ind_21_pop_0,0.004925,0.000705,0.000000,0.027764
q_ind_22_pop_0,0.001657,0.000111,0.000000,0.013389
q_ind_23_pop_0,0.009516,0.002288,0.000000,0.049361
q_ind_24_pop_0,0.004060,0.000305,0.000000,0.030805
q_ind_25_pop_0,0.001761,0.000103,0.000000,0.015195
q_ind_26_pop_0,0.013601,0.005712,0.000000,0.060558
q_ind_27_pop_0,0.002655,0.000260,0.000000,0.019155
q_ind_28_pop_0,0.006196,0.001437,0.000000,0.030649
q_ind_29_pop_0,0.016968,0.016032,0.000000,0.046333
q_ind_30_pop_0,0.008391,0.002294,0.000000,0.036541
q_ind_31_pop_0,0.002506,0.000190,0.000000,0.020579
q_ind_32_pop_0,0.010529,0.002371,0.000000,0.059327
q_ind_33_pop_0,0.004074,0.000409,0.000000,0.028192
q_ind_34_pop_0,0.006659,0.000865,0.000000,0.039673
q_ind_35_pop_0,0.015534,0.007022,0.000000,0.066702
q_ind_36_pop_0,0.039738,0.037434,0.000507,0.089422
q_ind_37_pop_0,0.022453,0.018241,0.000000,0.072824
q_ind_38_pop_0,0.134961,0.134763,0.089884,0.181674
q_ind_39_pop_0,0.108239,0.107252,0.057370,0.166678
q_ind_40_pop_0,0.012706,0.002161,0.000000,0.060463
q_ind_41_pop_0,0.678490,0.678839,0.629863,0.726591
q_ind_42_pop_0,0.670111,0.669930,0.621448,0.721467
q_ind_43_pop_0,0.672975,0.672722,0.621482,0.725328
q_ind_44_pop_0,0.653953,0.653342,0.605077,0.707228
q_ind_45_pop_0,0.683738,0.684284,0.632152,0.735784
q_ind_46_pop_0,0.647518,0.647352,0.593870,0.703261
q_ind_47_pop_0,0.660581,0.659833,0.605620,0.715768
q_ind_48_pop_0,0.629496,0.630061,0.578899,0.677983
q_ind_49_pop_0,0.654481,0.653761,0.603989,0.705680
q_ind_50_pop_0,0.339662,0.339921,0.293279,0.385259
q_ind_51_pop_0,0.288915,0.289233,0.239172,0.339684
q_ind_52_pop_0,0.273543,0.273585,0.225006,0.322437
q_ind_53_pop_0,0.286217,0.286717,0.238521,0.334083
q_ind_54_pop_0,0.322481,0.321627,0.279053,0.371010
q_ind_55_pop_0,0.316193,0.315591,0.264508,0.370838
q_ind_56_pop_0,0.203769,0.203586,0.160704,0.248021
q_ind_57_pop_0,0.310471,0.311113,0.262767,0.353093
q_ind_58_pop_0,0.257385,0.256631,0.209400,0.306557
q_ind_59_pop_0,0.305710,0.305530,0.257497,0.352066
q_ind_60_pop_0,0.305067,0.304666,0.248487,0.363670
q_ind_61_pop_0,0.275126,0.274572,0.223918,0.328887
q_ind_62_pop_0,0.000374,0.000020,0.000000,0.003118
q_ind_63_pop_0,0.000314,0.000021,0.000000,0.002370
q_ind_64_pop_0,0.000541,0.000028,0.000000,0.004832
q_ind_65_pop_0,0.000689,0.000046,0.000000,0.005741
q_ind_66_pop_0,0.000560,0.000033,0.000000,0.004736
q_ind_67_pop_0,0.782932,0.783701,0.735871,0.827461
q_ind_68_pop_0,0.608146,0.608882,0.556982,0.658259
q_ind_69_pop_0,0.600324,0.599787,0.554334,0.648317
q_ind_70_pop_0,0.760383,0.760314,0.712977,0.809907
q_ind_71_pop_0,0.724355,0.724094,0.674107,0.775783
q_ind_72_pop_0,0.783980,0.783257,0.730667,0.839154
q_ind_73_pop_0,0.595110,0.594885,0.543526,0.648627
q_ind_74_pop_0,0.496509,0.498660,0.480113,0.502107
q_ind_75_pop_0,0.815049,0.815851,0.761192,0.865317
q_ind_76_pop_0,0.001610,0.000101,0.000000,0.012584
q_ind_77_pop_0,0.001091,0.000067,0.000000,0.008756
q_ind_78_pop_0,0.001644,0.000107,0.000000,0.013839
q_ind_79_pop_0,0.001145,0.000065,0.000000,0.010009
q_ind_80_pop_0,0.003995,0.000371,0.000000,0.027697
q_ind_81_pop_0,0.001171,0.000073,0.000000,0.009507
q_ind_82_pop_0,0.003020,0.000354,0.000000,0.019581
q_ind_83_pop_0,0.000981,0.000056,0.000000,0.007785
q_ind_84_pop_0,0.001225,0.000096,0.000000,0.009392
q_ind_85_pop_0,0.003919,0.000392,0.000000,0.024410
q_ind_86_pop_0,0.001357,0.000072,0.000000,0.010977
q_ind_87_pop_0,0.015314,0.005856,0.000000,0.066506
q_ind_88_pop_0,0.005821,0.000986,0.000000,0.033491
q_ind_89_pop_0,0.021866,0.009056,0.000000,0.098519
q_ind_90_pop_0,0.044933,0.045247,0.000158,0.093887
q_ind_91_pop_0,0.037346,0.037076,0.000000,0.084618
q_ind_92_pop_0,0.035781,0.035108,0.000000,0.086739
q_ind_93_pop_0,0.126084,0.125495,0.084715,0.169493
q_ind_94_pop_0,0.013171,0.003738,0.000000,0.061136
q_ind_95_pop_0,0.006435,0.002795,0.000000,0.030554
q_ind_96_pop_0,0.004218,0.001379,0.000000,0.019932
q_ind_97_pop_0,0.005863,0.000878,0.000000,0.032383
q_ind_98_pop_0,0.002394,0.000205,0.000000,0.017162
q_ind_99_pop_0,0.001016,0.000068,0.000000,0.007743
q_ind_100_pop_0,0.000523,0.000024,0.000000,0.004495
q_ind_101_pop_0,0.000422,0.000022,0.000000,0.003674
q_ind_102_pop_0,0.001326,0.000080,0.000000,0.011137
q_ind_103_pop_0,0.000447,0.000024,0.000000,0.003624
q_ind_104_pop_0,0.035413,0.034756,0.000080,0.073873
q_ind_105_pop_0,0.033608,0.034478,0.000002,0.066552
q_ind_106_pop_0,0.339773,0.338204,0.292297,0.397130
