"","AS","BA","BB","BC","CA","CR","DA","FC","FV","GB","KC","MC","ML","OF","PC","PM","PR","PT","SB","SC","SH","SL","TB","WC","WF","WH"
"AS",NA,0.120423770757224,0.086037358047518,0.0690195419254427,0.201211777027126,0.164628362019281,0.24749543095875,0.133882073723598,0.0615875883716744,0.0917610243754075,0.204398071146165,0.072191499694516,0.23581806794242,0.0654249663494437,0.0801637715148864,0.210475147354396,0.0386989212993757,0.0499534461157187,0.0803788700410031,0.0543872788236623,0.130322800025306,0.110846826607685,0.033345707573926,0.0813990632760079,0.0501903518712436,0.1656588310232
"BA",0.120423770757224,NA,0.0743667066021958,0.105405442512292,0.0924458080521878,0.0380857299688599,0.310014645687951,0.0777683243853783,0.0857924893469942,0.0826707744168214,0.0749031498988304,0.0714715536584898,0.0871775432969467,0.06959499370082,0.064174013491277,0.266310227185183,0.141718740516255,0.0903370139434953,0.0618389693778098,0.09990919526943,0.0812138177021213,0.191756391084325,0.0992490338055499,0.0660411051713198,0.0799556099345109,0.0951336576082328
"BB",0.086037358047518,0.0743667066021958,NA,0.0961795168252543,0.15549113843007,0.121238464982024,0.296786128941594,0.0906226644436962,0.0193978968063079,0.0989038611354564,0.164535815348949,0.0545630364027841,0.192891713545191,0.0287770457170354,0.0110804374946483,0.253748749817551,0.114102674914905,0.0474930118798048,0.00945817287505813,0.055447688826635,0.0710309532965061,0.163151416186731,0.0817961537947708,0.0342095888339579,0.0747173366598022,0.123673344849816
"BC",0.0690195419254427,0.105405442512292,0.0961795168252543,NA,0.179839094915899,0.145368527766305,0.296807691303553,0.123234144023973,0.0912902916435927,0.100926062068561,0.188204190136048,0.0766325726749766,0.215583601861798,0.085411945114297,0.0852778271100653,0.254790960823657,0.0918491749624984,0.0645150175838803,0.0875333945987606,0.090960237259189,0.118603760434235,0.147130960263357,0.0461808970991458,0.0821457013378044,0.0760646209397539,0.151355083628251
"CA",0.201211777027126,0.0924458080521878,0.15549113843007,0.179839094915899,NA,0.068221995831243,0.390663577351694,0.0699157367342288,0.16676081032044,0.169568665889543,0.115319824572292,0.120353779693065,0.12471517709495,0.154527446392938,0.135783134999248,0.34797749060524,0.225544257749344,0.156634495597766,0.13584047167948,0.184846092425289,0.109261923872542,0.263181749336038,0.174460636768341,0.140568739686681,0.124839427448563,0.0568168853598196
"CR",0.164628362019281,0.0380857299688599,0.121238464982024,0.145368527766305,0.068221995831243,NA,0.346071247979853,0.0874157180726645,0.1341164084185,0.125947961279505,0.0637512955865692,0.103966795941232,0.0686306517872203,0.11682374067614,0.10349789350047,0.303480466207028,0.186874960511784,0.132134077424915,0.101600503699915,0.148088992567773,0.105005183774764,0.227990357243348,0.140894551435284,0.104711514248914,0.105688064402839,0.089752705354246
"DA",0.24749543095875,0.310014645687951,0.296786128941594,0.296807691303553,0.390663577351694,0.346071247979853,NA,0.329057139674761,0.256894687716141,0.205346392187423,0.379502825127294,0.307133293331272,0.412915764340052,0.267548415391363,0.293720172799855,0.063079585133608,0.245390190533025,0.29052853919639,0.28655101673829,0.221857936604853,0.348060106084894,0.341682447148849,0.272843473814915,0.287669769418716,0.262310274998186,0.357917639445738
"FC",0.133882073723598,0.0777683243853783,0.0906226644436962,0.123234144023973,0.0699157367342288,0.0874157180726645,0.329057139674761,NA,0.100393245028253,0.121308549461451,0.144898471962839,0.0555958989843013,0.163496698195904,0.0951731009788565,0.0735048868494729,0.289146657903787,0.161115958890828,0.0916157757298585,0.0740929044150259,0.120860001862916,0.0387556166394148,0.194150713668276,0.114862185802855,0.0804001538274699,0.0814088015036923,0.0258718666986521
"FV",0.0615875883716744,0.0857924893469942,0.0193978968063079,0.0912902916435927,0.16676081032044,0.1341164084185,0.256894687716141,0.100393245028253,NA,0.0849136518372763,0.175301633180657,0.0597996947964546,0.204842298552603,0.0267641116334378,0.0258750748700083,0.218254014366401,0.0855970275226538,0.0406433619775216,0.0250117083815882,0.0290616509885046,0.0864571309598168,0.146884484859164,0.0679765488829031,0.0370398583886669,0.0626631287908573,0.132736637264905
"GB",0.0917610243754075,0.0826707744168214,0.0989038611354564,0.100926062068561,0.169568665889543,0.125947961279505,0.205346392187423,0.121308549461451,0.0849136518372763,NA,0.165442418564038,0.0917123096351486,0.189188289244326,0.0735010306143432,0.0925311571384221,0.157701135581321,0.0982957267544844,0.0918405551408437,0.085830843638215,0.0715007171202908,0.124466092860636,0.179018531149768,0.0875751748057403,0.0849158129709398,0.0778192270864025,0.148330985192491
"KC",0.204398071146165,0.0749031498988304,0.164535815348949,0.188204190136048,0.115319824572292,0.0637512955865692,0.379502825127294,0.144898471962839,0.175301633180657,0.165442418564038,NA,0.155999858361437,0.0285160979990632,0.157376021270874,0.148356747856426,0.335086967156123,0.226292438337313,0.177791227036581,0.147769195809771,0.191430480349345,0.158780461486181,0.267796452195653,0.185309564690435,0.151149270418052,0.153307301812344,0.151188501473992
"MC",0.072191499694516,0.0714715536584898,0.0545630364027841,0.0766325726749766,0.120353779693065,0.103966795941232,0.307133293331272,0.0555958989843013,0.0597996947964546,0.0917123096351486,0.155999858361437,NA,0.180980046809891,0.052481590345849,0.0427360660423262,0.265609633032471,0.103206021006846,0.0372052164014745,0.0455004487838094,0.0741617260500769,0.0410869636875834,0.146829192656202,0.0612974621110217,0.0483719595195618,0.0508494579636844,0.0825364124577768
"ML",0.23581806794242,0.0871775432969467,0.192891713545191,0.215583601861798,0.12471517709495,0.0686306517872203,0.412915764340052,0.163496698195904,0.204842298552603,0.189188289244326,0.0285160979990632,0.180980046809891,NA,0.187430872173937,0.175528245255125,0.368357022565136,0.255702398246065,0.207658249990952,0.174708609111804,0.219571982902952,0.182623002480753,0.299604980484765,0.212101980471016,0.176960232997052,0.17703800165215,0.16804160382418
"OF",0.0654249663494437,0.06959499370082,0.0287770457170354,0.085411945114297,0.154527446392938,0.11682374067614,0.267548415391363,0.0951731009788565,0.0267641116334378,0.0735010306143432,0.157376021270874,0.052481590345849,0.187430872173937,NA,0.0290040742671083,0.226872628707221,0.0891506577697573,0.04947515921814,0.0244381785334391,0.0425164229157536,0.0787885428365341,0.150847403904738,0.0650395209034266,0.0374894495805951,0.0616411293308955,0.125721468609131
"PC",0.0801637715148864,0.064174013491277,0.0110804374946483,0.0852778271100653,0.135783134999248,0.10349789350047,0.293720172799855,0.0735048868494729,0.0258750748700083,0.0925311571384221,0.148356747856426,0.0427360660423262,0.175528245255125,0.0290040742671083,NA,0.252488103084116,0.107260478292641,0.039751222623857,0.00700694606511798,0.056627996424042,0.0553142341778561,0.153665988053184,0.072052875664538,0.0266698720050118,0.0649797141527179,0.102706381125424
"PM",0.210475147354396,0.266310227185183,0.253748749817551,0.254790960823657,0.34797749060524,0.303480466207028,0.063079585133608,0.289146657903787,0.218254014366401,0.157701135581321,0.335086967156123,0.265609633032471,0.368357022565136,0.226872628707221,0.252488103084116,NA,0.210236046466148,0.252470060698857,0.247058988164975,0.1866303100338,0.304821259560247,0.309056056427817,0.232772159369405,0.246757203289692,0.222871786537617,0.318565975120375
"PR",0.0386989212993757,0.141718740516255,0.114102674914905,0.0918491749624984,0.225544257749344,0.186874960511784,0.245390190533025,0.161115958890828,0.0855970275226538,0.0982957267544844,0.226292438337313,0.103206021006846,0.255702398246065,0.0891506577697573,0.107260478292641,0.210236046466148,NA,0.0833034381816098,0.105413666514362,0.0708187607033454,0.158850782120312,0.144986377487694,0.0560809474632509,0.104804599191334,0.0739972888770793,0.190781445197113
"PT",0.0499534461157187,0.0903370139434953,0.0474930118798048,0.0645150175838803,0.156634495597766,0.132134077424915,0.29052853919639,0.0916157757298585,0.0406433619775216,0.0918405551408437,0.177791227036581,0.0372052164014745,0.207658249990952,0.04947515921814,0.039751222623857,0.252470060698857,0.0833034381816098,NA,0.0448458628734516,0.0592410636821099,0.0759756304581547,0.122738936711223,0.048676221822998,0.0470137877587868,0.052874756500134,0.120987608380159
"SB",0.0803788700410031,0.0618389693778098,0.00945817287505813,0.0875333945987606,0.13584047167948,0.101600503699915,0.28655101673829,0.0740929044150259,0.0250117083815882,0.085830843638215,0.147769195809771,0.0455004487838094,0.174708609111804,0.0244381785334391,0.00700694606511798,0.247058988164975,0.105413666514362,0.0448458628734516,NA,0.0507312832707005,0.0599291047935503,0.153919640703431,0.0746893331174287,0.0291145493442793,0.0609668929575696,0.106017694068818
"SC",0.0543872788236623,0.09990919526943,0.055447688826635,0.090960237259189,0.184846092425289,0.148088992567773,0.221857936604853,0.120860001862916,0.0290616509885046,0.0715007171202908,0.191430480349345,0.0741617260500769,0.219571982902952,0.0425164229157536,0.056627996424042,0.1866303100338,0.0708187607033454,0.0592410636821099,0.0507312832707005,NA,0.112817036329676,0.147797960556225,0.0656011022343746,0.0615153639736413,0.0614273416440106,0.153381433978951
"SH",0.130322800025306,0.0812138177021213,0.0710309532965061,0.118603760434235,0.109261923872542,0.105005183774764,0.348060106084894,0.0387556166394148,0.0864571309598168,0.124466092860636,0.158780461486181,0.0410869636875834,0.182623002480753,0.0787885428365341,0.0553142341778561,0.304821259560247,0.158850782120312,0.0759756304581547,0.0599291047935503,0.112817036329676,NA,0.194461977970751,0.110850236226706,0.0680628240272464,0.0892217273807522,0.0645145953962072
"SL",0.110846826607685,0.191756391084325,0.163151416186731,0.147130960263357,0.263181749336038,0.227990357243348,0.341682447148849,0.194150713668276,0.146884484859164,0.179018531149768,0.267796452195653,0.146829192656202,0.299604980484765,0.150847403904738,0.153665988053184,0.309056056427817,0.144986377487694,0.122738936711223,0.153919640703431,0.147797960556225,0.194461977970751,NA,0.120778823562124,0.157174127722111,0.13159739885633,0.224930988942694
"TB",0.033345707573926,0.0992490338055499,0.0817961537947708,0.0461808970991458,0.174460636768341,0.140894551435284,0.272843473814915,0.114862185802855,0.0679765488829031,0.0875751748057403,0.185309564690435,0.0612974621110217,0.212101980471016,0.0650395209034266,0.072052875664538,0.232772159369405,0.0560809474632509,0.048676221822998,0.0746893331174287,0.0656011022343746,0.110850236226706,0.120778823562124,NA,0.0735054231235236,0.049646032182691,0.142959970905983
"WC",0.0813990632760079,0.0660411051713198,0.0342095888339579,0.0821457013378044,0.140568739686681,0.104711514248914,0.287669769418716,0.0804001538274699,0.0370398583886669,0.0849158129709398,0.151149270418052,0.0483719595195618,0.176960232997052,0.0374894495805951,0.0266698720050118,0.246757203289692,0.104804599191334,0.0470137877587868,0.0291145493442793,0.0615153639736413,0.0680628240272464,0.157174127722111,0.0735054231235236,NA,0.0679232476717912,0.108786392119476
"WF",0.0501903518712436,0.0799556099345109,0.0747173366598022,0.0760646209397539,0.124839427448563,0.105688064402839,0.262310274998186,0.0814088015036923,0.0626631287908573,0.0778192270864025,0.153307301812344,0.0508494579636844,0.17703800165215,0.0616411293308955,0.0649797141527179,0.222871786537617,0.0739972888770793,0.052874756500134,0.0609668929575696,0.0614273416440106,0.0892217273807522,0.13159739885633,0.049646032182691,0.0679232476717912,NA,0.101835792819652
