"","AS","BA","BB","BC","CA","CR","FC","FV","GB","KC","MC","ML","OF","PC","PR","PT","SB","SC","SH","SL","TB","WC","WF","WH"
"AS",NA,0.120941216184292,0.0851665785013021,0.0614290488811509,0.195022041554363,0.163086814297643,0.135850190684181,0.0633733880866151,0.0830908049098368,0.193106530659126,0.0700176223049318,0.231568378554365,0.0653260658182137,0.0790269970992861,0.03704560929464,0.0460343706780332,0.0799641739953543,0.0558222478886601,0.124426542100636,0.0756244975348594,0.0317968497443643,0.0790111581127207,0.0477951752343029,0.1651656081362
"BA",0.120941216184292,NA,0.0788998052397559,0.106159858220189,0.0893886233431642,0.0379442153615295,0.0812142264668006,0.0870469694391632,0.0688731782455866,0.0666564966206187,0.0746372843600646,0.0839897785692004,0.0717865946707364,0.0676867553843611,0.141311917628286,0.0900936842250078,0.0656161971448413,0.0958062002433436,0.0808273914578185,0.166889179849321,0.101112525664196,0.0685303344318733,0.0813501721476903,0.0978461954122046
"BB",0.0851665785013021,0.0788998052397559,NA,0.0933788899303949,0.15430716487947,0.123552039948866,0.0943586464686205,0.0173815912320378,0.086496739440311,0.158888348304046,0.0549266568951606,0.196141854332953,0.0285580812302673,0.0100218270150285,0.111023578567615,0.0469842598080808,0.0100430325318788,0.04822755816248,0.0711624712729673,0.138543807879904,0.0817352485773082,0.0330119811208418,0.0735520526138618,0.124522677539313
"BC",0.0614290488811509,0.106159858220189,0.0933788899303949,NA,0.17427861805627,0.144600932244045,0.124515390151859,0.0864449811644259,0.0849288934336358,0.176478172300869,0.0746753954132585,0.211183152473435,0.0807440707636255,0.0825777270310469,0.0828319605477154,0.0591333558691794,0.0856103655140607,0.0816828203674109,0.114365263439801,0.110676250787328,0.0440739907993307,0.0803778057225777,0.0682376076111305,0.151000221202766
"CA",0.195022041554363,0.0893886233431642,0.15430716487947,0.17427861805627,NA,0.0655315752187661,0.0682730952851118,0.163201672298394,0.150432584815787,0.106876597291982,0.117310834059187,0.121439810813114,0.152302231692491,0.133986543987592,0.218195853994629,0.154791783230757,0.132732915855556,0.176446191949821,0.105053393041681,0.234043566462977,0.169971820723642,0.138635431765059,0.12148282685095,0.059410588378883
"CR",0.163086814297643,0.0379442153615295,0.123552039948866,0.144600932244045,0.0655315752187661,NA,0.0893426504211937,0.133227998327866,0.112241166191289,0.0585180517149323,0.104690091803877,0.0671929603478821,0.118808033469568,0.104680885267159,0.184484034708058,0.130739527875439,0.103882219310469,0.142795950649532,0.102402392020527,0.203408243649318,0.140878122232499,0.106554202140524,0.106644215184836,0.0919917981853957
"FC",0.135850190684181,0.0812142264668006,0.0943586464686205,0.124515390151859,0.0682730952851118,0.0893426504211937,NA,0.102858419915246,0.112090871547353,0.139518209731759,0.0580565980808756,0.163996834742392,0.099532022114274,0.0765971811807903,0.160543430589538,0.095015390816813,0.0771095877727079,0.119417546890229,0.0384838794751763,0.171585647045372,0.118523378329779,0.0839346110484779,0.0826830288639604,0.0239102100365036
"FV",0.0633733880866151,0.0870469694391632,0.0173815912320378,0.0864449811644259,0.163201672298394,0.133227998327866,0.102858419915246,NA,0.0758520061229281,0.16598162829022,0.0579681471049589,0.20401974422186,0.0260140480079679,0.0240636792392738,0.0849937678365875,0.0395415442608801,0.0234682937085891,0.02768557966663,0.0842716684005467,0.121127501682838,0.0674749118967146,0.0338311071856217,0.0618614171497646,0.132071967442843
"GB",0.0830908049098368,0.0688731782455866,0.086496739440311,0.0849288934336358,0.150432584815787,0.112241166191289,0.112090871547353,0.0758520061229281,NA,0.142160588353061,0.0752432961337075,0.172457290114646,0.0634236554878551,0.0785017581867844,0.0926204413703178,0.075976322818162,0.0727775464668144,0.0675996369243116,0.108007541561445,0.141081582808053,0.0740852740897308,0.072585133183621,0.0677514415887279,0.137038399214173
"KC",0.193106530659126,0.0666564966206187,0.158888348304046,0.176478172300869,0.106876597291982,0.0585180517149323,0.139518209731759,0.16598162829022,0.142160588353061,NA,0.147833396981259,0.0299685275682568,0.150720749316078,0.141091005171704,0.214963041641198,0.166864909608175,0.141819674856184,0.177378172327346,0.148930483697665,0.232533799732487,0.175109209456473,0.143313213912837,0.145897951537497,0.145689344375459
"MC",0.0700176223049318,0.0746372843600646,0.0549266568951606,0.0746753954132585,0.117310834059187,0.104690091803877,0.0580565980808756,0.0579681471049589,0.0752432961337075,0.147833396981259,NA,0.180514816167139,0.0534777917894874,0.0433310402837901,0.0989203457895988,0.0374734836816775,0.0465547039083634,0.0676691358059526,0.0404673508774453,0.116865521073779,0.0609173138976243,0.0489767144338323,0.0469796581328796,0.0821479985840972
"ML",0.231568378554365,0.0839897785692004,0.196141854332953,0.211183152473435,0.121439810813114,0.0671929603478821,0.163996834742392,0.20401974422186,0.172457290114646,0.0299685275682568,0.180514816167139,NA,0.188087183729635,0.17691790610265,0.251794156419756,0.20480810196691,0.176722601527588,0.213563084750259,0.179316120852005,0.270334568766903,0.209268649095935,0.177839517500829,0.17764391475536,0.169524948095708
"OF",0.0653260658182137,0.0717865946707364,0.0285580812302673,0.0807440707636255,0.152302231692491,0.118808033469568,0.099532022114274,0.0260140480079679,0.0634236554878551,0.150720749316078,0.0534777917894874,0.188087183729635,NA,0.0296618494517428,0.0861198788395021,0.047274734991331,0.0246576573540478,0.0362946022830706,0.0787237278705718,0.124693936775103,0.064612712794154,0.037975114253688,0.0602654276178734,0.127464867653261
