"","AS","BA","BB","BC","CA","CR","FC","FV","GB","KC","MC","ML","OF","PC","PR","PT","SB","SC","SH","SL","TB","WC","WF","WH"
"AS",NA,0.141263313166223,0.100739357474128,0.0684414962399561,0.234539206543015,0.192499474676974,0.162152225267536,0.0750612972356978,0.0877803962237806,0.227337210665511,0.077701053138658,0.274586536098385,0.0729745306228274,0.0922621755800944,0.0399914289302734,0.0537602567277801,0.0934304647802369,0.0620685224879454,0.147664049781652,0.0813225523536512,0.0311795303432744,0.0919699824349942,0.0510748607579833,0.197071314089472
"BA",0.141263313166223,NA,0.0892304100349612,0.126829262762666,0.0948091329420617,0.0393658312849469,0.0942839639993794,0.100815291291358,0.0749348566361179,0.0681692125950263,0.0830795008157693,0.0888118210380337,0.082714417558704,0.0755483580260264,0.164058265583282,0.104434075686692,0.0750390983544128,0.111271312790018,0.0941550361201854,0.196644531222883,0.120401258436646,0.0773917691620795,0.0910321643364106,0.112535426007417
"BB",0.100739357474128,0.0892304100349612,NA,0.112109832843723,0.182804502055855,0.145643806018921,0.111596847005512,0.016347918991048,0.0907237652602668,0.184330762229095,0.0585480551855013,0.232014749414824,0.0290048614434667,0.0100395165152487,0.127801860707913,0.0539998095519808,0.00780399874428639,0.0517934624853547,0.0805420017843354,0.16191820226882,0.0963621724582164,0.034194132993806,0.083710334205924,0.148663967727375
"BC",0.0684414962399561,0.126829262762666,0.112109832843723,NA,0.212690075994409,0.172673817270957,0.150502411550491,0.102072224788873,0.0958877286082055,0.208757616214957,0.0851708674079196,0.254735874065951,0.0934980873195043,0.0971855339051207,0.0939854317988758,0.0695678365407678,0.102439070653371,0.097534652007102,0.137549100838918,0.127393446677328,0.0498542840626453,0.0952319156752301,0.07846148632038,0.181231254556933
"CA",0.234539206543015,0.0948091329420617,0.182804502055855,0.212690075994409,NA,0.0642189724116252,0.068648144190109,0.193629826950441,0.172092386678033,0.110096109694211,0.12985934453977,0.129719861702543,0.17946044163262,0.154510303943857,0.260066764337966,0.184848177092765,0.156404413091957,0.210889327297798,0.112094346181629,0.282459316016817,0.207585433156248,0.161211616030016,0.139251822755461,0.0545958610091708
"CR",0.192499474676974,0.0393658312849469,0.145643806018921,0.172673817270957,0.0642189724116252,NA,0.0999489627026807,0.157354931070977,0.124796962889346,0.0587245034205872,0.119326941658747,0.0693663191645019,0.139577766119903,0.123024863688193,0.215201537687217,0.154277979590481,0.123073795775069,0.167280270674486,0.117081270721137,0.239350130810309,0.1682050870943,0.123358707793678,0.121899628248465,0.102937137304956
"FC",0.162152225267536,0.0942839639993794,0.111596847005512,0.150502411550491,0.068648144190109,0.0999489627026807,NA,0.120983900329149,0.129444920197589,0.160251209111383,0.0609621253820729,0.193413666711109,0.116109141010891,0.0892159940003896,0.188968019188577,0.110906461690948,0.0909879118305805,0.141691055017894,0.0411627147743346,0.204546017670287,0.142384034082974,0.0977672141020656,0.094181132001121,0.0259813247727375
"FV",0.0750612972356978,0.100815291291358,0.016347918991048,0.102072224788873,0.193629826950441,0.157354931070977,0.120983900329149,NA,0.0802916464853526,0.194236729220403,0.0612499334529423,0.241861806660326,0.0280360175604457,0.0257367209651435,0.0976320057011294,0.0463425149828551,0.0245118368888544,0.0304136841886374,0.0963841619349046,0.140492724719201,0.078468852629698,0.0355579286240335,0.0702782640172503,0.1561074280897
"GB",0.0877803962237806,0.0749348566361179,0.0907237652602668,0.0958877286082055,0.172092386678033,0.124796962889346,0.129444920197589,0.0802916464853526,NA,0.158028709076376,0.0812138396688496,0.196092830842621,0.0654567054562768,0.0815062764832795,0.0975256793881375,0.078153556856962,0.0786132144551766,0.0717761692756624,0.121690182678069,0.157100419210811,0.0789858450296817,0.076718908445721,0.0750389179102326,0.158200968282379
"KC",0.227337210665511,0.0681692125950263,0.184330762229095,0.208757616214957,0.110096109694211,0.0587245034205872,0.160251209111383,0.194236729220403,0.158028709076376,NA,0.17258031624758,0.0308111562150031,0.176336204993853,0.162808966158603,0.250081683066982,0.195753193703504,0.165355812215573,0.207358781235839,0.174791158523737,0.27481538180534,0.207750480628167,0.163842304849731,0.166861689495243,0.168370596179561
"MC",0.077701053138658,0.0830795008157693,0.0585480551855013,0.0851708674079196,0.12985934453977,0.119326941658747,0.0609621253820729,0.0612499334529423,0.0812138396688496,0.17258031624758,NA,0.215480693319164,0.0561309588017527,0.0432648228114809,0.109017126156367,0.0379648300516079,0.0489244283662974,0.0732435464853715,0.0419056588579424,0.130682589252353,0.0662588455901559,0.0527817222669445,0.0466479048603615,0.093341546875839
"ML",0.274586536098385,0.0888118210380337,0.232014749414824,0.254735874065951,0.129719861702543,0.0693663191645019,0.193413666711109,0.241861806660326,0.196092830842621,0.0308111562150031,0.215480693319164,NA,0.222496392127475,0.206888980371973,0.296724031479429,0.242388968618218,0.209289716619132,0.252928681042223,0.213873522243003,0.323072995157349,0.252604738973251,0.207800633998159,0.207399912028394,0.197181676003308
"OF",0.0729745306228274,0.082714417558704,0.0290048614434667,0.0934980873195043,0.17946044163262,0.139577766119903,0.116109141010891,0.0280360175604457,0.0654567054562768,0.176336204993853,0.0561309588017527,0.222496392127475,NA,0.031510884710711,0.096953192765205,0.0530287003957582,0.0260744162254726,0.0387008938051847,0.0899346084491749,0.141192459121876,0.0724923292061474,0.0395564360008472,0.065806349951084,0.149837028157683
