"AS","BA","BB","BC","CA","CR","FC","FV","GB","KC","MC","ML","OF","PC","PR","PT","SB","SC","SH","SL","TB","WC","WF","WH"
1.28985507246377,1.125,1,1,1,1,1.20915032679739,1,1,1,1,1,1,1.15942028985507,1,1,1,1,1,1,1,1,1,1.08333333333334
1,1,1,1.24675324675325,1,1.08333333333334,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.1,1.11111111111111,1.39473684210526,1
1,1,1.1,1.4421052631579,1,1,1.11111111111111,1,1,1.1,1,1.20915032679739,1,1,1,1,1,1,1,1,1,1.1,1,1
1,1,1.11111111111111,1,1.14285714285714,1,1.11111111111111,1.09090909090909,1.23333333333333,1,1.125,1,1.23333333333333,1,1.11111111111111,1,1,1.20915032679739,1.16666666666667,1.11111111111111,1,1.1,1.17316017316017,1.22826086956522
1,1.125,1.20915032679739,1.09090909090909,1,1.08333333333334,1.20915032679739,1.42483660130719,1,1.11111111111111,1.125,1,1,1.22826086956522,1,1,1.26373626373626,1.29411764705882,1,1,1.1,1.42483660130719,1.18947368421053,1.22826086956522
1.34420289855073,1,1,1,1,1,1,1,1,1,1,1.11111111111111,1,1,1.11111111111111,1.53333333333333,1,1,1,1,1,1,1.24675324675325,1
1.22826086956522,1.125,1.1,1.17316017316017,1.3030303030303,1.08333333333334,1.4,1.17316017316017,1.125,1,1.16666666666667,1.325,1.125,1.31168831168831,1.20915032679739,1.33333333333333,1.23333333333333,1.29411764705882,1,1.20915032679739,1.26842105263158,1.18947368421053,1.39473684210526,1.43115942028986
1,1.325,1.26842105263158,1.09090909090909,1.14285714285714,1,1,1.09090909090909,1,1,1.23333333333333,1,1.23333333333333,1.08333333333334,1,1,1.23333333333333,1,1.3030303030303,1,1.1,1.33684210526316,1.09090909090909,1.08333333333334
1.28985507246377,1.125,1.18947368421053,1.17316017316017,1.14285714285714,1.08333333333334,1,1.26842105263158,1.125,1.26842105263158,1,1,1,1,1.11111111111111,1,1.125,1,1,1.20915032679739,1,1,1.17316017316017,1.18947368421053
1.08333333333334,1.125,1.26842105263158,1.41558441558442,1,1,1.11111111111111,1,1,1.1,1.23333333333333,1.11111111111111,1,1.15942028985507,1,1.33333333333333,1.45833333333333,1.11111111111111,1,1,1.33684210526316,1,1.36796536796537,1
1.15942028985507,1,1,1,1,1.15942028985507,1,1,1,1,1,1.29411764705882,1,1,1.29411764705882,1.53333333333333,1,1,1,1,1,1,1,1.08333333333334
1,1.125,1,1,1,1.08333333333334,1,1,1,1.52631578947368,1,1.29411764705882,1,1,1,1,1,1,1,1,1,1,1,1
1.08333333333334,1.125,1,1,1,1,1,1,1,1.1,1,1,1.14285714285714,1.08333333333334,1,1,1.14285714285714,1.36601307189543,1,1,1,1,1,1
1.53333333333333,1.40909090909091,1.52747252747253,1.53333333333333,1.53333333333333,1.52287581699346,1.53333333333333,1.52287581699346,1.46666666666667,1.36601307189543,1.52747252747253,1,1.57142857142857,1.53846153846154,1.40909090909091,1.66666666666667,1.53333333333333,1.5,1.55555555555556,1.45833333333333,1.53030303030303,1.53846153846154,1.53030303030303,1.52941176470588
1.08333333333334,1,1,1.36796536796537,1,1,1,1.09090909090909,1,1.18947368421053,1,1.11111111111111,1,1.08333333333334,1,1,1,1,1,1.20915032679739,1.18947368421053,1,1.1,1
1.08333333333334,1,1.1,1,1,1,1,1.17316017316017,1,1.1,1,1,1,1,1,1,1,1.36601307189543,1.16666666666667,1.52287581699346,1.18947368421053,1,1.24675324675325,1.08333333333334
1.39473684210526,1,1,1,1,1.22826086956522,1.29411764705882,1.31168831168831,1,1.1,1.125,1.20915032679739,1.125,1,1.26373626373626,1,1.125,1.26373626373626,1,1.20915032679739,1.5,1.1,1.29411764705882,1
1.08333333333334,1,1.26842105263158,1,1,1,1,1.09090909090909,1,1,1,1,1,1,1.11111111111111,1,1,1.29411764705882,1,1.45833333333333,1,1,1,1
1.52631578947368,1.49450549450549,1.36601307189543,1.53333333333333,1,1.08333333333334,1.16666666666667,1.50326797385621,1.3030303030303,1.1,1.48484848484848,1,1.52747252747253,1,1.5,1.66666666666667,1.49450549450549,1.40909090909091,1,1.54545454545455,1.48484848484848,1.50326797385621,1.525,1.1
1.15942028985507,1,1.18947368421053,1.09090909090909,1,1.08333333333334,1,1.09090909090909,1,1,1.125,1,1,1,1.36601307189543,1.33333333333333,1.125,1,1,1,1,1,1.09090909090909,1.08333333333334
1,1,1,1,1,1.08333333333334,1,1,1,1,1,1,1.23333333333333,1.24675324675325,1,1,1,1,1,1,1,1.52105263157895,1,1
1.20915032679739,1.525,1.45833333333333,1.43956043956044,1.52747252747253,1.43115942028986,1.48484848484848,1.50526315789474,1.3030303030303,1.52631578947368,1.53571428571429,1.50326797385621,1.53333333333333,1.52747252747253,1.4,1.53333333333333,1.43956043956044,1.5,1.33333333333333,1.36601307189543,1.525,1.325,1.42483660130719,1.29411764705882
1.36601307189543,1.53030303030303,1.52105263157895,1.43956043956044,1.55555555555556,1.50526315789474,1.47058823529412,1.50649350649351,1.48484848484848,1.52941176470588,1.525,1.42483660130719,1.53846153846154,1.52380952380952,1.43956043956044,1.53333333333333,1.53333333333333,1.4,1.48484848484848,1.53571428571429,1.35555555555556,1.50326797385621,1.45833333333333,1.48484848484849
1,1.325,1,1,1.16666666666667,1.15942028985507,1.11111111111111,1,1,1.1,1,1,1,1,1,1,1.125,1,1,1,1,1,1.09090909090909,1.22826086956522
1.08333333333334,1.125,1,1.09090909090909,1.26373626373626,1.26842105263158,1.26373626373626,1.09090909090909,1.125,1.36263736263736,1,1.35555555555556,1,1.17316017316017,1,1,1.325,1,1.16666666666667,1.23333333333333,1,1,1,1.325
1,1.36263736263736,1,1,1,1.48913043478261,1,1,1,1.50326797385621,1.125,1.45833333333333,1.14285714285714,1,1,1,1,1,1,1,1.1,1,1,1.08333333333334
1,1,1,1,1,1,1.47058823529412,1,1.125,1,1.125,1,1,1,1,1,1,1,1.16666666666667,1.11111111111111,1,1,1.18947368421053,1.45454545454546
1.15942028985507,1,1,1,1,1.08333333333334,1,1.24675324675325,1.23333333333333,1.1,1.125,1,1.125,1.08333333333334,1.29411764705882,1.33333333333333,1,1.29411764705882,1,1,1.1,1,1.09090909090909,1
1.52105263157895,1.4,1.50526315789474,1.54545454545455,1.25,1.48484848484849,1.55555555555556,1.47058823529412,1.55555555555556,1.36601307189543,1.52747252747253,1.2,1.49450549450549,1.50649350649351,1.36263736263736,1.53333333333333,1.52747252747253,1.46666666666667,1.25,1.48484848484848,1.52747252747253,1.49450549450549,1.45833333333333,1.51948051948052
1.34420289855073,1,1,1,1,1,1,1,1,1,1.125,1,1,1.15942028985507,1.36263736263736,1.33333333333333,1,1.36601307189543,1,1.11111111111111,1.20915032679739,1,1.24675324675325,1
1.26373626373626,1,1,1,1,1,1.11111111111111,1,1.125,1,1,1,1,1.08333333333334,1.16666666666667,1,1,1.47058823529412,1,1.54545454545455,1,1,1.17316017316017,1
1.15942028985507,1.4,1,1,1,1,1,1,1,1,1,1.11111111111111,1,1,1.11111111111111,1,1.125,1,1,1.325,1.1,1,1,1.08333333333334
1.43115942028986,1,1,1,1,1,1.20915032679739,1,1,1.18947368421053,1.125,1,1.43956043956044,1.28985507246377,1.11111111111111,1.33333333333333,1.125,1,1,1.14285714285714,1,1.33684210526316,1.48484848484849,1.08333333333334
1,1.49450549450549,1.18947368421053,1,1,1.33333333333333,1,1,1,1.2,1,1,1.36263736263736,1,1,1,1,1,1,1,1.1,1.29411764705882,1,1
1.08333333333334,1.23333333333333,1.1,1,1,1.28985507246377,1.11111111111111,1,1.125,1,1,1,1,1,1.29411764705882,1,1,1.11111111111111,1,1,1,1,1,1
1.51811594202899,1.53333333333333,1.50326797385621,1.50326797385621,1.35555555555556,1.50649350649351,1.525,1.50526315789474,1.4,1.33684210526316,1.53030303030303,1.53846153846154,1.4,1.41558441558442,1.525,1.5,1.40909090909091,1.45833333333333,1.55555555555556,1.4,1.47894736842105,1.50526315789474,1.51948051948052,1.31168831168831
1,1,1,1.09090909090909,1,1,1.20915032679739,1,1,1,1.26373626373626,1,1,1,1,1,1,1,1.3030303030303,1.11111111111111,1,1,1,1.08333333333334
1,1,1,1,1.43956043956044,1.20915032679739,1,1,1,1,1,1.53333333333333,1,1.08333333333334,1,1,1,1,1,1,1,1,1.17316017316017,1
1.48484848484849,1.53030303030303,1.45833333333333,1.45833333333333,1.52747252747253,1.52941176470588,1.43956043956044,1.53846153846154,1.48484848484848,1.52631578947368,1.53846153846154,1.52941176470588,1.48484848484848,1.52287581699346,1.52747252747253,1.53333333333333,1.525,1.45833333333333,1.53333333333333,1.42483660130719,1.4,1.50526315789474,1.31168831168831,1.47058823529412
1.08333333333334,1,1.1,1,1,1,1,1.09090909090909,1.26373626373626,1,1.125,1,1.125,1,1.20915032679739,1,1,1.125,1.40909090909091,1.11111111111111,1.1,1,1,1.09090909090909
1.22826086956522,1,1.26842105263158,1,1,1,1.11111111111111,1.45454545454546,1,1.1,1.125,1,1.23333333333333,1.24675324675325,1.11111111111111,1,1.36263736263736,1,1,1.11111111111111,1.20915032679739,1.29411764705882,1.24675324675325,1.34420289855073
1,1,1.4421052631579,1,1,1,1,1.24675324675325,1,1.1,1,1,1.325,1.39130434782609,1,1,1.325,1.11111111111111,1,1,1,1.47058823529412,1,1
1.08333333333334,1.23333333333333,1.11111111111111,1.17316017316017,1.14285714285714,1.22826086956522,1,1.24675324675325,1,1,1,1.11111111111111,1.125,1,1,1,1.125,1.11111111111111,1,1.29411764705882,1,1.1,1.31168831168831,1
1,1.53846153846154,1.18947368421053,1,1.43956043956044,1.50526315789474,1,1.17316017316017,1,1.47058823529412,1.26373626373626,1.45833333333333,1.57142857142857,1.31168831168831,1.11111111111111,1.53333333333333,1,1.26373626373626,1,1.11111111111111,1.1,1.36601307189543,1.1,1.16666666666667
1.22826086956522,1,1.125,1.33684210526316,1,1.08333333333334,1,1.52747252747253,1,1.1,1.325,1,1,1.09090909090909,1.53030303030303,1.53333333333333,1,1.49450549450549,1.48484848484848,1,1.42483660130719,1.11111111111111,1.18947368421053,1
1.45454545454546,1.42857142857143,1.16666666666667,1.1,1,1.15942028985507,1,1.325,1,1.45833333333333,1,1,1.25,1.23333333333333,1.14285714285714,1.5,1.48484848484848,1.3030303030303,1,1.14285714285714,1,1.16666666666667,1.26842105263158,1
1,1,1,1,1.16666666666667,1.33684210526316,1,1,1,1.525,1.23333333333333,1,1,1,1,1,1,1,1,1,1.1,1,1,1.15942028985507
1,1,1,1,1,1,1.4,1,1,1.1,1.43956043956044,1,1.125,1.24675324675325,1,1,1.23333333333333,1,1.16666666666667,1,1,1,1,1.1
1.28985507246377,1,1.1,1.17316017316017,1.36263736263736,1,1.20915032679739,1.09090909090909,1,1,1,1,1,1,1,1,1.125,1,1,1.11111111111111,1.29411764705882,1.26842105263158,1,1.15942028985507
1.48484848484849,1.53333333333333,1.14285714285714,1.52287581699346,1,1.08333333333334,1,1.5,1.3030303030303,1.18947368421053,1.48484848484848,1.11111111111111,1.525,1.3030303030303,1.525,1.53333333333333,1.53571428571429,1.4,1,1.48484848484848,1.4421052631579,1.35555555555556,1.52747252747253,1.33333333333333
1.28985507246377,1.125,1,1,1,1,1.11111111111111,1.17316017316017,1.45833333333333,1,1,1,1.125,1,1.20915032679739,1.33333333333333,1.125,1.11111111111111,1.16666666666667,1.52287581699346,1.18947368421053,1,1,1
1.24675324675325,1.5,1.52105263157895,1.47894736842105,1.46666666666667,1.4421052631579,1.45833333333333,1.52105263157895,1.325,1.525,1,1.52747252747253,1.525,1.5072463768116,1.11111111111111,1.33333333333333,1.43956043956044,1.42483660130719,1.46666666666667,1.11111111111111,1.29411764705882,1.47058823529412,1.18947368421053,1.09090909090909
1,1,1,1,1,1,1,1.09090909090909,1,1,1,1,1,1,1.11111111111111,1,1.23333333333333,1.29411764705882,1,1.20915032679739,1.18947368421053,1.1,1.09090909090909,1
1,1.48484848484848,1.36263736263736,1,1.53333333333333,1.3030303030303,1.325,1.36601307189543,1,1.35555555555556,1.3030303030303,1,1.35555555555556,1.26373626373626,1.42483660130719,1,1.40909090909091,1.4,1,1.20915032679739,1.1,1.20915032679739,1.18947368421053,1.1
1,1,1,1,1,1,1,1,1,1.1,1.23333333333333,1,1,1.48913043478261,1,1.66666666666667,1.23333333333333,1,1.33333333333333,1,1,1.20915032679739,1.09090909090909,1
1,1,1,1,NA,1,1.43956043956044,1,1,1,1,1,1,1,1,1,1,1,1.16666666666667,1,1,1,1,1.18947368421053
1,1.48484848484848,1.42857142857143,1.24675324675325,1.5,1.43956043956044,1.36601307189543,1.25,1,1.53846153846154,1.14285714285714,1.50326797385621,1.25,1.18947368421053,1.20915032679739,1,1,1.125,1.42857142857143,1,1.1,1.16666666666667,1.17316017316017,1.08333333333334
1,1.26373626373626,1.1,1,1,1,1,1.09090909090909,1,1,1,1.5,1,1.08333333333334,1,1.5,1,1,1.16666666666667,1,1,1,1.17316017316017,1.08333333333334
1.22826086956522,1,1,1.33684210526316,1,1.08333333333334,1,1.09090909090909,1,1,1.125,1,1,1,1,1.5,1,1.11111111111111,1,1,1.1,1.1,1,1
1.08333333333334,1.125,1.26842105263158,1.36796536796537,1,1.15942028985507,1.20915032679739,1.17316017316017,1,1.29411764705882,1,1,1.23333333333333,1.48913043478261,1.11111111111111,1.33333333333333,1.26373626373626,1.11111111111111,1.16666666666667,1,1.11111111111111,1.39473684210526,1,1
1.41558441558442,1,1.1,1,1,1,1,1.24675324675325,1,1.18947368421053,1,1.11111111111111,1.125,1.28985507246377,1.43956043956044,1,1,1.11111111111111,1,1,1.1,1,1.18947368421053,1
1,1.4,1.18947368421053,1,1.40909090909091,1.48484848484849,1.26373626373626,1.09090909090909,1,1.42483660130719,1,1.53571428571429,1.125,1.09090909090909,1,1,1,1,1.40909090909091,1,1,1.18947368421053,1.09090909090909,1.28985507246377
1,1,1,1.09090909090909,1,1,1,1.09090909090909,1.23333333333333,1,1,1,1.4,1,1.11111111111111,1.33333333333333,1.125,1,1,1,1.1,1,1.09090909090909,1
1,1,1.325,1.09090909090909,1,1.08333333333334,1.23333333333333,1.23333333333333,1,1,1,1,1,1.36796536796537,1.23333333333333,1.33333333333333,1.35555555555556,1,1,1,1.18947368421053,1.50326797385621,1,1.22826086956522
1,1,1,1,1.36263736263736,1.15942028985507,1,1,1.125,1.20915032679739,1,1,1,1,1,1,1.125,1,1,1.11111111111111,1,1,1.31168831168831,1
1.47894736842105,1,1.14285714285714,1.50526315789474,1.25,1.15942028985507,1.40909090909091,1.125,1.3030303030303,1,1.2,1.20915032679739,1.2,1.20915032679739,1.54545454545455,1,1,1.325,1.25,1.53333333333333,1.52287581699346,1.20915032679739,1.52747252747253,1.29411764705882
1.51948051948052,1.53030303030303,1,1.45833333333333,1.53333333333333,1.45833333333333,1.49450549450549,1,1.14285714285714,1.46666666666667,1.53571428571429,1.325,1,1.08333333333334,1,1.33333333333333,1.125,1.325,1.16666666666667,1.49450549450549,1.52747252747253,1,1.53030303030303,1.39473684210526
1.08333333333334,1,1,1,1.43956043956044,1.45454545454546,1.20915032679739,1,1,1,1,1,1,1,1,1,1,1,1.16666666666667,1,1,1,1.31168831168831,1.22826086956522
1,1,1,1,1.48484848484848,1,1.50326797385621,1,1,1,1,1,1,1,1,1,1,1,1.40909090909091,1.11111111111111,1,1,1.26842105263158,1.52287581699346
