"","AS","BA","BB","BC","CA","CR","FC","FV","GB","KC","MC","ML","OF","PC","PR","PT","SB","SC","SH","SL","TB","WC","WF","WH"
"locus1",0.1667,0.0625,0,0,0,0,0.1111,0,0,0,0,0,0,0.0833,0,0,0,0,0,0,0,0,0,0.0417
"locus2",0,0,0,0.1364,0,0.0417,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0.05,0.1,0.2727,0
"locus3",0,0,0.05,0.3182,0,0,0.0556,0,0,0.05,0,0.1111,0,0,0,0,0,0,0,0,0,0.05,0,0
"locus4",0,0,0.15,0,0.0714,0,0.0556,0.0455,0.125,0,0.0625,0,0.125,0,0.0556,0,0,0.1111,0.0833,0.0556,0,0.05,0.0909,0.125
"locus5",0,0.0625,0.1,0.0455,0,0.0417,0.1111,0.2273,0,0.1,0.0625,0.0556,0,0.125,0,0,0.125,0.1667,0,0,0.05,0.3,0.0909,0.125
"locus6",0.2083,0,0,0,0,0,0,0,0,0,0,0.0556,0,0,0.0556,0.3333,0,0,0,0,0,0,0.1364,0
"locus7",0.125,0.0625,0.05,0.0909,0.1429,0.0417,0.2222,0.0909,0.0625,0,0.0625,0.1667,0.0625,0.1667,0.1111,0.1667,0.125,0.1667,0,0.1111,0.15,0.1,0.2727,0.2917
"locus8",0,0.1875,0.15,0.0455,0.0714,0,0,0.0455,0,0,0.125,0,0.125,0.0417,0,0,0.125,0,0.1667,0,0.05,0.2,0.0455,0.0417
"locus9",0.1667,0.0625,0.1,0.0909,0.0714,0.0417,0,0.1818,0.0625,0.15,0,0.0556,0,0,0.0556,0,0.0625,0,0,0.1111,0.05,0,0.0909,0.1667
"locus10",0.0417,0.0625,0.15,0.2727,0,0,0.0556,0,0,0.05,0.125,0.0556,0,0.0833,0,0.1667,0.3125,0.0556,0,0,0.2,0,0.2273,0
"locus11",0.0833,0,0,0,0,0.0833,0,0,0,0,0,0.1667,0.0625,0,0.1667,0.3333,0,0,0,0.0556,0,0,0,0.0417
"locus12",0,0.0625,0,0,0,0.0417,0,0,0,0.5,0,0.1667,0,0,0,0,0,0,0,0,0,0,0,0
"locus13",0.0417,0.0625,0,0,0,0,0,0.0909,0,0.05,0,0,0.125,0.0417,0,0,0.0625,0.2222,0,0,0,0,0,0
"locus14",0.4167,0.3125,0.45,0.3636,0.3571,0.4167,0.4444,0.4545,0.1875,0.25,0.5,0.3889,0.4375,0.375,0.2222,0.5,0.3125,0.3333,0.5,0.3333,0.5,0.5,0.3636,0.4583
