"","AS","BA","BB","BC","CA","CR","DA","FC","FV","GB","KC","MC","ML","OF","PC","PM","PR","PT","SB","SC","SH","SL","TB","WC","WF","WH"
"locus1",1,1,0.95,0.7,1,1,1,0.9444,1,1,0.9545,1,0.9,1,1,1,1,1,1,1,1,1,1,0.95,1,1
"locus2",1,0.9375,0.875,0.9545,1,0.9583,1,0.8889,0.7222,1,0.9091,0.9375,0.9,1,0.875,0.9545,1,1,0.8571,0.8333,1,1,0.95,0.7222,0.9091,0.875
"locus3",1,0.875,1,1,0.75,0.5455,1,0.9444,1,1,0.55,1,0.75,1,1,1,1,1,1,1,1,0.9545,0.95,1,0.9091,1
"locus4",0.2917,0.0625,0.1111,0.15,0.0714,0.125,0,0.3333,0.0455,0.0714,0.0455,0,0.15,0.1429,0.2,0.1364,0.125,0.3333,0.125,0.0714,0,0.0909,0.3125,0.1,0.1364,0.2273
"locus5",1,0.8125,0.85,0.9545,0.9444,1,1,1,0.9545,1,0.95,0.875,1,0.875,0.9583,1,1,1,0.875,1,0.8571,1,0.95,0.8,0.9545,0.9583
"locus6",0.8333,0.9375,0.9,0.9091,0.9444,0.9583,1,1,0.85,0.9375,0.8636,1,1,1,1,0.8182,1,1,0.9375,1,1,0.9091,1,1,0.9091,0.9
"locus7",0.0417,0.0625,0.15,0.2727,0,0,0,0.0556,0,0,0.0455,0.125,0.05,0,0.0833,0.0909,0,0.1667,0.3125,0.0556,0,0,0.2,0,0.2273,0
"locus8",0.9167,1,1,1,1,0.9167,1,1,1,1,1,1,0.85,1,1,1,0.8333,0.6667,1,1,1,1,1,1,1,0.9583
"locus9",1,0.9375,1,1,1,0.9583,1,1,1,1,0.5,1,0.85,1,1,0.9545,1,1,1,1,1,1,1,1,1,1
"locus10",0.9583,0.9375,1,1,1,1,1,1,1,1,0.9545,1,1,0.9286,0.9583,0.9545,1,1,0.9286,0.7778,1,1,1,1,1,1
"locus11",0.9583,1,1,0.9545,0.8889,1,1,1,1,1,0.9545,1,1,1,0.9091,1,1,1,1,1,1,1,1,0.9,1,0.9167
"locus12",0.5,0.3,0.5714,0.4,0.3571,0.5,NA,0.5,0.4444,0.1667,0.2,0.5714,0,0.5,0.6111,0.5,0.75,0.5,0.3333,0.1667,0.4167,0.65,0.5833,0.5,0.6429,0.5
"locus13",1,1,1,0.7727,1,1,1,1,0.9545,1,0.9091,1,0.95,1,0.9583,1,1,1,1,1,1,0.85,0.9,1,0.95,1
"locus14",0.0417,0,0.05,0,0,0,0.2,0,0.0909,0,0.0455,0,0,0,0,0,0,0,0,0.2222,0.0714,0.55,0.1,0,0.1364,0.0417
"locus15",0.75,1,1,1,1,0.875,1,0.8333,0.9,1,0.9545,0.9286,0.9,0.9375,1,0.9545,0.8571,1,0.9375,0.8571,1,0.9091,0.625,0.95,0.8333,1
"locus16",0.9583,1,0.85,1,1,1,0.6667,1,0.9545,1,1,1,1,1,1,0.75,0.9444,1,1,0.8333,1,0.6,1,1,1,1
"locus17",0.75,0.5,0.375,0.5,0.6429,0.5714,0.375,0.5556,0.4286,0.75,0.7,0.75,0.9,0.4,0.4545,0.8,0.6875,0,0.5714,0.7,0.5,0.6364,0.5,0.5556,0.65,0.4167
"locus18",0.5,0.375,0.2222,0.5,0,0.05,0.625,0.1,0.6818,0.9,0.05,0.3,0,0.5714,0,0.6111,0.375,0.5,0.3333,0.7857,0,0.5,0.3333,0.3889,0.5,0.0455
"locus19",0,0,0,0,0,0.0417,0,0,0,0,0,0,0,0.125,0.125,0.0909,0,0,0,0,0,0,0,0.45,0,0
"locus20",0.8889,0.4375,0.7143,0.25,0.3333,0.25,0.5,0.2,0.4,0.8333,0.4091,0.625,0.3333,0.5,0.375,0.5,0.75,0.6667,0.2143,0.4375,0,0.8182,0.5625,0.2778,0.7222,0.1
"locus21",0.7778,0.3571,0.45,0.6875,0.5,0.6,1,0.6667,0.5909,0.7,0.55,0.5625,0.2778,0.5,0.5,0.9375,0.7143,0.6667,0.5714,0.75,0.7143,0.5,0.8,0.3889,0.7143,0.6364
"locus22",0.6818,1,0.5,0.9286,0.7,0.9167,0.7,0.8125,0.6667,0.9375,0.9,0.875,0.9,0.7857,0.625,0.9545,0.875,0.5,0.7857,0.8889,0.8571,0.625,0.95,0.7222,0.9375,0.8889
"locus23",1,0.8125,1,1,0.875,0.9167,1,0.9444,1,1,0.9545,1,1,1,1,1,1,1,0.9375,1,1,1,1,1,0.9545,0.875
"locus24",0.9583,0.9167,1,0.9545,0.8571,0.85,1,0.875,0.9545,0.9375,0.75,1,0.8333,1,0.9091,1,1,1,0.8125,1,0.9286,0.8182,1,1,1,0.8125
"locus25",0,0.2143,0,0,0,0.375,0,0,0,0,0.4,0.0625,0.2778,0.0714,0,0.0455,0,0,0,0,0,0,0.05,0,0.0455,0.0417
"locus26",1,1,1,1,1,1,1,0.6667,1,0.9375,1,0.9375,1,1,1,1,1,1,1,1,0.9286,0.9545,1,1,0.9,0.6818
